RunID,ExperimentID,PairID,Variant,Seed,OperatingPointID,TBIndex,HARQRound,UEID,Codeword,BlockError,BitErrors,DecodedBits,UCIACKError,UCICSI1Error,UCICSI2Error,MeasuredSINRdB,EVMPercent,TxPower_dBm,PAPR_dB,CPEErrorDeg,ChannelEstimationNMSE,DecoderIterations,TxTime_ms,RxTime_ms,PeakMemoryBytes,Status
pusch_impact_20260726T140352Z,F01-E001,F01-MAIN,baseline,2025727104,P00,1,0,UE1,0,1,94,1536,0,0,0,1.9843,79.5769,4.1703,7.7146e-15,0,0.037492,18,45.0487,16.0093,50688,PASS
pusch_impact_20260726T140352Z,F01-E002,F01-MAIN,treatment,9502561,P01,1,0,UE1,0,1,89,1536,1,0,0,4.4326,60.0306,4.1703,7.7146e-15,0,0.029561,16,30.3797,7.0362,50688,PASS
pusch_impact_20260726T140352Z,F01-E003,F01-MAIN,treatment,140120495,P02,1,0,UE1,0,1,82,1536,1,0,0,3.2457,68.8203,4.1703,7.7146e-15,0,0.020058,17,17.8361,7.1824,50688,PASS
pusch_impact_20260726T140352Z,F01-E004,F01-MAIN,treatment,1427688042,P03,1,0,UE1,0,1,95,1536,0,1,0,3.3283,68.1684,4.1703,7.7146e-15,0,0.0042176,17,96.5655,59.6366,50688,PASS
pusch_impact_20260726T140352Z,F01-E005,F01-MAIN,treatment,1487690824,P04,1,0,UE1,0,1,92,1536,0,1,1,5.1811,55.0737,4.1703,7.7146e-15,0,0.027575,15,14.3491,2.1651,50688,PASS
pusch_impact_20260726T140352Z,F01-E006,F01-MAIN,treatment,795747330,P05,1,0,UE1,0,1,79,1536,1,1,1,4.1426,62.0681,4.1703,7.7146e-15,0,0.0032084,16,5.6658,1.6912,50688,PASS
pusch_impact_20260726T140352Z,F01-E007,F01-MAIN,treatment,726729225,P06,1,0,UE1,0,1,92,1536,0,0,0,4.6718,58.3994,4.1703,7.7146e-15,0,0.01309,15,5.4319,1.6343,50688,PASS
pusch_impact_20260726T140352Z,F02-E001,F02-MAIN,treatment,1340084839,B0.5,1,0,UE1,0,1,91,1536,1,1,0,4.3134,60.8597,4.1703,7.7146e-15,0,0.0078859,16,7.9914,2.408,50688,PASS
pusch_impact_20260726T140352Z,F02-E002,F02-MAIN,treatment,1573875731,B0.75,1,0,UE1,0,1,92,1536,1,1,0,3.59,66.1457,4.1703,7.7146e-15,0,0.016989,16,8.0272,2.318,50688,PASS
pusch_impact_20260726T140352Z,F02-E003,F02-MAIN,baseline,1192416658,B1.0,1,0,UE1,0,1,86,1536,1,1,0,3.7942,64.6085,4.1703,7.7146e-15,0,0.0025952,16,11.6472,3.244,50688,PASS
