RunID,FamilyID,PairID,BaselineExperimentID,TreatmentExperimentID,OperatingPointKey,Metric,BaselineValue,TreatmentValue,AbsoluteEffect,RelativeEffectPercent,EffectDirection,PairedSampleCount,CILower,CIUpper,PValue,AdjustedPValue,EffectSize,StatisticallySignificant,Status
pusch_impact_20260726T140352Z,F34,F34-MAIN,F34-E001,F34-E007,family_component_pair,BLER,1,1,0,0,equal,1,-2.2204e-16,2.2204e-16,1,1,0,false,PASS
pusch_impact_20260726T140352Z,F35,F35-MAIN,F35-E001,F35-E012,family_component_pair,BLER,1,1,0,0,equal,1,-2.2204e-16,1.4803e-16,1,1,0,false,PASS
pusch_impact_20260726T140352Z,F36,F36-MAIN,F36-E001,F36-E015,family_component_pair,BLER,1,1,0,0,equal,1,-2.2204e-16,2.2204e-16,1,1,0,false,PASS
pusch_impact_20260726T140352Z,F37,F37-MAIN,F37-E001,F37-E015,family_component_pair,BLER,1,1,0,0,equal,1,-2.2204e-16,1.4803e-16,1,1,0,false,PASS
pusch_impact_20260726T140352Z,F38,F38-MAIN,F38-E007,F38-E018,family_component_pair,BLER,1,1,0,0,equal,1,-2.2204e-16,2.2204e-16,1,1,0,false,PASS
pusch_impact_20260726T140352Z,F39,F39-MAIN,F39-E003,F39-E012,family_component_pair,BLER,1,1,0,0,equal,1,-2.2204e-16,2.2204e-16,1,1,0,false,PASS
pusch_impact_20260726T140352Z,F40,F40-MAIN,F40-E001,F40-E016,family_component_pair,BLER,1,1,0,0,equal,1,-2.2204e-16,2.2204e-16,1,1,0,false,PASS
pusch_impact_20260726T140352Z,F41,F41-MAIN,F41-E001,F41-E012,family_component_pair,BLER,1,1,0,0,equal,1,-2.2204e-16,2.2204e-16,1,1,0,false,PASS
pusch_impact_20260726T140352Z,F42,F42-I0_C0.0_MMSE,F42-E001,F42-E048,family_component_pair,BLER,1,1,0,0,equal,1,-2.2204e-16,2.2204e-16,1,1,0,false,PASS
pusch_impact_20260726T140352Z,F43,F43-MAIN,F43-E001,F43-E012,family_component_pair,BLER,1,1,0,0,equal,1,-2.2204e-16,2.2204e-16,1,1,0,false,PASS
pusch_impact_20260726T140352Z,F44,F44-NEGATIVE_MATRIX,F44-E001,F44-E013,family_component_pair,BLER,1,1,0,0,equal,1,-2.2204e-16,1.4803e-16,1,1,0,false,PASS
pusch_impact_20260726T140352Z,F45,F45-MAIN,F45-E001,F45-E020,family_component_pair,BLER,1,1,0,0,equal,1,-2.2204e-16,2.2204e-16,1,1,0,false,PASS
pusch_impact_20260726T140352Z,F46,F46-MAIN,F46-E001,F46-E015,family_component_pair,BLER,1,1,0,0,equal,1,-2.2204e-16,1.4803e-16,1,1,0,false,PASS
pusch_impact_20260726T140352Z,F47,F47-MAIN,F47-E001,F47-E018,family_component_pair,BLER,1,1,0,0,equal,1,-2.2204e-16,2.2204e-16,1,1,0,false,PASS
pusch_impact_20260726T140352Z,F48,F48-MAIN,F48-E005,F48-E016,family_component_pair,BLER,1,1,0,0,equal,1,-2.2204e-16,2.2204e-16,1,1,0,false,PASS
pusch_impact_20260726T140352Z,F49,F49-MAIN,F49-E001,F49-E032,family_component_pair,BLER,1,1,0,0,equal,1,-2.2204e-16,2.2204e-16,1,1,0,false,PASS
pusch_impact_20260726T140352Z,F50,F50-11,F50-E001,F50-E006,family_component_pair,BLER,1,1,0,0,equal,1,-2.2204e-16,2.2204e-16,1,1,0,false,PASS
pusch_impact_20260726T140352Z,F51,F51-MAIN,F51-E001,F51-E032,family_component_pair,BLER,1,1,0,0,equal,1,-2.2204e-16,2.2204e-16,1,1,0,false,PASS
pusch_impact_20260726T140352Z,F52,F52-MAIN,F52-E001,F52-E012,family_component_pair,BLER,1,1,0,0,equal,1,-2.2204e-16,2.2204e-16,1,1,0,false,PASS
