RunID,ExperimentID,OperatingPointID,G,GULSCH,GACK,GCSI1,GCSI2,GCGUCI,GUTOUCI,UCIOverheadFraction,EffectiveULSCHCodeRate,ACKBLER,CSI1BLER,CSI2BLER,ULSCHBLER,Goodput_bps,Status
pusch_impact_20260726T140352Z,F06-E009,T8424,1536,1536,0,0,0,0,0,0,0.45,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F06-E010,T8425,1536,1536,0,0,0,0,0,0,0.45,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F06-E011,T10000,1536,1536,0,0,0,0,0,0,0.45,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F06-E012,T20000,1536,1536,0,0,0,0,0,0,0.45,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F07-E001,I2_L0.75,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F07-E002,I2_L1.0,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F07-E003,I2_L1.25,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F07-E004,I4_L0.75,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F07-E005,I4_L1.0,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F07-E006,I4_L1.25,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F07-E007,I6_L0.75,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F07-E008,I6_L1.0,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F07-E009,I6_L1.25,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F07-E010,I8_L0.75,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F07-E011,I8_L1.0,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F07-E012,I8_L1.25,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F07-E013,I12_L0.75,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F07-E014,I12_L1.0,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F07-E015,I12_L1.25,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F07-E016,I20_L0.75,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F07-E017,I20_L1.0,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F07-E018,I20_L1.25,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F08-E001,none,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F08-E002,crc_fail,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F08-E003,wrong_rnti,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F08-E004,stale_bwp,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F08-E005,stale_epoch,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F08-E006,invalid_k2,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F08-E007,invalid_mcs,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F08-E008,invalid_harq,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F08-E009,stale_srs,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F08-E010,invalid_tpmi,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F08-E011,ul_symbol_unavailable,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F08-E012,resource_collision,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F09-E001,periodic_low_dynamic,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F09-E002,periodic_low_cg_type1,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F09-E003,periodic_low_cg_type2,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F09-E004,periodic_high_dynamic,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
