RunID,ExperimentID,OperatingPointID,NPRB,Rank,NumCodewords,Receiver,UCIProfile,TxMedian_ms,TxP95_ms,RxMedian_ms,RxP95_ms,PeakMemoryBytes,ArtifactBytes,ThroughputSymbolsPerSecond,Status
pusch_impact_20260726T140352Z,F01-E001,P00,52,1,1,MMSE,none,45.0487,45.0487,16.0093,16.0093,50688,1536,12578.2043,PASS
pusch_impact_20260726T140352Z,F01-E002,P01,52,1,1,MMSE,ack2,30.3797,30.3797,7.0362,7.0362,50688,1536,20526.0331,PASS
pusch_impact_20260726T140352Z,F01-E003,P02,52,1,1,MMSE,ack11,17.8361,17.8361,7.1824,7.1824,50688,1536,30697.284,PASS
pusch_impact_20260726T140352Z,F01-E004,P03,52,1,1,MMSE,csi1_20,96.5655,96.5655,59.6366,59.6366,50688,1536,4916.7073,PASS
pusch_impact_20260726T140352Z,F01-E005,P04,52,1,1,MMSE,csi1_20_csi2_40,14.3491,14.3491,2.1651,2.1651,50688,1536,46505.4317,PASS
pusch_impact_20260726T140352Z,F01-E006,P05,52,1,1,MMSE,ack2_csi1_20_csi2_40,5.6658,5.6658,1.6912,1.6912,50688,1536,104390.3765,PASS
pusch_impact_20260726T140352Z,F01-E007,P06,52,1,1,MMSE,cguci_16,5.4319,5.4319,1.6343,1.6343,50688,1536,108686.4227,PASS
pusch_impact_20260726T140352Z,F02-E001,B0.5,52,1,1,MMSE,ack2_csi1_20,7.9914,7.9914,2.408,2.408,50688,1536,73850.4144,PASS
pusch_impact_20260726T140352Z,F02-E002,B0.75,52,1,1,MMSE,ack2_csi1_20,8.0272,8.0272,2.318,2.318,50688,1536,74237.3275,PASS
pusch_impact_20260726T140352Z,F02-E003,B1.0,52,1,1,MMSE,ack2_csi1_20,11.6472,11.6472,3.244,3.244,50688,1536,51574.084,PASS
pusch_impact_20260726T140352Z,F02-E004,B1.25,52,1,1,MMSE,ack2_csi1_20,8.52,8.52,3.0942,3.0942,50688,1536,66125.9493,PASS
pusch_impact_20260726T140352Z,F02-E005,B1.5,52,1,1,MMSE,ack2_csi1_20,8.8229,8.8229,2.5296,2.5296,50688,1536,67650.2973,PASS
pusch_impact_20260726T140352Z,F02-E006,B2.0,52,1,1,MMSE,ack2_csi1_20,9.2085,9.2085,2.8021,2.8021,50688,1536,63943.5166,PASS
pusch_impact_20260726T140352Z,F03-E001,C0,52,1,1,MMSE,csi,11.5018,11.5018,4.3642,4.3642,50688,1536,48405.3952,PASS
pusch_impact_20260726T140352Z,F03-E002,C3,52,1,1,MMSE,csi,8.4347,8.4347,2.6183,2.6183,50688,1536,69483.3982,PASS
pusch_impact_20260726T140352Z,F03-E003,C11,52,1,1,MMSE,csi,15.9897,15.9897,2.3213,2.3213,50688,1536,41942.0021,PASS
pusch_impact_20260726T140352Z,F03-E004,C20,52,1,1,MMSE,csi,9.8986,9.8986,2.1137,2.1137,50688,1536,63934.4672,PASS
pusch_impact_20260726T140352Z,F03-E005,C40,52,1,1,MMSE,csi,7.318,7.318,2.1047,2.1047,50688,1536,81505.301,PASS
pusch_impact_20260726T140352Z,F03-E006,C80,52,1,1,MMSE,csi,9.2038,9.2038,2.9558,2.9558,50688,1536,63159.9724,PASS
pusch_impact_20260726T140352Z,F03-E007,C160,52,1,1,MMSE,csi,8.0631,8.0631,2.8858,2.8858,50688,1536,70144.0327,PASS
pusch_impact_20260726T140352Z,F04-E001,S-6_DATA,52,1,1,MMSE,uci_only_ack_csi,10.9995,10.9995,2.9548,2.9548,50688,1536,55036.7987,PASS
pusch_impact_20260726T140352Z,F04-E002,S-6_UCI_ONLY,52,1,1,MMSE,uci_only_ack_csi,9.6273,9.6273,2.9757,2.9757,50688,1536,60937.8719,PASS
pusch_impact_20260726T140352Z,F04-E003,S-2_DATA,52,1,1,MMSE,uci_only_ack_csi,9.4245,9.4245,2.7456,2.7456,50688,1536,63105.4798,PASS
pusch_impact_20260726T140352Z,F04-E004,S-2_UCI_ONLY,52,1,1,MMSE,uci_only_ack_csi,6.8026,6.8026,1.986,1.986,50688,1536,87385.9318,PASS
pusch_impact_20260726T140352Z,F04-E005,S2_DATA,52,1,1,MMSE,uci_only_ack_csi,9.0397,9.0397,2.1138,2.1138,50688,1536,68857.3094,PASS
