RunID,ExperimentID,OperatingPointID,PowerControlMode,Pathloss_dB,EstimatedPathloss_dB,P0Nominal_dBm,Alpha,TPCState_dB,RequestedPower_dBm,PCMAX_dBm,AppliedPower_dBm,MeasuredWaveformPower_dBm,PowerError_dB,ReceivedPower_dBm,Clipped,BLER,Goodput_bps,Status
pusch_impact_20260726T140352Z,F06-E003,T40,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F06-E004,T41,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F06-E005,T292,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F06-E006,T293,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F06-E007,T3824,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F06-E008,T3825,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F06-E009,T8424,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F06-E010,T8425,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F06-E011,T10000,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F06-E012,T20000,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F07-E001,I2_L0.75,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F07-E002,I2_L1.0,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F07-E003,I2_L1.25,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F07-E004,I4_L0.75,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F07-E005,I4_L1.0,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F07-E006,I4_L1.25,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F07-E007,I6_L0.75,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F07-E008,I6_L1.0,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F07-E009,I6_L1.25,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F07-E010,I8_L0.75,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F07-E011,I8_L1.0,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F07-E012,I8_L1.25,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F07-E013,I12_L0.75,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F07-E014,I12_L1.0,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F07-E015,I12_L1.25,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F07-E016,I20_L0.75,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F07-E017,I20_L1.0,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F07-E018,I20_L1.25,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F08-E001,none,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F08-E002,crc_fail,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F08-E003,wrong_rnti,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
