RunID,ExperimentID,OperatingPointID,TransformPrecoding,HoppingMode,HopOffsetPRB,PAPRAtCCDF1e3_dB,MeanPAPR_dB,EnergyRelativeError,RoundTripNMSE,BLER,Goodput_bps,FrequencyDiversityGain_dB,PABackoff_dB,ClippingProbability,EVMPercent,Status
pusch_impact_20260726T140352Z,F01-E001,P00,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,79.5769,PASS
pusch_impact_20260726T140352Z,F01-E002,P01,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,60.0306,PASS
pusch_impact_20260726T140352Z,F01-E003,P02,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,68.8203,PASS
pusch_impact_20260726T140352Z,F01-E004,P03,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,68.1684,PASS
pusch_impact_20260726T140352Z,F01-E005,P04,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,55.0737,PASS
pusch_impact_20260726T140352Z,F01-E006,P05,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,62.0681,PASS
pusch_impact_20260726T140352Z,F01-E007,P06,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,58.3994,PASS
pusch_impact_20260726T140352Z,F02-E001,B0.5,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,60.8597,PASS
pusch_impact_20260726T140352Z,F02-E002,B0.75,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,66.1457,PASS
pusch_impact_20260726T140352Z,F02-E003,B1.0,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,64.6085,PASS
pusch_impact_20260726T140352Z,F02-E004,B1.25,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,64.6356,PASS
pusch_impact_20260726T140352Z,F02-E005,B1.5,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,65.3238,PASS
pusch_impact_20260726T140352Z,F02-E006,B2.0,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,66.3185,PASS
pusch_impact_20260726T140352Z,F03-E001,C0,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,65.1602,PASS
pusch_impact_20260726T140352Z,F03-E002,C3,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,59.5258,PASS
pusch_impact_20260726T140352Z,F03-E003,C11,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,67.2229,PASS
pusch_impact_20260726T140352Z,F03-E004,C20,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,72.5638,PASS
pusch_impact_20260726T140352Z,F03-E005,C40,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,66.0589,PASS
pusch_impact_20260726T140352Z,F03-E006,C80,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,58.563,PASS
pusch_impact_20260726T140352Z,F03-E007,C160,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,62.6573,PASS
pusch_impact_20260726T140352Z,F04-E001,S-6_DATA,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,175.5549,PASS
pusch_impact_20260726T140352Z,F04-E002,S-6_UCI_ONLY,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,209.589,PASS
pusch_impact_20260726T140352Z,F04-E003,S-2_DATA,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,113.1291,PASS
pusch_impact_20260726T140352Z,F04-E004,S-2_UCI_ONLY,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,138.9623,PASS
pusch_impact_20260726T140352Z,F04-E005,S2_DATA,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,73.9751,PASS
pusch_impact_20260726T140352Z,F04-E006,S2_UCI_ONLY,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,78.6961,PASS
pusch_impact_20260726T140352Z,F04-E007,S6_DATA,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,46.2362,PASS
pusch_impact_20260726T140352Z,F04-E008,S6_UCI_ONLY,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,51.4893,PASS
pusch_impact_20260726T140352Z,F05-E001,M4_10,0,none,0,3.7089,3.7089,0,0,1,0,0,linear,0,55.0285,PASS
pusch_impact_20260726T140352Z,F05-E002,M10_4,0,none,0,3.7558,3.7558,0,0,1,0,0,linear,0,63.5483,PASS
pusch_impact_20260726T140352Z,F05-E003,M10_10,0,none,0,3.5629,3.5629,0,0,1,0,0,linear,0,68.2446,PASS
pusch_impact_20260726T140352Z,F05-E004,M20_10,0,none,0,3.565,3.565,0,0,1,0,0,linear,0,59.7819,PASS
pusch_impact_20260726T140352Z,F06-E001,T24,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,58.6241,PASS
pusch_impact_20260726T140352Z,F06-E002,T25,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,62.2663,PASS
pusch_impact_20260726T140352Z,F06-E003,T40,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,83.708,PASS
pusch_impact_20260726T140352Z,F06-E004,T41,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,61.9734,PASS
pusch_impact_20260726T140352Z,F06-E005,T292,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,70.0848,PASS
pusch_impact_20260726T140352Z,F06-E006,T293,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,69.9638,PASS
pusch_impact_20260726T140352Z,F06-E007,T3824,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,60.2826,PASS
pusch_impact_20260726T140352Z,F06-E008,T3825,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,57.8266,PASS
pusch_impact_20260726T140352Z,F06-E009,T8424,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,64.0397,PASS
pusch_impact_20260726T140352Z,F06-E010,T8425,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,64.9338,PASS
pusch_impact_20260726T140352Z,F06-E011,T10000,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,63.898,PASS
pusch_impact_20260726T140352Z,F06-E012,T20000,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,64.3679,PASS
pusch_impact_20260726T140352Z,F07-E001,I2_L0.75,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,65.8804,PASS
pusch_impact_20260726T140352Z,F07-E002,I2_L1.0,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,62.4735,PASS
pusch_impact_20260726T140352Z,F07-E003,I2_L1.25,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,61.0139,PASS
pusch_impact_20260726T140352Z,F07-E004,I4_L0.75,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,69.7997,PASS
pusch_impact_20260726T140352Z,F07-E005,I4_L1.0,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,63.3273,PASS
pusch_impact_20260726T140352Z,F07-E006,I4_L1.25,0,none,0,7.7146e-15,7.7146e-15,0,0,1,0,0,linear,0,75.0344,PASS
