Direction,Frame,Slot,UEIndex,UEID,RNTI,BaseStationID,TBSize_bits,ExpectedBitCount,DecodedBitCount,UCIExpectedBitVector,UCIBitErrorVector,UCICRCBitCount,UCICRCApplicable,BitsCompared,CRCApplicable,CRCOutcome,UCIContentMatch,DetectionOutcome,DetectionMetric,DetectionThreshold,DTXFlag,AirInterfaceTTI_ms,NoiseVariance,NoiseVarStatus,NoiseVarSource,NoiseVarStrictFailure,ReceiverUsable,ChannelEstimateAttempted,ChannelEstimateAvailable,ChannelEstimateSource,ResourceExtractionAttempted,ResourceExtractionAvailable,EqualizationAttempted,EqualizationAvailable,StrictReceiverEvidenceOk,StrictOk,TruthStatus,DetectionAttempted,DetectionUsable,FailureReason,ConfiguredSNR_dB,ConfiguredSNRSource,SNRValueRole,ReceiverHestSINR_dB,ReceiverHestSINRApplicable,ReceiverHestSINRSource,ReceiverHestSINRValueRole,ReceiverHestSINRValueStatus,ReceiverHestSINRNAReason,DecoderTruthProxySINR_dB,DecoderTruthProxySINRSource,DecoderTruthProxySINRValueRole,DecoderTruthProxySINRValueStatus,DecoderTruthProxySINRNAReason,MeasuredTrialSINR_dB,MeasuredTrialSINRSource,MeasuredTrialSINRValueRole,MeasuredTrialSINRValueStatus,MeasuredTrialSINRNAReason,MeasuredSINR_dB,SINRValueRole,SINRSource,SINRValueStatus,SINRValueDefinition,FormatAdapted,PUCCHResourceId,PUCCHPRBStart,PUCCHPRBCount,PUCCHSymbolStart,PUCCHNumSymbols,PUCCHExpectedBitCount,PUCCHDecodedBitCount,TimingEstimateUsed,UseIdealTimingSync,InterferenceMode,InterferenceContributorCount,FullInterfererChannelTruthUsed,SourceSlot,FeedbackForDirection,HARQProcess,UCIBitCount,PUCCHGrantId,UCIType,ControlResourceSource,ControlResourceValidity,ExpectedAck,ObservedAck,DecodedAck,FalseAck,FalseNack,MissedFeedback,PUCCHDecodeOk,RuntimeStateUpdated,RuntimeStateConsumer,ControlStateChanged,StateChangeApplied,ControlStateChangeDefinition,Status,Crash,Notes,SignalFamily,SourceClassification,RuntimeMaterializationStatus,ControlGatingEffect,RuntimeConsumer,DecodeSuccess,SuccessFlag,FailureFlag,ControlObservationAvailable,ValueSource,ValueRole,ValueStatus,ValueDefinition,FinalizedFlag,PlaceholderFlag,FallbackFlag,NAReason,RunID,ScenarioID,ConfigHash,SourceArtifact,SourceTable,ArtifactClass,SemanticState,TrialDirection,LinkDirection,GrantDirection
"UL",1,5,1,1,1,1,1,1,0,"[1]","[1]",0,0,0,0,"not_applicable",0,"missed",0,NaN,0,0.5,1.41073485764994e-06,"not_applicable_for_active_pucch_runtime","not_emitted_by_active_pucch_runtime",0,0,0,0,"nrPUCCHDMRS_nrChannelEstimate",0,0,0,0,0,0,"real_pucch_waveform_uci_receiver_evidence",1,1,"receiver_decode_failed",20,"configured_operating_point_metadata","configured_operating_point_metadata",NaN,0,"not_emitted_by_active_pucch_runtime","unavailable","unavailable","pucch_receiver_hest_sinr_unavailable",NaN,"unavailable_decoder_truth_proxy_not_materialized","unavailable","unavailable","pucch_decoder_truth_proxy_not_materialized",NaN,"not_emitted_by_active_pucch_runtime","unavailable","unavailable","pucch_measured_trial_sinr_unavailable",NaN,"unavailable","no_active_pucch_sinr_observation","unavailable","no_control_sinr_observation_available_in_active_runtime",0,"0",0,1,13,1,1,0,0,0,"none",0,0,1,"UL",0,1,"pucchgrant:fbdir=DL:due=5:src=1:ue=1:rnti=1:harq=0:cell=1","harq_ack","typed_rrc_resource_set_and_decoded_pri",1,1,0,0,0,0,1,0,1,"HARQEntity.onFeedback",0,0,"harq_feedback_consumed_by_runtime_harq_and_scheduler","FAIL",0,"Active waveform-backed coupled PUCCH feedback observation.","PUCCH","active_integrated","active_integrated_waveform_feedback_runtime","harq_feedback_state_update","HARQEntity.onFeedback",0,0,1,1,"runtime_control_reference_signal_observation","control_reference_signal_runtime_evidence","available_runtime_observation","canonical control/reference-signal row emitted by the active LLS coupled runtime",1,0,0,"field_not_emitted_by_active_pucch_runtime",NaN,"webgui_sinr_sweep_64x4_mu_mimo_full","not_applicable_for_active_pucch_runtime","air_interface/csv/pucch_trials.csv","air_interface/csv/pucch_trials.csv","canonical_control_reference_signal_runtime_evidence","runtime_populated","UL","UL","UL"
"UL",1,5,2,2,2,1,1,1,0,"[1]","[1]",0,0,0,0,"not_applicable",0,"missed",0,NaN,0,0.5,1.41073485764994e-06,"not_applicable_for_active_pucch_runtime","not_emitted_by_active_pucch_runtime",0,0,0,0,"nrPUCCHDMRS_nrChannelEstimate",0,0,0,0,0,0,"real_pucch_waveform_uci_receiver_evidence",1,1,"receiver_decode_failed",20,"configured_operating_point_metadata","configured_operating_point_metadata",NaN,0,"not_emitted_by_active_pucch_runtime","unavailable","unavailable","pucch_receiver_hest_sinr_unavailable",NaN,"unavailable_decoder_truth_proxy_not_materialized","unavailable","unavailable","pucch_decoder_truth_proxy_not_materialized",NaN,"not_emitted_by_active_pucch_runtime","unavailable","unavailable","pucch_measured_trial_sinr_unavailable",NaN,"unavailable","no_active_pucch_sinr_observation","unavailable","no_control_sinr_observation_available_in_active_runtime",0,"0",0,1,13,1,1,0,0,0,"none",0,0,1,"UL",0,1,"pucchgrant:fbdir=DL:due=5:src=1:ue=2:rnti=2:harq=0:cell=1","harq_ack","typed_rrc_resource_set_and_decoded_pri",1,1,0,0,0,0,1,0,1,"HARQEntity.onFeedback",0,0,"harq_feedback_consumed_by_runtime_harq_and_scheduler","FAIL",0,"Active waveform-backed coupled PUCCH feedback observation.","PUCCH","active_integrated","active_integrated_waveform_feedback_runtime","harq_feedback_state_update","HARQEntity.onFeedback",0,0,1,1,"runtime_control_reference_signal_observation","control_reference_signal_runtime_evidence","available_runtime_observation","canonical control/reference-signal row emitted by the active LLS coupled runtime",1,0,0,"field_not_emitted_by_active_pucch_runtime",NaN,"webgui_sinr_sweep_64x4_mu_mimo_full","not_applicable_for_active_pucch_runtime","air_interface/csv/pucch_trials.csv","air_interface/csv/pucch_trials.csv","canonical_control_reference_signal_runtime_evidence","runtime_populated","UL","UL","UL"
