relative_path,artifact_role,canonical_source,row_count,column_count,all_zero_finite_column_count,all_missing_column_count,mixed_finite_missing_column_count,semantic_check_count,required_semantic_failure_count,mirror_hash_verified,audit_disposition
control/csv/pdcch_trials.csv,canonical_or_derived_artifact,control/csv/pdcch_trials.csv,17,422,151,26,1,12,0,False,PASS_CONTROL_RUNTIME_SEMANTICS
control/csv/pdsch_table.csv,canonical_or_derived_artifact,control/csv/pdsch_table.csv,12,819,126,11,36,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
control/csv/prach_table.csv,canonical_or_derived_artifact,control/csv/prach_table.csv,1,472,146,11,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
control/csv/prach_trials.csv,canonical_or_derived_artifact,control/csv/prach_trials.csv,1,468,145,23,0,12,0,False,PASS_CONTROL_RUNTIME_SEMANTICS
control/csv/pucch_table.csv,canonical_or_derived_artifact,control/csv/pucch_table.csv,4,237,28,12,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
control/csv/pucch_trials.csv,canonical_or_derived_artifact,control/csv/pucch_trials.csv,4,214,27,5,0,12,0,False,PASS_CONTROL_RUNTIME_SEMANTICS
control/csv/pusch_table.csv,canonical_or_derived_artifact,control/csv/pusch_table.csv,5,825,131,11,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
control/csv/ra_attempts.csv,canonical_or_derived_artifact,control/csv/ra_attempts.csv,1,146,25,4,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
control/csv/ra_collision_trials.csv,canonical_or_derived_artifact,control/csv/ra_collision_trials.csv,0,15,0,0,0,1,0,False,PASS_POLICY_DISABLED_NO_OBSERVATIONS
control/csv/ra_negative_trials.csv,canonical_or_derived_artifact,control/csv/ra_negative_trials.csv,0,11,0,0,0,1,0,False,PASS_POLICY_DISABLED_NO_OBSERVATIONS
control/csv/ra_oracle_guard.csv,canonical_or_derived_artifact,control/csv/ra_oracle_guard.csv,4,13,3,0,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
control/csv/ra_power_reference_decisions.csv,canonical_or_derived_artifact,control/csv/ra_power_reference_decisions.csv,1,19,3,0,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
control/csv/ra_runtime_stage_waveforms.csv,canonical_or_derived_artifact,control/csv/ra_runtime_stage_waveforms.csv,5,71,6,1,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
control/csv/ra_state_transitions.csv,canonical_or_derived_artifact,control/csv/ra_state_transitions.csv,8,19,0,1,4,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
control/csv/ra_timer_events.csv,canonical_or_derived_artifact,control/csv/ra_timer_events.csv,4,18,1,0,3,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
control/csv/rar_monitoring_candidates.csv,canonical_or_derived_artifact,control/csv/rar_monitoring_candidates.csv,2,21,1,0,1,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
