relative_path,row_count,column_count,observed_preview_row_count,preview_nonblank_cell_count,preview_missing_or_nan_cell_count,preview_missing_or_nan_fraction,preview_finite_numeric_cell_count,preview_zero_numeric_cell_count,preview_nonzero_numeric_cell_count,preview_zero_fraction_of_finite,first_row_values_json,value_shape,semantic_disposition,semantic_contract_present,required_semantic_failure_count,value_review_status
air_interface/csv/csi_feedback_reports.csv,10,91,5,402,53,0.11648351648351649,281,59,222,0.2099644128113879,"[""DL"", ""1"", ""1"", ""32"", ""34"", ""33"", ""35"", ""CSI-RS"", ""actual_csirs_re_measurement_relative_to_unit_occupied_re_es"", ""DL_UE1_SRC32_DUE34"", ""delivered_to_runtime_scheduler"", ""csi-report-0"", ""0"", ""PUCCH"", ""{\""ContractVersion\"":\""sixgr_raw_csv_array/v1\"",\""Class\"":\""int8\"",\""Size\"":[7,1],\""ValueKind\"":\""numeric_bytes\"",\""RealHex\"":\""00010101010000\"",\""ImagHex\"":\""\"",\""Values\"":[],\""MissingMask\"":[]}"", ""{\""ContractVersion\"":\""sixgr_raw_csv_array/v1\"",\""Class\"":\""int8\"",\""Size\"":[0,1],\""ValueKind\"":\""numeric_bytes\"",\""RealHex\"":\""\"",\""ImagHex\"":\""\"",\""Values\"":[],\""MissingMask\"":[]}"", ""7"", ""0"", ""7"", ""pucch_decoded"", ""1"", ""0"", ""7"", ""{\""ContractVersion\"":\""sixgr_raw_csv_array/v1\"",\""Class\"":\""int8\"",\""Size\"":[7,1],\""ValueKind\"":\""numeric_bytes\"",\""RealHex\"":\""00010101010000\"",\""ImagHex\"":\""\"",\""Values\"":[],\""MissingMask\"":[]}"", ""combined_pucch_receiver_decoded_typed_csi_delivered_to_scheduler"", ""12"", ""1"", ""3"", ""NaN"", ""0"", ""18.6955168758917"", ""measured_csi_state_receiver_objective"", ""measured_post_equalization_scheduling_input"", ""OK"", ""20"", ""0.5537109375"", ""64QAM"", ""22"", ""0.650390625"", ""64QAM"", ""20"", ""adaptation_scheduled"", ""runtime_cqi_to_amc"", ""measured_cqi_mapped_olla_db_margin_adjusted"", ""20"", ""11"", ""20"", ""0.0999999999999999"", ""0"", ""20"", ""14.34"", ""14.44"", ""resolveWidebandCQI.lab_default_threshold_table"", ""0.50084193519103"", ""0.99831612961794"", ""0.002"", ""0.064755170928"", ""per_subband_layer_jakes_measured_csi"", ""18.3283"", ""18.3137"", ""0.0146382"", ""32"", ""DL"", ""direct_dl_csirs"", ""1"", ""1"", ""1"", ""3"", ""receiver_harq_feedback_state"", ""3"", ""3"", ""0"", ""0"", ""csi_measurement_delivery"", ""metrics.AllowOLLAUpdate"", ""0"", ""event_not_authorized_for_olla:csi_measurement_delivery"", ""12"", ""11"", ""18.680878635677"", ""0.01463824021466"", ""runtime_reported_cqi"", ""1"", ""0"", ""1"", ""1"", ""1"", ""0"", ""NaN"", """", """"]",first_rows_value_populated,PASS_DOMAIN_RUNTIME_SEMANTICS,True,0,CONTRACTED_FIRST_ROWS_REVIEWED
air_interface/csv/csi_rs_trials.csv,5,176,5,869,11,0.0125,445,61,384,0.13707865168539327,"[""DL"", ""CSI-RS"", ""12"", ""4"", ""4"", ""32"", ""0.031"", ""1"", ""0"", ""1"", ""1"", ""0"", ""0"", ""nzp"", ""2"", ""3"", ""one"", ""on"", ""5"", ""0"", ""0"", ""25"", ""100"", ""1"", ""1"", ""1"", ""1"", ""dl_csi_cri_ri_pmi_cqi_measurement"", ""1"", ""1"", ""1"", ""1"", ""csirs_resource_selective_channel_estimate"", ""nrChannelEstimate"", ""nrChannelEstimate_default"", ""resource_grid_rx_antenna_by_reference_port_after_precoding_and_timing_alignment"", ""0.10130873919474"", ""168.3724"", ""405.5987"", ""matlab_tic_toc_csirs_runtime_observation_and_estimation"", ""FD-CDM2"", ""[2,1]"", ""100"", ""0.0511834976426709"", ""-20.2723900757761"", ""14.26746709253"", ""csirs_resource_selective_hest_over_measured_noise_interference_variance"", ""available"", ""300x14x2x2"", ""2"", ""2"", ""12"", ""1"", ""3"", ""0"", ""0"", ""dl_csi_feedback:immutable_measured_csirs_state"", ""cri-RI-PMI-CQI"", ""7"", ""78"", ""runtime_measured_csi_complete"", ""csirs-ue1-resource0-slot32-c42dd6300c49"", ""c42dd6300c4941219cdcd88d9d3c51f917824c9e06f2238c1cc75136aa5d3e9b"", ""measured_runtime_csirs_receiver_channel_and_noise"", ""1"", ""runtime_measured_state_ready"", ""32"", ""0.10130873919474"", ""1"", ""1"", ""0"", ""2"", ""2"", ""yaml_dft_ura_physical_csirs_resource_filter_via_runtime_port_projection"", ""fd8ee97af24896d9104e2fc618444b6bdb1855c19864b438dff2f016fd1f315d"", ""fd8ee97af24896d9104e2fc618444b6bdb1855c19864b438dff2f016fd1f315d"", ""119628f9a97535173ba19182983b8735ab851c0eaa97ced93dfad058430325a6"", ""identity_element_domain_waveform"", ""0"", ""typeI-SinglePanel"", ""25.8749462804281"", ""valid"", ""2"", ""3.28599|0.167078"", ""rx_by_tx_by_snapshot"", ""25"", ""32"", ""DL"", ""direct_dl_csirs"", ""not_attempted"", ""18.6955168758917"", ""measured_csi_state_receiver_objective"", ""measured_post_equalization_scheduling_input"", ""OK"", ""csi_rs_resource_selective_channel_estimate"", ""normalized_fixed_esn0_unit_occupied_re_es"", ""1"", ""32"", ""34"", ""35"", ""1"", ""delivered_to_runtime_scheduler"", ""DL_UE1_SRC32_DUE34"", ""7.41661110863224"", ""7.41661110863224"", ""received_csirs_reference_signal_power_post_front_end_normalized_grid"", ""-47.0200169555087"", ""[-47.0200169555,-47.9511072296]"", ""[-47.0200169555]"", ""NaN"", ""-9.23033826745304"", ""-23.8102786013352"", ""[-23.8102786013,-24.5558655827]"", ""1"", ""-47.0200169555087"", ""-23.8102786013352"", ""maximum_individual_receive_branch_same_branch_ratio"", ""[-9.23033826745,-9.41584156019]"", ""1"", ""same_branch_as_reported_rsrp"", ""available"", ""25"", ""0"", ""[5]"", ""15"", ""4500000"", ""-51.1750992628768"", ""[-54.1853992195166 -54.1853992195166]"", ""sum_linear_across_physical_antenna_connectors"", ""normalized_fixed_esn0_unit_occupied_re_es"", ""actual_ifft_csirs_epre_relative_to_unit_occupied_re_es"", ""available_exact_waveform_csirs_measurement"", ""exact_nonzero_transmitted_csirs_re_per_physical_connector"", ""[50 50]"", ""NaN"", ""unavailable_normalized_fixed_esn0_has_no_absolute_link_budget"", ""4.15508230736813"", ""[0]"", ""1"", ""maximum_per_receive_antenna_rsrp_ts_38_215_diversity_rule"", ""512"", ""0"", ""not_applicable_normalized_fixed_esn0"", ""available_exact_pre_front_end_grid"", ""shared_stream_receiver_antenna_connector_observation"", ""available_normalized_fixed_esn0_not_absolute_dbm"", ""3GPP_TS_38.215_via_nrCSIRSMeasurements"", ""unit_occupied_re_fixed_esn0"", ""integration.configured_snr_is_link_authority"", ""-29.3542830354281"", ""-29.3542830354281"", ""-29.3542830354281"", ""0"", ""x_out=x_ifft; occupied_RE_Es_reference=1_mW; no_absolute_power_scaling"", ""actual_csirs_re_measurement_relative_to_unit_occupied_re_es"", ""observed_after_ofdm_demodulation"", ""physical_element_domain_csirs_resource_set_mapping"", ""physical_element_domain_csirs_resource_set_mapping"", ""runtime_observed"", ""sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation"", ""1"", ""air_interface/csv/csi_rs_trials.csv"", ""air_interface/csv/csi_rs_trials.csv"", ""1"", ""1"", ""1"", ""1"", ""1"", ""exact_measured_csi_report_bound"", ""lls_causal_access_to_data_wiring_tdd_short_continuous_iq"", ""830df64a1e09e9b0cb454e062578c559a0d4d7a8603e46b4ca814d13ba7689ce"", ""tdd_12db_continuous_iq_02"", ""tdd_12db_continuous_iq_02"", ""execution_925ec16c-11d7-4173-bd59-08723b11ea43"", ""in_path"", ""1""]",first_rows_value_populated,PASS_CONTROL_RUNTIME_SEMANTICS,True,0,CONTRACTED_FIRST_ROWS_REVIEWED
air_interface/csv/distance_vs_sinr.csv,0,16,0,0,0,0.0,0,0,0,0.0,[],header_only_no_values,PASS_POLICY_DISABLED_NO_OBSERVATIONS,True,0,POLICY_DISABLED_NO_OBSERVATIONS
air_interface/csv/dl_constellation_samples.csv,40020,75,5,375,0,0.0,295,10,285,0.03389830508474576,"[""DL"", ""QPSK"", ""12"", ""1"", ""layer"", ""matrix_column_major_matches_nr_resource_indices"", ""matched_layer_domain_same_shape"", ""2"", ""3"", ""1"", ""0"", ""0.707106781186547"", ""-0.707106781186547"", ""0.707106781186547"", ""-0.707106781186547"", ""0.585692698124631"", ""-0.530972300790092"", ""0.585692698124631"", ""-0.530972300790092"", ""0.707106781186548"", ""-0.707106781186548"", ""0.707106781186548"", ""-0.707106781186548"", ""0.585692698124631"", ""-0.530972300790092"", ""0.213926937879023"", ""0.213926937879023"", ""1"", ""receiver_output_without_payload_gain_or_phase_fit"", ""receiver_equalized_symbols_average_reference_power_no_payload_fit"", ""full_allocation_paired_symbols"", ""3335"", ""3335"", ""layer_resource_elements"", ""measured_nr_hard_decision"", ""4"", ""31"", ""3"", ""3"", ""0"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""19.0386355290819"", ""19.0386355290819"", ""0.111703871019007"", ""11.1703871019007"", ""-19.0386355290819"", ""real_lls_evidence"", ""DL"", ""1"", ""31"", ""1"", ""1"", ""QPSK"", ""1"", ""12"", ""19.0386355290819"", ""1"", ""0.707106781186547"", ""-0.707106781186547"", ""0.585692698124631"", ""-0.530972300790092"", ""11.1703871019007"", ""-19.0386355290819"", ""receiver_equalized_symbols_average_reference_power_no_payload_fit"", ""real_lls_evidence"", ""runtime_best_beam_per_link"", ""2"", ""2""]",first_rows_value_populated,PASS_DOMAIN_RUNTIME_SEMANTICS,True,0,CONTRACTED_FIRST_ROWS_REVIEWED
air_interface/csv/dl_measured_sinr_bler_curve.csv,4,19,4,60,16,0.21052631578947367,48,16,32,0.3333333333333333,"[""DL"", ""NaN"", ""NaN"", ""19.5"", ""19"", ""20"", ""0"", ""0"", ""0.434491494752081"", ""0"", ""5"", ""0"", ""NaN"", ""NaN"", ""NaN"", ""22"", ""64QAM"", ""1"", ""dl_pdsch_trials.csv""]",first_rows_value_populated,PASS_DERIVED_LINK_SEMANTICS,True,0,CONTRACTED_FIRST_ROWS_REVIEWED
air_interface/csv/dl_measured_sinr_throughput_curve.csv,4,18,4,68,4,0.05555555555555555,60,0,60,0.0,"[""DL"", ""NaN"", ""NaN"", ""19.5"", ""19"", ""20"", ""13.32"", ""13.32"", ""13.32"", ""13.32"", ""13.32"", ""13.32"", ""13.32"", ""13.32"", ""13.32"", ""3.33"", ""5"", ""dl_pdsch_trials.csv""]",first_rows_value_populated,PASS_DERIVED_LINK_SEMANTICS,True,0,CONTRACTED_FIRST_ROWS_REVIEWED
air_interface/csv/dl_pdsch_receiver_evidence_audit.csv,12,47,5,235,0,0.0,215,25,190,0.11627906976744186,"[""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""19.0386355290819"", ""pass"", ""0"", ""1"", ""1"", ""0"", ""1064"", ""12"", ""1"", ""QPSK"", ""1"", ""1"", ""1"", ""QPSK"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""0"", ""0"", ""0"", ""1"", ""1"", ""1"", ""positive_runtime_trial""]",first_rows_value_populated,PASS_DOMAIN_RUNTIME_SEMANTICS,True,0,CONTRACTED_FIRST_ROWS_REVIEWED
