Direction,UEIndex,RNTI,PacketId,ApplicationPacketId,FlowId,EnqueueFrame,EnqueueSlot,EnqueueCanonicalSlot,EnqueueSlotInFrame,EnqueueTime_s,OfferedBits,ScheduledBits,DeliveredBits,RemainingBits,SegmentCount,HARQAttemptCount,FirstGrantSlot,FirstGrantTime_s,ReassemblyCompleteFlag,DeliverySuccess,PacketizationSource,TimingStatus,Status,Notes
"DL",1,1,"DL_ue1_frame1_pkt1","DL_ue1_frame1_pkt1","DL_ue1",1,1,1,1,0,36000,1192,0,34808,1,0,1,0,0,0,"runtime_offered_bits_canonical_slot_packet","canonical_slot_enqueued","partially_scheduled","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"DL",2,2,"DL_ue2_frame1_pkt1","DL_ue2_frame1_pkt1","DL_ue2",1,1,1,1,0,36000,1192,0,34808,1,0,1,0,0,0,"runtime_offered_bits_canonical_slot_packet","canonical_slot_enqueued","partially_scheduled","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"DL",3,3,"DL_ue3_frame1_pkt1","DL_ue3_frame1_pkt1","DL_ue3",1,1,1,1,0,36000,0,0,36000,0,0,NaN,NaN,0,0,"runtime_offered_bits_canonical_slot_packet","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"DL",4,4,"DL_ue4_frame1_pkt1","DL_ue4_frame1_pkt1","DL_ue4",1,1,1,1,0,36000,0,0,36000,0,0,NaN,NaN,0,0,"runtime_offered_bits_canonical_slot_packet","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",1,1,"UL_ue1_frame1_pkt5","UL_ue1_frame1_pkt5","UL_ue1",1,1,1,1,0,24000,1320,0,22680,1,0,5,0.002,0,0,"runtime_offered_bits_canonical_slot_packet","canonical_slot_enqueued","partially_scheduled","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",2,2,"UL_ue2_frame1_pkt5","UL_ue2_frame1_pkt5","UL_ue2",1,1,1,1,0,24000,1320,0,22680,1,0,5,0.002,0,0,"runtime_offered_bits_canonical_slot_packet","canonical_slot_enqueued","partially_scheduled","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",3,3,"UL_ue3_frame1_pkt5","UL_ue3_frame1_pkt5","UL_ue3",1,1,1,1,0,24000,0,0,24000,0,0,NaN,NaN,0,0,"runtime_offered_bits_canonical_slot_packet","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",4,4,"UL_ue4_frame1_pkt5","UL_ue4_frame1_pkt5","UL_ue4",1,1,1,1,0,24000,0,0,24000,0,0,NaN,NaN,0,0,"runtime_offered_bits_canonical_slot_packet","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"DL",1,1,"DL_ue1_frame1_pkt9","DL_ue1_frame1_pkt9","DL_ue1",1,2,2,2,0.0005,24000,0,0,24000,0,0,NaN,NaN,0,0,"runtime_offered_bits_canonical_slot_packet","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"DL",2,2,"DL_ue2_frame1_pkt9","DL_ue2_frame1_pkt9","DL_ue2",1,2,2,2,0.0005,24000,0,0,24000,0,0,NaN,NaN,0,0,"runtime_offered_bits_canonical_slot_packet","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
