ExperimentID,FamilyID,PairID,Arm,Seed,TrialIndex,Metric,Value,Status
F01-P01-B,F01,F01-P01,BASELINE,11,1,planning_rejection_correct,1,PASS
F01-P01-T,F01,F01-P01,TREATMENT,11,1,waveform_nmse,4e-06,PASS
F01-P02-B,F01,F01-P02,BASELINE,23,2,planning_rejection_correct,1,PASS
F01-P02-T,F01,F01-P02,TREATMENT,23,2,waveform_nmse,4.00000000000003e-06,PASS
F01-P03-B,F01,F01-P03,BASELINE,47,3,planning_rejection_correct,1,PASS
F01-P03-T,F01,F01-P03,TREATMENT,47,3,waveform_nmse,4.00000000000001e-06,PASS
F01-P04-B,F01,F01-P04,BASELINE,89,4,planning_rejection_correct,1,PASS
F01-P04-T,F01,F01-P04,TREATMENT,89,4,waveform_nmse,4.00000000000002e-06,PASS
F01-P05-B,F01,F01-P05,BASELINE,131,5,planning_rejection_correct,1,PASS
F01-P05-T,F01,F01-P05,TREATMENT,131,5,waveform_nmse,4e-06,PASS
F01-P06-B,F01,F01-P06,BASELINE,197,6,planning_rejection_correct,1,PASS
F01-P06-T,F01,F01-P06,TREATMENT,197,6,waveform_nmse,3.99999999999999e-06,PASS
F02-P01-B,F02,F02-P01,BASELINE,11,1,waveform_nmse,0,PASS
F02-P01-T,F02,F02-P01,TREATMENT,11,1,waveform_nmse,8.99999999999933e-06,PASS
F02-P02-B,F02,F02-P02,BASELINE,23,2,waveform_nmse,0,PASS
F02-P02-T,F02,F02-P02,TREATMENT,23,2,waveform_nmse,8.99999999999938e-06,PASS
F02-P03-B,F02,F02-P03,BASELINE,47,3,waveform_nmse,0,PASS
F02-P03-T,F02,F02-P03,TREATMENT,47,3,waveform_nmse,8.99999999999932e-06,PASS
F02-P04-B,F02,F02-P04,BASELINE,89,4,waveform_nmse,0,PASS
F02-P04-T,F02,F02-P04,TREATMENT,89,4,waveform_nmse,8.99999999999932e-06,PASS
F02-P05-B,F02,F02-P05,BASELINE,131,5,waveform_nmse,0,PASS
F02-P05-T,F02,F02-P05,TREATMENT,131,5,waveform_nmse,8.99999999999933e-06,PASS
F02-P06-B,F02,F02-P06,BASELINE,197,6,waveform_nmse,0,PASS
F02-P06-T,F02,F02-P06,TREATMENT,197,6,waveform_nmse,8.99999999999934e-06,PASS
F03-P01-B,F03,F03-P01,BASELINE,11,1,waveform_nmse,0,PASS
F03-P01-T,F03,F03-P01,TREATMENT,11,1,resolved_symbols_per_slot,12,PASS
F03-P02-B,F03,F03-P02,BASELINE,23,2,waveform_nmse,0,PASS
F03-P02-T,F03,F03-P02,TREATMENT,23,2,resolved_symbols_per_slot,12,PASS
F03-P03-B,F03,F03-P03,BASELINE,47,3,waveform_nmse,0,PASS
F03-P03-T,F03,F03-P03,TREATMENT,47,3,resolved_symbols_per_slot,12,PASS
F03-P04-B,F03,F03-P04,BASELINE,89,4,waveform_nmse,0,PASS
F03-P04-T,F03,F03-P04,TREATMENT,89,4,resolved_symbols_per_slot,12,PASS
F03-P05-B,F03,F03-P05,BASELINE,131,5,waveform_nmse,0,PASS
F03-P05-T,F03,F03-P05,TREATMENT,131,5,resolved_symbols_per_slot,12,PASS
F03-P06-B,F03,F03-P06,BASELINE,197,6,waveform_nmse,0,PASS
F03-P06-T,F03,F03-P06,TREATMENT,197,6,resolved_symbols_per_slot,12,PASS
F04-P01-B,F04,F04-P01,BASELINE,11,1,waveform_nmse,2.40232126143554,PASS
F04-P01-T,F04,F04-P01,TREATMENT,11,1,waveform_nmse,2.12698946763975,PASS
F04-P02-B,F04,F04-P02,BASELINE,23,2,waveform_nmse,2.38045409848031,PASS
F04-P02-T,F04,F04-P02,TREATMENT,23,2,waveform_nmse,2.12588319661977,PASS
F04-P03-B,F04,F04-P03,BASELINE,47,3,waveform_nmse,2.34000756056053,PASS
F04-P03-T,F04,F04-P03,TREATMENT,47,3,waveform_nmse,2.05824164192709,PASS
F04-P04-B,F04,F04-P04,BASELINE,89,4,waveform_nmse,2.40852527985215,PASS
F04-P04-T,F04,F04-P04,TREATMENT,89,4,waveform_nmse,2.04115981209032,PASS
F04-P05-B,F04,F04-P05,BASELINE,131,5,waveform_nmse,2.38482853875247,PASS
F04-P05-T,F04,F04-P05,TREATMENT,131,5,waveform_nmse,2.08299831627674,PASS
F04-P06-B,F04,F04-P06,BASELINE,197,6,waveform_nmse,2.39474419828186,PASS
F04-P06-T,F04,F04-P06,TREATMENT,197,6,waveform_nmse,2.15184717835506,PASS
F05-P01-B,F05,F05-P01,BASELINE,11,1,waveform_nmse,0,PASS
