FamilyID,Factor,Baseline,Treatment,PAPREffect_dB,BLEREffect,Status
F13,DFTS-1,6.91879780622661,4.54665284313344,-2.37214496309317,0,PASS
F14,DFTS-2,6.91879780622661,4.54665284313344,-2.37214496309317,0,PASS
F15,DFTS-3,6.91879780622661,4.54665284313344,-2.37214496309317,0,PASS
F16,DFTS-4,6.91879780622661,7.48424571192965,0.565447905703039,0,PASS
F17,DFTS-5,6.91879780622661,4.54665284313344,-2.37214496309317,0,PASS
F18,DFTS-6,6.91879780622661,4.54665284313344,-2.37214496309317,0,PASS
F19,DFTS-7,6.91879780622661,4.54665284313344,-2.37214496309317,0,PASS
F20,DFTS-8,6.91879780622661,4.54665284313344,-2.37214496309317,0,PASS
F21,DFTS-9,6.91879780622661,4.54665284313344,-2.37214496309317,0,PASS
F22,DFTS-10,6.91879780622661,4.54665284313344,-2.37214496309317,0,PASS
