FamilyID,CFO,Timing,DelaySpread,Doppler,EVMEffect,BLEREffect,Status
F41,0,0,1e-08,5,132.829659265313,0,PASS
F42,300,1,2e-08,10,133.032457866952,0,PASS
F43,600,2,3e-08,15,2.0555756829881,0,PASS
F44,900,3,4e-08,20,2.16927120598684,0,PASS
F45,1200,4,5e-08,25,19.738273155074,0,PASS
F46,1500,5,6e-08,30,19.738273155074,0,PASS
F47,1800,6,7e-08,35,133.032457866952,0,PASS
F48,2100,7,8e-08,40,0.00975488158717202,0,PASS
F49,2400,8,9e-08,45,-1.48302683172351e-14,0,PASS
F50,2700,9,1e-07,50,0.599999999999989,0,PASS
