FamilyID,PrimaryMetric,Effect,LowerCI,UpperCI,Conclusion,Status
F01,planning_rejection_correct,-0.999996,-0.999996,-0.999996,VALID_PAIRED_EVIDENCE,PASS
F02,waveform_nmse,8.99999999999934e-06,8.99999999999932e-06,8.99999999999935e-06,VALID_PAIRED_EVIDENCE,PASS
F03,waveform_nmse,12,12,12,VALID_PAIRED_EVIDENCE,PASS
F04,waveform_nmse,-0.287293554075693,-0.32278757710204,-0.251799531049345,VALID_PAIRED_EVIDENCE,PASS
F05,waveform_nmse,4.00000000000001e-06,3.99999999999999e-06,4.00000000000002e-06,VALID_PAIRED_EVIDENCE,PASS
F06,waveform_nmse,1,1,1,VALID_PAIRED_EVIDENCE,PASS
F07,waveform_nmse,0,0,0,VALID_PAIRED_EVIDENCE,PASS
F08,waveform_nmse,0.698321555595706,0.687584289968934,0.709058821222479,VALID_PAIRED_EVIDENCE,PASS
F09,waveform_nmse,2.49999999999989e-05,2.49999999999989e-05,2.49999999999989e-05,VALID_PAIRED_EVIDENCE,PASS
F10,waveform_nmse,9.99999999999773e-07,9.99999999999766e-07,9.9999999999978e-07,VALID_PAIRED_EVIDENCE,PASS
F11,chunk_nmse,0,0,0,VALID_PAIRED_EVIDENCE,PASS
F12,waveform_nmse,3.60000000000001e-05,3.6e-05,3.60000000000001e-05,VALID_PAIRED_EVIDENCE,PASS
F13,papr_db,-2.37214496309317,-3.52995194923712,-1.21433797694922,VALID_PAIRED_EVIDENCE,PASS
F14,papr_db,-2.37214496309317,-3.52995194923712,-1.21433797694922,VALID_PAIRED_EVIDENCE,PASS
F15,papr_db,-2.37214496309317,-3.52995194923712,-1.21433797694922,VALID_PAIRED_EVIDENCE,PASS
F16,papr_db,0.565447905703039,-0.743503045873966,1.87439885728004,VALID_PAIRED_EVIDENCE,PASS
F17,papr_db,-2.37214496309317,-3.52995194923712,-1.21433797694923,VALID_PAIRED_EVIDENCE,PASS
F18,papr_db,-2.37214496309317,-3.52995194923712,-1.21433797694922,VALID_PAIRED_EVIDENCE,PASS
F19,papr_db,-2.37214496309317,-3.52995194923712,-1.21433797694922,VALID_PAIRED_EVIDENCE,PASS
F20,papr_db,-2.37214496309317,-3.52995194923712,-1.21433797694922,VALID_PAIRED_EVIDENCE,PASS
F21,papr_db,-2.37214496309317,-3.52995194923712,-1.21433797694922,VALID_PAIRED_EVIDENCE,PASS
F22,papr_db,-2.37214496309317,-3.52995194923712,-1.21433797694922,VALID_PAIRED_EVIDENCE,PASS
F23,papr_db,-2.37214496309317,-3.52995194923712,-1.21433797694922,VALID_PAIRED_EVIDENCE,PASS
F24,papr_db,-2.37214496309317,-3.52995194923712,-1.21433797694922,VALID_PAIRED_EVIDENCE,PASS
F25,papr_db,-2.37214496309317,-3.52995194923712,-1.21433797694922,VALID_PAIRED_EVIDENCE,PASS
F26,spectral_power_error_db,1.76793368868103e-15,-2.39274289528817e-16,3.77514166689087e-15,VALID_PAIRED_EVIDENCE,PASS
F27,spectral_power_error_db,0,0,0,VALID_PAIRED_EVIDENCE,PASS
F28,spectral_power_error_db,0,0,0,VALID_PAIRED_EVIDENCE,PASS
F29,composition_sum_error,0,0,0,VALID_PAIRED_EVIDENCE,PASS
F30,composition_sum_error,0,0,0,VALID_PAIRED_EVIDENCE,PASS
F31,composition_sum_error,0,0,0,VALID_PAIRED_EVIDENCE,PASS
F32,composition_sum_error,0,0,0,VALID_PAIRED_EVIDENCE,PASS
F33,composition_sum_error,0,0,0,VALID_PAIRED_EVIDENCE,PASS
F34,composition_sum_error,0,0,0,VALID_PAIRED_EVIDENCE,PASS
F35,component_power_imbalance_db,12,12,12,VALID_PAIRED_EVIDENCE,PASS
F36,composition_sum_error,0,0,0,VALID_PAIRED_EVIDENCE,PASS
F37,composition_sum_error,0,0,0,VALID_PAIRED_EVIDENCE,PASS
F38,composition_sum_error,0,0,0,VALID_PAIRED_EVIDENCE,PASS
F39,spectral_power_error_db,0,0,0,VALID_PAIRED_EVIDENCE,PASS
F40,spectral_power_error_db,0,0,0,VALID_PAIRED_EVIDENCE,PASS
F41,evm_pct,132.829659265313,131.217197369729,134.442121160898,VALID_PAIRED_EVIDENCE,PASS
F42,evm_pct,133.032457866952,132.027634393131,134.037281340774,VALID_PAIRED_EVIDENCE,PASS
F43,evm_pct,2.0555756829881,2.01828842079397,2.09286294518222,VALID_PAIRED_EVIDENCE,PASS
F44,evm_pct,2.16927120598684,1.03264303655701,3.30589937541666,VALID_PAIRED_EVIDENCE,PASS
F45,evm_pct,19.738273155074,19.5874854775859,19.889060832562,VALID_PAIRED_EVIDENCE,PASS
F46,evm_pct,19.738273155074,19.5874854775859,19.889060832562,VALID_PAIRED_EVIDENCE,PASS
F47,evm_pct,133.032457866952,132.027634393131,134.037281340774,VALID_PAIRED_EVIDENCE,PASS
F48,evm_pct,0.00975488158717202,0.00921267193717302,0.010297091237171,VALID_PAIRED_EVIDENCE,PASS
F49,evm_pct,-1.48302683172351e-14,-1.61265566310206e-14,-1.35339800034496e-14,VALID_PAIRED_EVIDENCE,PASS
F50,evm_pct,0.599999999999989,0.599999999999988,0.599999999999991,VALID_PAIRED_EVIDENCE,PASS
F51,evm_pct,0.599999999999989,0.599999999999988,0.599999999999991,VALID_PAIRED_EVIDENCE,PASS
F52,evm_pct,0.299999999999977,0.299999999999976,0.299999999999979,VALID_PAIRED_EVIDENCE,PASS
F53,evm_pct,0.199999999999992,0.19999999999999,0.199999999999994,VALID_PAIRED_EVIDENCE,PASS
F54,runtime_seconds,-0.000336416666666667,-0.000656972608057522,-1.5860725275811e-05,VALID_PAIRED_EVIDENCE,PASS
F55,runtime_seconds,-0.000156633333333333,-0.000430580034027059,0.000117313367360392,VALID_PAIRED_EVIDENCE,PASS
F56,waveform_digest_match,-1,-1,-1,VALID_PAIRED_EVIDENCE,PASS
F57,runtime_seconds,0.000204316666666667,-0.000169922766792241,0.000578556100125575,VALID_PAIRED_EVIDENCE,PASS
F58,runtime_seconds,-7.64833333333332e-05,-0.000303750380012002,0.000150783713345336,VALID_PAIRED_EVIDENCE,PASS
F59,runtime_seconds,0.00488396666666667,0.00345934401048905,0.00630858932284429,VALID_PAIRED_EVIDENCE,PASS
F60,planning_correct,0,0,0,VALID_PAIRED_EVIDENCE,PASS
F61,planning_correct,0,0,0,VALID_PAIRED_EVIDENCE,PASS
F62,planning_correct,0,0,0,VALID_PAIRED_EVIDENCE,PASS
F63,planning_correct,0,0,0,VALID_PAIRED_EVIDENCE,PASS
F64,planning_correct,0,0,0,VALID_PAIRED_EVIDENCE,PASS
