FamilyID,PAPR_dB,CCDF,OOB_dB,SpectralPowerError_dB,Status
F18,2.37214496309317,0.1,-2.37214496309317,-2.37214496309317,PASS
F19,2.37214496309317,0.2,-2.37214496309317,-2.37214496309317,PASS
F20,2.37214496309317,0.3,-2.37214496309317,-2.37214496309317,PASS
F21,2.37214496309317,0.4,-2.37214496309317,-2.37214496309317,PASS
F22,2.37214496309317,0.5,-2.37214496309317,-2.37214496309317,PASS
F23,2.37214496309317,0.6,-2.37214496309317,-2.37214496309317,PASS
F24,2.37214496309317,0.7,-2.37214496309317,-2.37214496309317,PASS
F25,2.37214496309317,0.8,-2.37214496309317,-2.37214496309317,PASS
F26,1.76793368868103e-15,0.9,1.76793368868103e-15,1.76793368868103e-15,PASS
F27,0,1,0,0,PASS
