FamilyID,Overlap,OOBEffect_dB,EVMEffect_pct,ISIEffect_dB,Status
F08,0,0.698321555595706,0.698321555595706,0.698321555595706,PASS
F09,2,2.49999999999989e-05,2.49999999999989e-05,2.49999999999989e-05,PASS
F10,4,9.99999999999773e-07,9.99999999999773e-07,9.99999999999773e-07,PASS
F11,6,0,0,0,PASS
F12,8,3.60000000000001e-05,3.60000000000001e-05,3.60000000000001e-05,PASS
F13,10,-2.37214496309317,2.37214496309317,-2.37214496309317,PASS
F14,12,-2.37214496309317,2.37214496309317,-2.37214496309317,PASS
F15,14,-2.37214496309317,2.37214496309317,-2.37214496309317,PASS
F16,16,0.565447905703039,0.565447905703039,0.565447905703039,PASS
F17,18,-2.37214496309317,2.37214496309317,-2.37214496309317,PASS
