RunId,CellId,UEId,AttemptId,Stage,OracleFieldName,WasAccessed,Allowed,Violation,Status
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue1_trial1_slot_10_snr_20000",1,1,1,"MSG1_gNB_detector","tx_preamble_oracle",0,0,0,"OK"
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue1_trial1_slot_10_snr_20000",1,1,1,"MSG2_ue_rar_receiver","rar_bytes_oracle",0,0,0,"OK"
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue1_trial1_slot_10_snr_20000",1,1,1,"MSG3_gNB_pusch_receiver","msg3_payload_oracle",0,0,0,"OK"
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue1_trial1_slot_10_snr_20000",1,1,1,"MSG4_ue_contention_receiver","msg4_identity_oracle",0,0,0,"OK"
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue2_trial1_slot_10_snr_20000",1,2,1,"MSG1_gNB_detector","tx_preamble_oracle",0,0,0,"OK"
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue2_trial1_slot_10_snr_20000",1,2,1,"MSG2_ue_rar_receiver","rar_bytes_oracle",0,0,0,"OK"
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue2_trial1_slot_10_snr_20000",1,2,1,"MSG3_gNB_pusch_receiver","msg3_payload_oracle",0,0,0,"OK"
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue2_trial1_slot_10_snr_20000",1,2,1,"MSG4_ue_contention_receiver","msg4_identity_oracle",0,0,0,"OK"
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue3_trial1_slot_10_snr_20000",1,3,1,"MSG1_gNB_detector","tx_preamble_oracle",0,0,0,"OK"
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue3_trial1_slot_10_snr_20000",1,3,1,"MSG2_ue_rar_receiver","rar_bytes_oracle",0,0,0,"OK"
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue3_trial1_slot_10_snr_20000",1,3,1,"MSG3_gNB_pusch_receiver","msg3_payload_oracle",0,0,0,"OK"
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue3_trial1_slot_10_snr_20000",1,3,1,"MSG4_ue_contention_receiver","msg4_identity_oracle",0,0,0,"OK"
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue4_trial1_slot_10_snr_20000",1,4,1,"MSG1_gNB_detector","tx_preamble_oracle",0,0,0,"OK"
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue4_trial1_slot_10_snr_20000",1,4,1,"MSG2_ue_rar_receiver","rar_bytes_oracle",0,0,0,"OK"
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue4_trial1_slot_10_snr_20000",1,4,1,"MSG3_gNB_pusch_receiver","msg3_payload_oracle",0,0,0,"OK"
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue4_trial1_slot_10_snr_20000",1,4,1,"MSG4_ue_contention_receiver","msg4_identity_oracle",0,0,0,"OK"
