RunId,CellId,UEId,AttemptId,StageName,Direction,StageSlot,RuntimeIntegrationMode,RuntimeTransportMode,WaveformSource,RuntimeStageWaveformUsed,SelfLoopWaveformUsed,RuntimeChannelStateUsed,ChannelFadingApplied,ChannelFadingExecutionStatus,RuntimeChannelLinkKey,RuntimeChannelSeed,RuntimeChannelStartSample,RuntimeChannelEndSample,RuntimeChannelIdleAdvancedSamples,NoiseApplied,NoiseSNR_dB,NoiseVariance,TxSampleCount,TxPortCount,RxSampleCount,RxPortCount
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue1_trial1_slot_10_snr_20000",1,1,1,"Msg1","UL",0,"coupled_truth_runtime","persistent_runtime_channel_state","runtime_channel_state",0,0,1,1,"applied_persistent_runtime_channel_object","dir=UL;tx=UE1;rx=gNB1;carrier=nrb=273:scs=30:fc=3500000000",1230389986,0,61440,0,1,20,8.35366441339172e-20,61440,4,61440,64
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue1_trial1_slot_10_snr_20000",1,1,1,"Msg2","DL",1,"coupled_truth_runtime","persistent_runtime_channel_state","runtime_channel_state",0,0,1,1,"applied_persistent_runtime_channel_object","dir=DL;tx=gNB1;rx=UE1;carrier=nrb=273:scs=30:fc=3500000000",1230389986,61440,122880,61440,1,20,2.58909148187127e-05,61440,1,61440,4
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue1_trial1_slot_10_snr_20000",1,1,1,"Msg3","UL",2,"coupled_truth_runtime","persistent_runtime_channel_state","runtime_channel_state",0,0,1,1,"applied_persistent_runtime_channel_object","dir=UL;tx=UE1;rx=gNB1;carrier=nrb=273:scs=30:fc=3500000000",1230389986,122880,184320,61440,1,20,7.3677523145069e-17,61440,4,61440,64
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue1_trial1_slot_10_snr_20000",1,1,1,"Msg4","DL",3,"coupled_truth_runtime","persistent_runtime_channel_state","runtime_channel_state",0,0,1,1,"applied_persistent_runtime_channel_object","dir=DL;tx=gNB1;rx=UE1;carrier=nrb=273:scs=30:fc=3500000000",1230389986,184320,245760,61440,1,20,2.58695135212067e-05,61440,1,61440,4
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue1_trial1_slot_10_snr_20000",1,1,1,"RRCSetupComplete","UL",NaN,"coupled_truth_runtime","persistent_runtime_channel_state","runtime_channel_state",0,0,1,1,"applied_persistent_runtime_channel_object","dir=UL;tx=UE1;rx=gNB1;carrier=nrb=273:scs=30:fc=3500000000",1230389986,184320,245760,61440,1,20,7.32764191382058e-17,61440,4,61440,64
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue2_trial1_slot_10_snr_20000",1,2,1,"Msg1","UL",0,"coupled_truth_runtime","persistent_runtime_channel_state","runtime_channel_state",0,0,1,1,"applied_persistent_runtime_channel_object","dir=UL;tx=UE2;rx=gNB1;carrier=nrb=273:scs=30:fc=3500000000",1251033514,0,61440,0,1,20,1.23838731572185e-19,61440,4,61440,64
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue2_trial1_slot_10_snr_20000",1,2,1,"Msg2","DL",1,"coupled_truth_runtime","persistent_runtime_channel_state","runtime_channel_state",0,0,1,1,"applied_persistent_runtime_channel_object","dir=DL;tx=gNB1;rx=UE2;carrier=nrb=273:scs=30:fc=3500000000",1251033514,61440,122880,61440,1,20,3.5436385964259e-05,61440,1,61440,4
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue2_trial1_slot_10_snr_20000",1,2,1,"Msg3","UL",2,"coupled_truth_runtime","persistent_runtime_channel_state","runtime_channel_state",0,0,1,1,"applied_persistent_runtime_channel_object","dir=UL;tx=UE2;rx=gNB1;carrier=nrb=273:scs=30:fc=3500000000",1251033514,122880,184320,61440,1,20,1.66647434372382e-16,61440,4,61440,64
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue2_trial1_slot_10_snr_20000",1,2,1,"Msg4","DL",3,"coupled_truth_runtime","persistent_runtime_channel_state","runtime_channel_state",0,0,1,1,"applied_persistent_runtime_channel_object","dir=DL;tx=gNB1;rx=UE2;carrier=nrb=273:scs=30:fc=3500000000",1251033514,184320,245760,61440,1,20,3.35985225888623e-05,61440,1,61440,4
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue2_trial1_slot_10_snr_20000",1,2,1,"RRCSetupComplete","UL",NaN,"coupled_truth_runtime","persistent_runtime_channel_state","runtime_channel_state",0,0,1,1,"applied_persistent_runtime_channel_object","dir=UL;tx=UE2;rx=gNB1;carrier=nrb=273:scs=30:fc=3500000000",1251033514,184320,245760,61440,1,20,1.66521908361254e-16,61440,4,61440,64
