RunId,CellId,UEId,AttemptId,TimerName,Action,StartSlot,StopSlot,ExpirySlot,Expired,ConfiguredDurationSlots,Status
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue1_trial1_slot_10_snr_20000",1,1,1,"ra-ResponseWindow","start",1,NaN,20,0,20,"running"
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue1_trial1_slot_10_snr_20000",1,1,1,"preambleTransMax","start",0,NaN,0,0,10,"attempt_1_of_configured_max"
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue1_trial1_slot_10_snr_20000",1,1,1,"ra-ResponseWindow","stop",1,1,20,0,20,"OK"
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue1_trial1_slot_10_snr_20000",1,1,1,"ra-ContentionResolutionTimer","stop",2,3,66,0,64,"OK"
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue2_trial1_slot_10_snr_20000",1,2,1,"ra-ResponseWindow","start",1,NaN,20,0,20,"running"
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue2_trial1_slot_10_snr_20000",1,2,1,"preambleTransMax","start",0,NaN,0,0,10,"attempt_1_of_configured_max"
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue2_trial1_slot_10_snr_20000",1,2,1,"ra-ResponseWindow","stop",1,1,20,0,20,"OK"
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue2_trial1_slot_10_snr_20000",1,2,1,"ra-ContentionResolutionTimer","stop",2,3,66,0,64,"OK"
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue3_trial1_slot_10_snr_20000",1,3,1,"ra-ResponseWindow","start",1,NaN,20,0,20,"running"
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue3_trial1_slot_10_snr_20000",1,3,1,"preambleTransMax","start",0,NaN,0,0,10,"attempt_1_of_configured_max"
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue3_trial1_slot_10_snr_20000",1,3,1,"ra-ResponseWindow","stop",1,1,20,0,20,"OK"
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue3_trial1_slot_10_snr_20000",1,3,1,"ra-ContentionResolutionTimer","stop",2,3,66,0,64,"OK"
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue4_trial1_slot_10_snr_20000",1,4,1,"ra-ResponseWindow","start",1,NaN,20,0,20,"running"
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue4_trial1_slot_10_snr_20000",1,4,1,"preambleTransMax","start",0,NaN,0,0,10,"attempt_1_of_configured_max"
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue4_trial1_slot_10_snr_20000",1,4,1,"ra-ResponseWindow","stop",1,1,20,0,20,"OK"
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue4_trial1_slot_10_snr_20000",1,4,1,"ra-ContentionResolutionTimer","stop",2,3,66,0,64,"OK"
