UEIndex,RNTI,ServingCell,CellAcquisitionState,AccessState,LastPDCCHStatus,SRSValidityState,CSIValidityState,TRSValidityState,SchedulingEligibility,ControlEligibility,SRSValid,SRSAgeSlots,TrackingEligibility,TRSAgeSlots,LastSuccessfulPBCHSlot,LastSuccessfulPRACHSlot,LastSuccessfulPDCCHSlot,LastSuccessfulPUCCHSlot,LastSuccessfulSRSSlot,LastSuccessfulTRSSlot,LastEstimatedTRSDopplerHz,TRSRuntimeConsumer,TRSReceiverIntegrationStatus,TRSReceiverIntegrationBlocker,TRSProcessed,TRSUpdateOutcome,TRSTrackingStateAfter,TRSRuntimeEvidenceSource,PBCHFailureCount,PRACHFailureCount,ControlDecodeFailureCount,PUCCHDecodeFailureCount,SRSInvalidEventCount,TRSFailureCount,GrantsBlockedByGating
1,1,5,acquired,succeeded,control_ok,invalid,no_successful_srs,valid,1,1,0,NaN,1,1,1,7,10,not_applicable,NaN,9,20.1908701924213,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
2,2,3,acquired,succeeded,control_ok,valid,fresh_srs,valid,1,1,1,2,1,1,1,7,10,not_applicable,8,9,26.3270212857789,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
3,3,1,acquired,succeeded,control_ok,valid,fresh_srs,valid,1,1,1,1,1,1,1,7,10,not_applicable,9,9,16.0072362627561,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
4,4,2,acquired,succeeded,control_ok,valid,fresh_srs,valid,1,1,1,0,1,1,1,7,10,not_applicable,10,9,15.5531145844488,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
5,5,1,acquired,succeeded,control_ok,invalid,no_successful_srs,valid,1,1,0,NaN,1,1,1,7,10,not_applicable,NaN,9,16.0072362627561,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
6,6,2,acquired,succeeded,control_ok,valid,fresh_srs,valid,1,1,1,2,1,1,1,7,10,not_applicable,8,9,15.5531145844488,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
7,7,5,acquired,succeeded,control_ok,valid,fresh_srs,valid,1,1,1,1,1,1,1,7,10,not_applicable,9,9,20.1908701924213,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
8,8,4,acquired,succeeded,control_ok,valid,fresh_srs,valid,1,1,1,0,1,1,1,7,10,not_applicable,10,9,11.1136918775636,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
9,9,1,acquired,succeeded,control_ok,invalid,no_successful_srs,valid,1,1,0,NaN,1,1,1,7,10,not_applicable,NaN,9,16.0072362627561,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
10,10,2,acquired,succeeded,control_ok,valid,fresh_srs,valid,1,1,1,2,1,1,1,7,10,not_applicable,8,9,15.5531145844488,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
11,11,5,acquired,succeeded,control_ok,valid,fresh_srs,valid,1,1,1,1,1,1,1,7,10,not_applicable,9,9,20.1908701924213,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
12,12,3,acquired,succeeded,control_ok,valid,fresh_srs,valid,1,1,1,0,1,1,1,7,10,not_applicable,10,9,26.3270212857789,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
13,13,3,acquired,succeeded,control_ok,invalid,no_successful_srs,valid,1,1,0,NaN,1,1,1,7,10,not_applicable,NaN,9,26.3270212857789,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
14,14,1,acquired,succeeded,control_ok,valid,fresh_srs,valid,1,1,1,2,1,1,1,7,10,not_applicable,8,9,16.0072362627561,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
