Direction,SignalFamily,SNR_dB,SFN,Frame,Slot,Time_s,CellID,BWPID,UEIndex,RNTI,ResourceID,ResourceSetID,CSIRSType,NumPorts,RowNumber,Density,Periodicity,SymbolLocations,SubcarrierLocations,RBOffset,NumRB,NRE,Scheduled,Transmitted,Observed,Consumed,Consumer,MeasurementRSRP_dB,MeasurementSource,UpdateOutcome,RuntimeMaterializationStatus,RuntimeBlocker,RuntimeEvidenceSource,RuntimeEventObserved,SourceArtifact,SourceTable,direction,frame,slot,cell_id,ue_id,rnti,timestamp_sim_ms,runtime_row_index,runtime_evidence,runtime_evidence_source,output_family_materialization,run_id,run_tag,scenario_id,scenario_variant_id,config_hash,code_commit,seed,drop_id,symbol,site_id,sector_id,bwp_id,carrier_id,beam_id,layer_id,stream_id,harq_id,block_id,pipeline_id,producer_module,status_code,status_classification,source_artifact_ref,source_tensor_ref,derived_flag,active_flag
"DL","CSI-RS",12,7,7,7,0.003,1,0,3,3,0,0,"nzp",2,3,"one","on",0,0,0,273,1092,1,1,1,1,"csi_feedback_reference_power_measurement",-100.67940131757,"received_csirs_reference_signal_power","observed_after_ofdm_demodulation","runtime_grid_mapped","not_applicable","sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation",1,"air_interface/csv/csi_rs_trials.csv","air_interface/csv/csi_rs_trials.csv","DL",7,7,1,3,3,3,1,"persisted_runtime_trial_row","air_interface/csv/csi_rs_trials.csv","runtime_backed_mirror",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.link.runDLPDSCHThroughput","implemented","runtime_reference_signal_trial_rows","air_interface/csv/csi_rs_trials.csv","not_applicable",0,1
"DL","CSI-RS",12,7,7,7,0.003,1,0,5,5,0,0,"nzp",2,3,"one","on",0,0,0,273,1092,1,1,1,1,"csi_feedback_reference_power_measurement",-116.498868323982,"received_csirs_reference_signal_power","observed_after_ofdm_demodulation","runtime_grid_mapped","not_applicable","sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation",1,"air_interface/csv/csi_rs_trials.csv","air_interface/csv/csi_rs_trials.csv","DL",7,7,1,5,5,3,2,"persisted_runtime_trial_row","air_interface/csv/csi_rs_trials.csv","runtime_backed_mirror",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.link.runDLPDSCHThroughput","implemented","runtime_reference_signal_trial_rows","air_interface/csv/csi_rs_trials.csv","not_applicable",0,1
"DL","CSI-RS",12,7,7,7,0.003,1,0,7,7,0,0,"nzp",2,3,"one","on",0,0,0,273,1092,1,1,1,1,"csi_feedback_reference_power_measurement",-85.5166928614586,"received_csirs_reference_signal_power","observed_after_ofdm_demodulation","runtime_grid_mapped","not_applicable","sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation",1,"air_interface/csv/csi_rs_trials.csv","air_interface/csv/csi_rs_trials.csv","DL",7,7,1,7,7,3,3,"persisted_runtime_trial_row","air_interface/csv/csi_rs_trials.csv","runtime_backed_mirror",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.link.runDLPDSCHThroughput","implemented","runtime_reference_signal_trial_rows","air_interface/csv/csi_rs_trials.csv","not_applicable",0,1
"DL","CSI-RS",12,7,7,7,0.003,1,0,9,9,0,0,"nzp",2,3,"one","on",0,0,0,273,1092,1,1,1,1,"csi_feedback_reference_power_measurement",-128.675537683259,"received_csirs_reference_signal_power","observed_after_ofdm_demodulation","runtime_grid_mapped","not_applicable","sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation",1,"air_interface/csv/csi_rs_trials.csv","air_interface/csv/csi_rs_trials.csv","DL",7,7,1,9,9,3,4,"persisted_runtime_trial_row","air_interface/csv/csi_rs_trials.csv","runtime_backed_mirror",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.link.runDLPDSCHThroughput","implemented","runtime_reference_signal_trial_rows","air_interface/csv/csi_rs_trials.csv","not_applicable",0,1
"DL","CSI-RS",12,7,7,7,0.003,1,0,14,14,0,0,"nzp",2,3,"one","on",0,0,0,273,1092,1,1,1,1,"csi_feedback_reference_power_measurement",-100.346206897436,"received_csirs_reference_signal_power","observed_after_ofdm_demodulation","runtime_grid_mapped","not_applicable","sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation",1,"air_interface/csv/csi_rs_trials.csv","air_interface/csv/csi_rs_trials.csv","DL",7,7,1,14,14,3,5,"persisted_runtime_trial_row","air_interface/csv/csi_rs_trials.csv","runtime_backed_mirror",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.link.runDLPDSCHThroughput","implemented","runtime_reference_signal_trial_rows","air_interface/csv/csi_rs_trials.csv","not_applicable",0,1
"DL","CSI-RS",12,7,7,7,0.003,1,0,19,19,0,0,"nzp",2,3,"one","on",0,0,0,273,1092,1,1,1,1,"csi_feedback_reference_power_measurement",-107.09630689643,"received_csirs_reference_signal_power","observed_after_ofdm_demodulation","runtime_grid_mapped","not_applicable","sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation",1,"air_interface/csv/csi_rs_trials.csv","air_interface/csv/csi_rs_trials.csv","DL",7,7,1,19,19,3,6,"persisted_runtime_trial_row","air_interface/csv/csi_rs_trials.csv","runtime_backed_mirror",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.link.runDLPDSCHThroughput","implemented","runtime_reference_signal_trial_rows","air_interface/csv/csi_rs_trials.csv","not_applicable",0,1
"DL","CSI-RS",12,7,7,7,0.003,1,0,26,26,0,0,"nzp",2,3,"one","on",0,0,0,273,1092,1,1,1,1,"csi_feedback_reference_power_measurement",-112.759483128893,"received_csirs_reference_signal_power","observed_after_ofdm_demodulation","runtime_grid_mapped","not_applicable","sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation",1,"air_interface/csv/csi_rs_trials.csv","air_interface/csv/csi_rs_trials.csv","DL",7,7,1,26,26,3,7,"persisted_runtime_trial_row","air_interface/csv/csi_rs_trials.csv","runtime_backed_mirror",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.link.runDLPDSCHThroughput","implemented","runtime_reference_signal_trial_rows","air_interface/csv/csi_rs_trials.csv","not_applicable",0,1
"DL","CSI-RS",12,7,7,7,0.003,1,0,27,27,0,0,"nzp",2,3,"one","on",0,0,0,273,1092,1,1,1,1,"csi_feedback_reference_power_measurement",-132.69084794182,"received_csirs_reference_signal_power","observed_after_ofdm_demodulation","runtime_grid_mapped","not_applicable","sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation",1,"air_interface/csv/csi_rs_trials.csv","air_interface/csv/csi_rs_trials.csv","DL",7,7,1,27,27,3,8,"persisted_runtime_trial_row","air_interface/csv/csi_rs_trials.csv","runtime_backed_mirror",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.link.runDLPDSCHThroughput","implemented","runtime_reference_signal_trial_rows","air_interface/csv/csi_rs_trials.csv","not_applicable",0,1
"DL","CSI-RS",12,7,7,7,0.003,1,0,43,43,0,0,"nzp",2,3,"one","on",0,0,0,273,1092,1,1,1,1,"csi_feedback_reference_power_measurement",-110.294318842709,"received_csirs_reference_signal_power","observed_after_ofdm_demodulation","runtime_grid_mapped","not_applicable","sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation",1,"air_interface/csv/csi_rs_trials.csv","air_interface/csv/csi_rs_trials.csv","DL",7,7,1,43,43,3,9,"persisted_runtime_trial_row","air_interface/csv/csi_rs_trials.csv","runtime_backed_mirror",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.link.runDLPDSCHThroughput","implemented","runtime_reference_signal_trial_rows","air_interface/csv/csi_rs_trials.csv","not_applicable",0,1
"DL","CSI-RS",12,7,7,7,0.003,1,0,47,47,0,0,"nzp",2,3,"one","on",0,0,0,273,1092,1,1,1,1,"csi_feedback_reference_power_measurement",-87.0339342676515,"received_csirs_reference_signal_power","observed_after_ofdm_demodulation","runtime_grid_mapped","not_applicable","sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation",1,"air_interface/csv/csi_rs_trials.csv","air_interface/csv/csi_rs_trials.csv","DL",7,7,1,47,47,3,10,"persisted_runtime_trial_row","air_interface/csv/csi_rs_trials.csv","runtime_backed_mirror",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.link.runDLPDSCHThroughput","implemented","runtime_reference_signal_trial_rows","air_interface/csv/csi_rs_trials.csv","not_applicable",0,1
