ExperimentID,FamilyID,PairID,Variant,Seed,TrialID,Factor,FactorValue,Wave,DependencyState,Stage,Success,ErrorType,Latency_ms,Energy_mJ,Runtime_ms,PeakMemory_MB,Status
F01-P01-B,F01,F01-P01,baseline,11,trial-F01-P01-B,SSBPeriodicity_ms,20,A,implemented_production_component,SSB,1,,3.60539377753538,0,165.7252,3535.61328125,PASS
F01-P01-T,F01,F01-P01,treatment,11,trial-F01-P01-T,SSBPeriodicity_ms,5,A,implemented_production_component,SSB,1,,0.901348444383846,0,82.838,3535.61328125,PASS
F01-P02-B,F01,F01-P02,baseline,23,trial-F01-P02-B,SSBPeriodicity_ms,20,A,implemented_production_component,SSB,1,,10.3459576769318,0,68.5956,3535.61328125,PASS
F01-P02-T,F01,F01-P02,treatment,23,trial-F01-P02-T,SSBPeriodicity_ms,10,A,implemented_production_component,SSB,1,,5.17297883846589,0,76.6299,3535.75,PASS
F01-P03-B,F01,F01-P03,baseline,47,trial-F01-P03-B,SSBPeriodicity_ms,20,A,implemented_production_component,SSB,1,,2.26976943787299,0,85.3996,3548.88671875,PASS
F01-P03-T,F01,F01-P03,treatment,47,trial-F01-P03-T,SSBPeriodicity_ms,40,A,implemented_production_component,SSB,1,,4.53953887574598,0,58.4584,3548.94921875,PASS
F01-P04-B,F01,F01-P04,baseline,89,trial-F01-P04-B,SSBPeriodicity_ms,20,A,implemented_production_component,SSB,1,,9.99388640937668,0,56.2938,3548.94921875,PASS
F01-P04-T,F01,F01-P04,treatment,89,trial-F01-P04-T,SSBPeriodicity_ms,80,A,implemented_production_component,SSB,1,,39.9755456375067,0,56.1945,3548.94921875,PASS
F01-P05-B,F01,F01-P05,baseline,131,trial-F01-P05-B,SSBPeriodicity_ms,20,A,implemented_production_component,SSB,1,,13.003072109435,0,56.2861,3548.94921875,PASS
F01-P05-T,F01,F01-P05,treatment,131,trial-F01-P05-T,SSBPeriodicity_ms,160,A,implemented_production_component,SSB,1,,104.02457687548,0,56.1478,3548.94921875,PASS
F01-P06-B,F01,F01-P06,baseline,197,trial-F01-P06-B,SSBPeriodicity_ms,20,A,implemented_production_component,SSB,1,,17.3581350834687,0,54.9838,3548.94921875,PASS
F01-P06-T,F01,F01-P06,treatment,197,trial-F01-P06-T,SSBPeriodicity_ms,5,A,implemented_production_component,SSB,1,,4.33953377086717,0,56.1423,3548.94921875,PASS
F02-P01-B,F02,F02-P01,baseline,11,trial-F02-P01-B,NumActiveSSBs,1,A,implemented_production_component,SSB,1,,3.60539377753538,0,62.7216,3548.94921875,PASS
F02-P01-T,F02,F02-P01,treatment,11,trial-F02-P01-T,NumActiveSSBs,2,A,implemented_production_component,SSB,1,,3.60539377753538,0,61.4016,3548.94921875,PASS
F02-P02-B,F02,F02-P02,baseline,23,trial-F02-P02-B,NumActiveSSBs,1,A,implemented_production_component,SSB,1,,10.3459576769318,0,59.6727,3547.08984375,PASS
F02-P02-T,F02,F02-P02,treatment,23,trial-F02-P02-T,NumActiveSSBs,4,A,implemented_production_component,SSB,1,,10.3459576769318,0,58.3993,3547.08984375,PASS
F02-P03-B,F02,F02-P03,baseline,47,trial-F02-P03-B,NumActiveSSBs,1,A,implemented_production_component,SSB,1,,2.26976943787299,0,58.4726,3547.08984375,PASS
F02-P03-T,F02,F02-P03,treatment,47,trial-F02-P03-T,NumActiveSSBs,8,A,implemented_production_component,SSB,1,,2.26976943787299,0,61.7753,3547.08984375,PASS
F02-P04-B,F02,F02-P04,baseline,89,trial-F02-P04-B,NumActiveSSBs,1,A,implemented_production_component,SSB,1,,9.99388640937668,0,56.0477,3547.08984375,PASS
F02-P04-T,F02,F02-P04,treatment,89,trial-F02-P04-T,NumActiveSSBs,2,A,implemented_production_component,SSB,1,,9.99388640937668,0,57.226,3547.2265625,PASS
F02-P05-B,F02,F02-P05,baseline,131,trial-F02-P05-B,NumActiveSSBs,1,A,implemented_production_component,SSB,1,,13.003072109435,0,55.9974,3547.2265625,PASS
F02-P05-T,F02,F02-P05,treatment,131,trial-F02-P05-T,NumActiveSSBs,4,A,implemented_production_component,SSB,1,,13.003072109435,0,60.0307,3547.2265625,PASS
F02-P06-B,F02,F02-P06,baseline,197,trial-F02-P06-B,NumActiveSSBs,1,A,implemented_production_component,SSB,1,,17.3581350834687,0,55.6786,3547.2265625,PASS
F02-P06-T,F02,F02-P06,treatment,197,trial-F02-P06-T,NumActiveSSBs,8,A,implemented_production_component,SSB,1,,17.3581350834687,0,56.2637,3547.2265625,PASS
F03-P01-B,F03,F03-P01,baseline,11,trial-F03-P01-B,SSBBitmapDensity,0.25,A,implemented_production_component,SSB,1,,3.60539377753538,0,56.0814,3547.2265625,PASS
F03-P01-T,F03,F03-P01,treatment,11,trial-F03-P01-T,SSBBitmapDensity,0.5,A,implemented_production_component,SSB,1,,3.60539377753538,0,56.2457,3547.2265625,PASS
F03-P02-B,F03,F03-P02,baseline,23,trial-F03-P02-B,SSBBitmapDensity,0.25,A,implemented_production_component,SSB,1,,10.3459576769318,0,58.4808,3547.2265625,PASS
F03-P02-T,F03,F03-P02,treatment,23,trial-F03-P02-T,SSBBitmapDensity,1.0,A,implemented_production_component,SSB,1,,10.3459576769318,0,55.8506,3547.2265625,PASS
F03-P03-B,F03,F03-P03,baseline,47,trial-F03-P03-B,SSBBitmapDensity,0.25,A,implemented_production_component,SSB,1,,2.26976943787299,0,56.7603,3547.52734375,PASS
F03-P03-T,F03,F03-P03,treatment,47,trial-F03-P03-T,SSBBitmapDensity,0.5,A,implemented_production_component,SSB,1,,2.26976943787299,0,106.2259,3547.52734375,PASS
F03-P04-B,F03,F03-P04,baseline,89,trial-F03-P04-B,SSBBitmapDensity,0.25,A,implemented_production_component,SSB,1,,9.99388640937668,0,66.1276,3547.52734375,PASS
F03-P04-T,F03,F03-P04,treatment,89,trial-F03-P04-T,SSBBitmapDensity,1.0,A,implemented_production_component,SSB,1,,9.99388640937668,0,75.4167,3547.4765625,PASS
F03-P05-B,F03,F03-P05,baseline,131,trial-F03-P05-B,SSBBitmapDensity,0.25,A,implemented_production_component,SSB,1,,13.003072109435,0,68.4132,3547.4609375,PASS
F03-P05-T,F03,F03-P05,treatment,131,trial-F03-P05-T,SSBBitmapDensity,0.5,A,implemented_production_component,SSB,1,,13.003072109435,0,120.869,3547.4609375,PASS
F03-P06-B,F03,F03-P06,baseline,197,trial-F03-P06-B,SSBBitmapDensity,0.25,A,implemented_production_component,SSB,1,,17.3581350834687,0,72.5446,3547.4609375,PASS
F03-P06-T,F03,F03-P06,treatment,197,trial-F03-P06-T,SSBBitmapDensity,1.0,A,implemented_production_component,SSB,1,,17.3581350834687,0,66.6664,3547.4609375,PASS
F04-P01-B,F04,F04-P01,baseline,11,trial-F04-P01-B,SSBCase,A,A,implemented_production_component,SSB,1,,3.60539377753538,0,62.717,3547.4609375,PASS
F04-P01-T,F04,F04-P01,treatment,11,trial-F04-P01-T,SSBCase,C,A,implemented_production_component,SSB,1,,3.60539377753538,0,61.9757,3547.5234375,PASS
F04-P02-B,F04,F04-P02,baseline,23,trial-F04-P02-B,SSBCase,A,A,implemented_production_component,SSB,1,,10.3459576769318,0,58.7477,3547.5234375,PASS
F04-P02-T,F04,F04-P02,treatment,23,trial-F04-P02-T,SSBCase,C,A,implemented_production_component,SSB,1,,10.3459576769318,0,58.3387,3547.5234375,PASS
F04-P03-B,F04,F04-P03,baseline,47,trial-F04-P03-B,SSBCase,A,A,implemented_production_component,SSB,1,,2.26976943787299,0,57.5331,3547.5234375,PASS
F04-P03-T,F04,F04-P03,treatment,47,trial-F04-P03-T,SSBCase,C,A,implemented_production_component,SSB,1,,2.26976943787299,0,57.8989,3547.5234375,PASS
