FamilyID,ExperimentID,Variant,CORESET0Index,SearchSpace0Index,AggregationLevel,SIB1MCS,SIB1PayloadBits,PDCCHDetectionProbability,SIB1BLER,Latency_ms,OverheadRE,Status
F01,F01-P01-B,baseline,0,0,4,0,256,1,0,3.60539377753538,960,PASS
F01,F01-P01-T,treatment,0,0,4,0,256,1,0,0.901348444383846,960,PASS
F01,F01-P02-B,baseline,0,0,4,0,256,1,0,10.3459576769318,960,PASS
F01,F01-P02-T,treatment,0,0,4,0,256,1,0,5.17297883846589,960,PASS
F01,F01-P03-B,baseline,0,0,4,0,256,1,0,2.26976943787299,960,PASS
F01,F01-P03-T,treatment,0,0,4,0,256,1,0,4.53953887574598,960,PASS
F01,F01-P04-B,baseline,0,0,4,0,256,1,0,9.99388640937668,960,PASS
F01,F01-P04-T,treatment,0,0,4,0,256,1,0,39.9755456375067,960,PASS
F01,F01-P05-B,baseline,0,0,4,0,256,1,0,13.003072109435,960,PASS
F01,F01-P05-T,treatment,0,0,4,0,256,1,0,104.02457687548,960,PASS
F01,F01-P06-B,baseline,0,0,4,0,256,1,0,17.3581350834687,960,PASS
F01,F01-P06-T,treatment,0,0,4,0,256,1,0,4.33953377086717,960,PASS
F02,F02-P01-B,baseline,0,0,4,0,256,1,0,3.60539377753538,960,PASS
F02,F02-P01-T,treatment,0,0,4,0,256,1,0,3.60539377753538,1920,PASS
F02,F02-P02-B,baseline,0,0,4,0,256,1,0,10.3459576769318,960,PASS
F02,F02-P02-T,treatment,0,0,4,0,256,1,0,10.3459576769318,3840,PASS
F02,F02-P03-B,baseline,0,0,4,0,256,1,0,2.26976943787299,960,PASS
F02,F02-P03-T,treatment,0,0,4,0,256,1,0,2.26976943787299,3840,PASS
F02,F02-P04-B,baseline,0,0,4,0,256,1,0,9.99388640937668,960,PASS
F02,F02-P04-T,treatment,0,0,4,0,256,1,0,9.99388640937668,1920,PASS
F02,F02-P05-B,baseline,0,0,4,0,256,1,0,13.003072109435,960,PASS
F02,F02-P05-T,treatment,0,0,4,0,256,1,0,13.003072109435,3840,PASS
F02,F02-P06-B,baseline,0,0,4,0,256,1,0,17.3581350834687,960,PASS
F02,F02-P06-T,treatment,0,0,4,0,256,1,0,17.3581350834687,3840,PASS
F03,F03-P01-B,baseline,0,0,4,0,256,1,0,3.60539377753538,960,PASS
F03,F03-P01-T,treatment,0,0,4,0,256,1,0,3.60539377753538,1920,PASS
F03,F03-P02-B,baseline,0,0,4,0,256,1,0,10.3459576769318,960,PASS
F03,F03-P02-T,treatment,0,0,4,0,256,1,0,10.3459576769318,3840,PASS
F03,F03-P03-B,baseline,0,0,4,0,256,1,0,2.26976943787299,960,PASS
F03,F03-P03-T,treatment,0,0,4,0,256,1,0,2.26976943787299,1920,PASS
F03,F03-P04-B,baseline,0,0,4,0,256,1,0,9.99388640937668,960,PASS
F03,F03-P04-T,treatment,0,0,4,0,256,1,0,9.99388640937668,3840,PASS
F03,F03-P05-B,baseline,0,0,4,0,256,1,0,13.003072109435,960,PASS
F03,F03-P05-T,treatment,0,0,4,0,256,1,0,13.003072109435,1920,PASS
F03,F03-P06-B,baseline,0,0,4,0,256,1,0,17.3581350834687,960,PASS
F03,F03-P06-T,treatment,0,0,4,0,256,1,0,17.3581350834687,3840,PASS
F04,F04-P01-B,baseline,0,0,4,0,256,1,0,3.60539377753538,960,PASS
F04,F04-P01-T,treatment,0,0,4,0,256,1,0,3.60539377753538,960,PASS
F04,F04-P02-B,baseline,0,0,4,0,256,1,0,10.3459576769318,960,PASS
F04,F04-P02-T,treatment,0,0,4,0,256,1,0,10.3459576769318,960,PASS
F04,F04-P03-B,baseline,0,0,4,0,256,1,0,2.26976943787299,960,PASS
F04,F04-P03-T,treatment,0,0,4,0,256,1,0,2.26976943787299,960,PASS
F04,F04-P04-B,baseline,0,0,4,0,256,1,0,9.99388640937668,960,PASS
F04,F04-P04-T,treatment,0,0,4,0,256,1,0,9.99388640937668,960,PASS
F04,F04-P05-B,baseline,0,0,4,0,256,1,0,13.003072109435,960,PASS
F04,F04-P05-T,treatment,0,0,4,0,256,1,0,13.003072109435,960,PASS
F04,F04-P06-B,baseline,0,0,4,0,256,1,0,17.3581350834687,960,PASS
F04,F04-P06-T,treatment,0,0,4,0,256,1,0,17.3581350834687,960,PASS
F05,F05-P01-B,baseline,0,0,4,0,256,1,0,3.60539377753538,960,PASS
F05,F05-P01-T,treatment,0,0,4,0,256,1,0,3.60539377753538,960,PASS
F05,F05-P02-B,baseline,0,0,4,0,256,1,0,10.3459576769318,960,PASS
F05,F05-P02-T,treatment,0,0,4,0,256,1,0,10.3459576769318,960,PASS
F05,F05-P03-B,baseline,0,0,4,0,256,1,0,2.26976943787299,960,PASS
F05,F05-P03-T,treatment,0,0,4,0,256,1,0,2.26976943787299,960,PASS
F05,F05-P04-B,baseline,0,0,4,0,256,1,0,9.99388640937668,960,PASS
F05,F05-P04-T,treatment,0,0,4,0,256,1,0,9.99388640937668,960,PASS
F05,F05-P05-B,baseline,0,0,4,0,256,1,0,13.003072109435,960,PASS
F05,F05-P05-T,treatment,0,0,4,0,256,1,0,13.003072109435,960,PASS
F05,F05-P06-B,baseline,0,0,4,0,256,1,0,17.3581350834687,960,PASS
F05,F05-P06-T,treatment,0,0,4,0,256,1,0,17.3581350834687,960,PASS
F06,F06-P01-B,baseline,0,0,4,0,256,1,0,3.60539377753538,960,PASS
F06,F06-P01-T,treatment,0,0,4,0,256,1,0,3.60539377753538,960,PASS
F06,F06-P02-B,baseline,0,0,4,0,256,1,0,10.3459576769318,960,PASS
F06,F06-P02-T,treatment,0,0,4,0,256,1,0,10.3459576769318,960,PASS
F06,F06-P03-B,baseline,0,0,4,0,256,1,0,2.26976943787299,960,PASS
F06,F06-P03-T,treatment,0,0,4,0,256,1,0,2.26976943787299,960,PASS
F06,F06-P04-B,baseline,0,0,4,0,256,1,0,9.99388640937668,960,PASS
F06,F06-P04-T,treatment,0,0,4,0,256,1,0,9.99388640937668,960,PASS
F06,F06-P05-B,baseline,0,0,4,0,256,1,0,13.003072109435,960,PASS
