FamilyID,ExperimentID,Variant,ScenarioScale,Runtime_ms,PeakMemory_MB,WaveformSamples,CandidateCount,ParallelMode,ArtifactDigest,Status
F01,F01-P01-B,baseline,1beam_1ue,165.7252,3535.61328125,0,4,serial,50d3cdbc9fcbe6bffaa2da234714c02c06924d391400177d8f0dbfda15203bf3,PASS
F01,F01-P01-T,treatment,1beam_1ue,82.838,3535.61328125,0,4,serial,b7706255809ca454bbcd5e173ceb481279e67db5da3600f38f8feff95ab8b669,PASS
F01,F01-P02-B,baseline,1beam_1ue,68.5956,3535.61328125,0,4,serial,325f6817d6af3c44cec3474fcaa304971afcd4addced718db7c97583966530e5,PASS
F01,F01-P02-T,treatment,1beam_1ue,76.6299,3535.75,0,4,serial,643efac7144a3875f49dd17d8ae1b31c6889b3b6f8d778216a00a2bc2321811f,PASS
F01,F01-P03-B,baseline,1beam_1ue,85.3996,3548.88671875,0,4,serial,ce0245515d625c56b739a6b878a89cf311794445e1fe4839f316e1ae9156cd7c,PASS
F01,F01-P03-T,treatment,1beam_1ue,58.4584,3548.94921875,0,4,serial,2000c0e8c018e97d06ad0da433450088429814e84277071e4c726a32be02f17f,PASS
F01,F01-P04-B,baseline,1beam_1ue,56.2938,3548.94921875,0,4,serial,6f9942ec69e32ab0bf179983766abed457d69a8f97a38f87b41dcaf0c321c31b,PASS
F01,F01-P04-T,treatment,1beam_1ue,56.1945,3548.94921875,0,4,serial,afa4d37d2470dc6747c37802be4b286b0315e2de244e0d29b976d642ca933407,PASS
F01,F01-P05-B,baseline,1beam_1ue,56.2861,3548.94921875,0,4,serial,383b8bf7f0f492d20c9c1ce244ae86112c00fb4630f8bcd212fad724ec6efbf2,PASS
F01,F01-P05-T,treatment,1beam_1ue,56.1478,3548.94921875,0,4,serial,f9c35166491f07d2b7aa37ee3dec96891737a4ba5dab9adef50d8eeb99189d14,PASS
F01,F01-P06-B,baseline,1beam_1ue,54.9838,3548.94921875,0,4,serial,a7c4fd0dbaa2aead17f8e0938b2f42abe6f32f3a3300ddeaf0ea72958eb82a63,PASS
F01,F01-P06-T,treatment,1beam_1ue,56.1423,3548.94921875,0,4,serial,ebf951dc6695ed737c632085f7e8f2b5733897b4fc479621965d9398838b326b,PASS
F02,F02-P01-B,baseline,1beam_1ue,62.7216,3548.94921875,0,4,serial,ed9d18bc774a7d990993f2ac51efd79f3c6ce39978d1561a1ca2675bf9d93ca7,PASS
F02,F02-P01-T,treatment,1beam_1ue,61.4016,3548.94921875,0,4,serial,a6a252255faff8ea0e97af7af88b326a133d96c455b138f332f5a89593205f11,PASS
F02,F02-P02-B,baseline,1beam_1ue,59.6727,3547.08984375,0,4,serial,d383f66757b5eb88516d25f789bd7531c181c023e96d80171e4d1f052fcfbe2b,PASS
