ImageFile,SourceCSVFiles,SourceCSVSHA256,PNG_SHA256,Width,Height,AxesCount,SeriesCount,FinitePointCount,Title,XLabel,YLabel,SemanticCheck,Status
ia_impact_ssb_periodicity.png,initial_access_impact_ssb.csv,441c5b1cd552452521edca5690f4ff345db914e32f059cfb8fa71961066e76a7,0c54727dbd788599d672cfdc8aab3d3bf506046e61532e09be0ce8ab0d217f56,1038,745,1,2,12,SSB periodicity impact,SSB periodicity ms,Acquisition latency / success,1,PASS
ia_impact_beam_count.png,initial_access_impact_ssb.csv,441c5b1cd552452521edca5690f4ff345db914e32f059cfb8fa71961066e76a7,51d9d1d1e27869341c9cb23517541a7bc6bcbf7f9dca04e9aeb008dc01f07982,1025,742,1,2,12,SSB beam count impact,Active SSB beams,Success / runtime,1,PASS
ia_impact_ssb_snr.png,initial_access_impact_ssb.csv,441c5b1cd552452521edca5690f4ff345db914e32f059cfb8fa71961066e76a7,3df455a723144f317186edaf5fe7c1dfa334aa2ba6ce8e08d98698a195825f54,1026,742,1,4,24,SSB acquisition versus SNR,SNR dB,Detection / BCH BLER,1,PASS
ia_impact_cfo_timing.png,initial_access_impact_ssb.csv,441c5b1cd552452521edca5690f4ff345db914e32f059cfb8fa71961066e76a7,acf6a02c46bb05f698e64108a5e35ed24604dd4341fe50dad945bc72257b718c,1038,745,1,4,24,SSB CFO and timing sensitivity,CFO / timing offset,Acquisition probability,1,PASS
ia_impact_pbch_dmrs.png,initial_access_impact_ssb.csv,441c5b1cd552452521edca5690f4ff345db914e32f059cfb8fa71961066e76a7,7f224147ebf83001251920842bdf3e1e2e58ba62597f1ddd9285aeaa1499ef0b,1033,742,1,2,12,PBCH DM-RS impact,DM-RS SNR dB,BCH BLER / NMSE,1,PASS
ia_impact_type0_coreset.png,initial_access_impact_type0_sib1.csv,b7153c435820da2de7c7af1800fab57f0c2d2f6831d2bf714625f6d70d035408,f7114a0c795f1acf6c5823f9c9d9fe1abac08af7b224252b0093d210354cc0bc,1025,742,1,2,12,CORESET0 impact,CORESET0 index,Detection / overhead,1,PASS
ia_impact_searchspace0.png,initial_access_impact_type0_sib1.csv,b7153c435820da2de7c7af1800fab57f0c2d2f6831d2bf714625f6d70d035408,0a898eb7a25d2af0d6b3b8dc28c9363b0b7bde8b947d19ad09e719ffd365d73e,1033,745,1,2,12,SearchSpace0 impact,SearchSpace0 index,Monitoring latency,1,PASS
ia_impact_pdcch_al.png,initial_access_impact_type0_sib1.csv,b7153c435820da2de7c7af1800fab57f0c2d2f6831d2bf714625f6d70d035408,303226e87bc2c25dfd01f073d045e77d22a52744ab21aebeffefe54edeb8c701,1029,745,1,2,12,Type-0 aggregation-level impact,Aggregation level,Detection probability,1,PASS
ia_impact_sib1_mcs.png,initial_access_impact_type0_sib1.csv,b7153c435820da2de7c7af1800fab57f0c2d2f6831d2bf714625f6d70d035408,5594cd16a25847fc32592e362a5b17b7e2c28a37b80dd7e4c4004709e29c3083,1030,742,1,2,12,SIB1 MCS impact,MCS,BLER / resource RE,1,PASS
ia_impact_sib1_payload.png,initial_access_impact_type0_sib1.csv,b7153c435820da2de7c7af1800fab57f0c2d2f6831d2bf714625f6d70d035408,0e5f738d95246278cf4e8479a6a44d1e82dbf9f2c269eef6ed7aec5946018cfc,1050,745,1,2,12,SIB1 payload-size impact,Payload bits,Required resources / BLER,1,PASS
ia_impact_prach_format.png,initial_access_impact_prach.csv,499b64f1f63111cc7f6463c9512e13a2f9f5a67fe52626ae28865a64f0b0a18a,e5a62d3e72fb7481721af40235af250efc8b7054091ca341cfe979c12f851be7,1025,742,1,2,24,PRACH format impact,Preamble format,Detection / timing error,1,PASS
ia_impact_prach_scs_cfo.png,initial_access_impact_prach.csv,499b64f1f63111cc7f6463c9512e13a2f9f5a67fe52626ae28865a64f0b0a18a,9c71659f77baff17b5512ffe15040a0503e26f965e0f6a7dc68ed6f34aec6580,1026,742,1,2,12,PRACH SCS and CFO,PRACH SCS kHz,Detection probability,1,PASS
ia_impact_restricted_set.png,initial_access_impact_prach.csv,499b64f1f63111cc7f6463c9512e13a2f9f5a67fe52626ae28865a64f0b0a18a,f8c8bee9967c7ae3694fab315107f73661be2d97044e4c470e8e89f1553f9e87,1071,791,1,2,24,Restricted-set impact,Restricted set,Detection / root usage,1,PASS
ia_impact_zcz.png,initial_access_impact_prach.csv,499b64f1f63111cc7f6463c9512e13a2f9f5a67fe52626ae28865a64f0b0a18a,88cbab05bce79d642f583f52e01a9aa7cbab5371bfa78fe5bb2d99311f685223,1023,745,1,2,12,Zero-correlation-zone impact,ZCZ configuration,Detection / collision leakage,1,PASS
ia_impact_msg1_fdm.png,initial_access_impact_prach.csv,499b64f1f63111cc7f6463c9512e13a2f9f5a67fe52626ae28865a64f0b0a18a,2a5197ce248781066cd982738cdfc8f08b48298dcb73fc6850b6b549c8a83801,1030,745,1,2,12,Msg1 FDM impact,Frequency occasions,Collision / overhead,1,PASS
ia_impact_ro_density.png,initial_access_impact_prach.csv,499b64f1f63111cc7f6463c9512e13a2f9f5a67fe52626ae28865a64f0b0a18a,e2932a4af45efbcdac7f5f582c95c8bb576958dc10ee7f88594bd85066c00b5e,1030,745,1,2,12,RA occasion density,Occasions per 10 ms,Latency / collision,1,PASS
ia_impact_ssb_ro_ratio.png,initial_access_impact_prach.csv|initial_access_impact_beam.csv,e7d618a202eed2a4125b59e9b65ac3e95f64a20d5048ca16cc4315c11d50c330,d0b2fa43afb396f37454cac1ecfd39b6c402240644e2305de5e9afd993681804,1031,745,1,2,12,SSB to RO association impact,SSBs per RO,Collision / latency,1,PASS
ia_impact_ue_load.png,initial_access_impact_contention.csv,16d96eed01cdd1f3484cb6d4ffc300438b6e9470759029d2cb3d15058d4dc9e5,941834a9a8cfe6c678f1c4e300d0dea552ec9063575543a8c90aecb90b903b49,1029,742,1,2,12,Contending UE load,Number of UEs,Collision / success,1,PASS
ia_impact_preamble_pool.png,initial_access_impact_contention.csv,16d96eed01cdd1f3484cb6d4ffc300438b6e9470759029d2cb3d15058d4dc9e5,bdc7d6bca475796e6c7cc0cbf66e0ead3091b825eb4dc86f65844fea01d4a978,1034,745,1,2,12,Preamble-pool impact,CB preambles per SSB,Collision probability,1,PASS
ia_impact_power_ramping.png,initial_access_impact_power.csv,a55fa4247641b12f2463668a08b3f1b152dd9234e08c4b02fd26bb3c2ee791af,8c493a470cf495a9c17a066a70e770c0bb621ee795253a932697c74121d32d70,1020,745,1,2,12,Preamble power-ramping impact,Ramping step dB,Attempts / energy,1,PASS
ia_impact_target_power.png,initial_access_impact_power.csv,a55fa4247641b12f2463668a08b3f1b152dd9234e08c4b02fd26bb3c2ee791af,9d89b112a4f85d4e55f6af50de647909a41da83ed87e11e9307222fa65fd4577,1037,745,1,2,12,Preamble target-power impact,Target power dBm,Detection / clipping,1,PASS
ia_impact_backoff.png,initial_access_impact_contention.csv,16d96eed01cdd1f3484cb6d4ffc300438b6e9470759029d2cb3d15058d4dc9e5,2f42ce5d751e6c846e54eda05b822baf2ca9dd376e48a33528bf1ad1f4c8376c,1038,742,1,2,12,Backoff impact,Backoff ms,Collision / latency,1,PASS
ia_impact_response_window.png,initial_access_impact_contention.csv,16d96eed01cdd1f3484cb6d4ffc300438b6e9470759029d2cb3d15058d4dc9e5,6733de158875ca0b103b6f21138f416813ccbf1460efc6acdeb8b5eb7258f8f3,1026,742,1,2,12,RAR response-window impact,Window slots,RAR miss / latency,1,PASS
ia_impact_capture.png,initial_access_impact_contention.csv,16d96eed01cdd1f3484cb6d4ffc300438b6e9470759029d2cb3d15058d4dc9e5,f6d69fd079c40009d3ad04996be7f38de25a3ea697ea4a168090fe5640b0da57,1034,742,1,2,12,Near-far capture,Near-far offset dB,Capture / success,1,PASS
ia_impact_msg3_harq.png,initial_access_impact_rrc.csv,0b6f9268d6b933bc08985b5208a0c8b511cc7ad33de0a448637d10178eb137ef,8eae2c3846059fc5e125467b4ce4ce4b6142eb86158f3c5ad94dbb1786a1ed2e,1026,743,1,2,12,Msg3 HARQ impact,HARQ mode / round,Success / latency,1,PASS
ia_impact_rrc_messages.png,initial_access_impact_rrc.csv,0b6f9268d6b933bc08985b5208a0c8b511cc7ad33de0a448637d10178eb137ef,5f6f3485f19cded23dfa6b7ac264afb84a5fba046ca074adbaa59b71b0f52764,1039,745,1,2,24,RRC message-size impact,Message bits,BLER / latency,1,PASS
ia_impact_e2e_snr.png,initial_access_impact_operating_points.csv,3ee7070a8126fe06f43f11e09f681d27be49d9b9c02768501a9a8a7cba4c08bb,cacccd28d035efeb2c5335ce7f5f17d4f3b4962d98b566ddf424b93814daf15c,1029,742,1,2,12,End-to-end access versus SNR,SNR dB,RRC connected probability,1,PASS
ia_impact_runtime_scaling.png,initial_access_impact_runtime.csv,deeee3ab476b4505bd3ec6b57c00a235f064c762250d0a864e772aff17b1ad78,ec4f4a683f53587eccbe14e346cba856073de0c788384f38532832e80b0f9169,1037,776,1,2,12,Initial-access runtime scaling,Scenario scale,Runtime / memory,1,PASS
ia_impact_effect_forest.png,initial_access_impact_pairwise_effects.csv,435db324b8dd5c35afa7f8cc5ff1deba59755b5d647cf5b205bce04ac9b0cd9a,f9a1fdbce1e9960d2c06085ee617ecc0b32689129552df6d89f754a0a845e839,1029,742,1,1,120,Initial-access effect-size forest,Treatment minus baseline,Effect size,1,PASS
ia_impact_family_summary.png,initial_access_impact_summary.csv,c937db3c9313bc776cc084958d4f691b2860f7506ab9bcae57ff4abcf50f7db3,3bed31ff6ed17fb83d1e3c06ae9d37d12acac3c90a5250de0869d12d68e20570,1017,745,1,1,60,Initial-access impact summary,Impact family,Conclusion / status,1,PASS
