FamilyID,PairID,Metric,BaselineValue,TreatmentValue,Effect,EffectUnit,CILower,CIUpper,PValue,AdjustedPValue,EffectSize,PracticalThreshold,Conclusion,Status
F01,F01-P01,Success,1,1,0,probability,0,0,1,1,0,0.01,no_detectable_effect,PASS
F01,F01-P01,Latency_ms,3.60539377753538,0.901348444383846,-2.70404533315154,ms,-2.70404533315154,-2.70404533315154,0,0,0.75,0.0360539377753538,beneficial,PASS
F01,F01-P01,Energy_mJ,0,0,0,mJ,0,0,1,1,0,0.01,no_detectable_effect,PASS
F01,F01-P01,Runtime_ms,165.7252,82.838,-82.8872,ms,-82.8872,-82.8872,0,0,0.500148438499395,1.657252,beneficial,PASS
F01,F01-P01,PeakMemory_MB,3535.61328125,3535.61328125,0,MB,0,0,1,1,0,35.3561328125,no_detectable_effect,PASS
F01,F01-P02,Success,1,1,0,probability,0,0,1,1,0,0.01,no_detectable_effect,PASS
F01,F01-P02,Latency_ms,10.3459576769318,5.17297883846589,-5.17297883846589,ms,-5.17297883846589,-5.17297883846589,0,0,0.5,0.103459576769318,beneficial,PASS
F01,F01-P02,Energy_mJ,0,0,0,mJ,0,0,1,1,0,0.01,no_detectable_effect,PASS
F01,F01-P02,Runtime_ms,68.5956,76.6299,8.0343,ms,8.0343,8.0343,0,0,0.117125588230149,0.685956,harmful,PASS
F01,F01-P02,PeakMemory_MB,3535.61328125,3535.75,0.13671875,MB,0.13671875,0.13671875,0,0,3.86690339480973e-05,35.3561328125,no_detectable_effect,PASS
F01,F01-P03,Success,1,1,0,probability,0,0,1,1,0,0.01,no_detectable_effect,PASS
F01,F01-P03,Latency_ms,2.26976943787299,4.53953887574598,2.26976943787299,ms,2.26976943787299,2.26976943787299,0,0,1,0.0226976943787299,harmful,PASS
F01,F01-P03,Energy_mJ,0,0,0,mJ,0,0,1,1,0,0.01,no_detectable_effect,PASS
F01,F01-P03,Runtime_ms,85.3996,58.4584,-26.9412,ms,-26.9412,-26.9412,0,0,0.315472203616879,0.853996,beneficial,PASS
F01,F01-P03,PeakMemory_MB,3548.88671875,3548.94921875,0.0625,MB,0.0625,0.0625,0,0,1.7611156667749e-05,35.4888671875,no_detectable_effect,PASS
F01,F01-P04,Success,1,1,0,probability,0,0,1,1,0,0.01,no_detectable_effect,PASS
F01,F01-P04,Latency_ms,9.99388640937668,39.9755456375067,29.98165922813,ms,29.98165922813,29.98165922813,0,0,3,0.0999388640937668,harmful,PASS
F01,F01-P04,Energy_mJ,0,0,0,mJ,0,0,1,1,0,0.01,no_detectable_effect,PASS
F01,F01-P04,Runtime_ms,56.2938,56.1945,-0.0992999999999995,ms,-0.0992999999999995,-0.0992999999999995,0,0,0.00176395979663834,0.562938,no_detectable_effect,PASS
F01,F01-P04,PeakMemory_MB,3548.94921875,3548.94921875,0,MB,0,0,1,1,0,35.4894921875,no_detectable_effect,PASS
F01,F01-P05,Success,1,1,0,probability,0,0,1,1,0,0.01,no_detectable_effect,PASS
F01,F01-P05,Latency_ms,13.003072109435,104.02457687548,91.0215047660449,ms,91.0215047660449,91.0215047660449,0,0,7,0.13003072109435,harmful,PASS
F01,F01-P05,Energy_mJ,0,0,0,mJ,0,0,1,1,0,0.01,no_detectable_effect,PASS
F01,F01-P05,Runtime_ms,56.2861,56.1478,-0.138300000000001,ms,-0.138300000000001,-0.138300000000001,0,0,0.00245708976106003,0.562861,no_detectable_effect,PASS
F01,F01-P05,PeakMemory_MB,3548.94921875,3548.94921875,0,MB,0,0,1,1,0,35.4894921875,no_detectable_effect,PASS
F01,F01-P06,Success,1,1,0,probability,0,0,1,1,0,0.01,no_detectable_effect,PASS
F01,F01-P06,Latency_ms,17.3581350834687,4.33953377086717,-13.0186013126015,ms,-13.0186013126015,-13.0186013126015,0,0,0.75,0.173581350834687,beneficial,PASS
F01,F01-P06,Energy_mJ,0,0,0,mJ,0,0,1,1,0,0.01,no_detectable_effect,PASS
F01,F01-P06,Runtime_ms,54.9838,56.1423,1.1585,ms,1.1585,1.1585,0,0,0.0210698423899402,0.549838,harmful,PASS
F01,F01-P06,PeakMemory_MB,3548.94921875,3548.94921875,0,MB,0,0,1,1,0,35.4894921875,no_detectable_effect,PASS
F02,F02-P01,Success,1,1,0,probability,0,0,1,1,0,0.01,no_detectable_effect,PASS
F02,F02-P01,Latency_ms,3.60539377753538,3.60539377753538,0,ms,0,0,1,1,0,0.0360539377753538,no_detectable_effect,PASS
F02,F02-P01,Energy_mJ,0,0,0,mJ,0,0,1,1,0,0.01,no_detectable_effect,PASS
F02,F02-P01,Runtime_ms,62.7216,61.4016,-1.32,ms,-1.32,-1.32,0,0,0.02104538149537,0.627216,beneficial,PASS
F02,F02-P01,PeakMemory_MB,3548.94921875,3548.94921875,0,MB,0,0,1,1,0,35.4894921875,no_detectable_effect,PASS
F02,F02-P02,Success,1,1,0,probability,0,0,1,1,0,0.01,no_detectable_effect,PASS
F02,F02-P02,Latency_ms,10.3459576769318,10.3459576769318,0,ms,0,0,1,1,0,0.103459576769318,no_detectable_effect,PASS
F02,F02-P02,Energy_mJ,0,0,0,mJ,0,0,1,1,0,0.01,no_detectable_effect,PASS
F02,F02-P02,Runtime_ms,59.6727,58.3993,-1.2734,ms,-1.2734,-1.2734,0,0,0.0213397416238916,0.596727,beneficial,PASS
F02,F02-P02,PeakMemory_MB,3547.08984375,3547.08984375,0,MB,0,0,1,1,0,35.4708984375,no_detectable_effect,PASS
F02,F02-P03,Success,1,1,0,probability,0,0,1,1,0,0.01,no_detectable_effect,PASS
F02,F02-P03,Latency_ms,2.26976943787299,2.26976943787299,0,ms,0,0,1,1,0,0.0226976943787299,no_detectable_effect,PASS
F02,F02-P03,Energy_mJ,0,0,0,mJ,0,0,1,1,0,0.01,no_detectable_effect,PASS
F02,F02-P03,Runtime_ms,58.4726,61.7753,3.3027,ms,3.3027,3.3027,0,0,0.0564828654788739,0.584726,harmful,PASS
F02,F02-P03,PeakMemory_MB,3547.08984375,3547.08984375,0,MB,0,0,1,1,0,35.4708984375,no_detectable_effect,PASS
F02,F02-P04,Success,1,1,0,probability,0,0,1,1,0,0.01,no_detectable_effect,PASS
F02,F02-P04,Latency_ms,9.99388640937668,9.99388640937668,0,ms,0,0,1,1,0,0.0999388640937668,no_detectable_effect,PASS
F02,F02-P04,Energy_mJ,0,0,0,mJ,0,0,1,1,0,0.01,no_detectable_effect,PASS
F02,F02-P04,Runtime_ms,56.0477,57.226,1.1783,ms,1.1783,1.1783,0,0,0.0210231641976388,0.560477,harmful,PASS
