ExperimentID,FamilyID,PairID,Variant,Stage,Trials,Errors,Probability,CILower,CIUpper,ConfidenceLevel,StopReason,Incomplete,Status
F01-P01-B,F01,F01-P01,baseline,SSB,1,0,1,0.206549314377237,1,0.95,factor=SSBPeriodicity_ms;factor_value=20;paired_trial_complete,0,PASS
F01-P01-T,F01,F01-P01,treatment,SSB,1,0,1,0.206549314377237,1,0.95,factor=SSBPeriodicity_ms;factor_value=5;paired_trial_complete,0,PASS
F01-P02-B,F01,F01-P02,baseline,SSB,1,0,1,0.206549314377237,1,0.95,factor=SSBPeriodicity_ms;factor_value=20;paired_trial_complete,0,PASS
F01-P02-T,F01,F01-P02,treatment,SSB,1,0,1,0.206549314377237,1,0.95,factor=SSBPeriodicity_ms;factor_value=10;paired_trial_complete,0,PASS
F01-P03-B,F01,F01-P03,baseline,SSB,1,0,1,0.206549314377237,1,0.95,factor=SSBPeriodicity_ms;factor_value=20;paired_trial_complete,0,PASS
F01-P03-T,F01,F01-P03,treatment,SSB,1,0,1,0.206549314377237,1,0.95,factor=SSBPeriodicity_ms;factor_value=40;paired_trial_complete,0,PASS
F01-P04-B,F01,F01-P04,baseline,SSB,1,0,1,0.206549314377237,1,0.95,factor=SSBPeriodicity_ms;factor_value=20;paired_trial_complete,0,PASS
F01-P04-T,F01,F01-P04,treatment,SSB,1,0,1,0.206549314377237,1,0.95,factor=SSBPeriodicity_ms;factor_value=80;paired_trial_complete,0,PASS
F01-P05-B,F01,F01-P05,baseline,SSB,1,0,1,0.206549314377237,1,0.95,factor=SSBPeriodicity_ms;factor_value=20;paired_trial_complete,0,PASS
F01-P05-T,F01,F01-P05,treatment,SSB,1,0,1,0.206549314377237,1,0.95,factor=SSBPeriodicity_ms;factor_value=160;paired_trial_complete,0,PASS
F01-P06-B,F01,F01-P06,baseline,SSB,1,0,1,0.206549314377237,1,0.95,factor=SSBPeriodicity_ms;factor_value=20;paired_trial_complete,0,PASS
F01-P06-T,F01,F01-P06,treatment,SSB,1,0,1,0.206549314377237,1,0.95,factor=SSBPeriodicity_ms;factor_value=5;paired_trial_complete,0,PASS
F02-P01-B,F02,F02-P01,baseline,SSB,1,0,1,0.206549314377237,1,0.95,factor=NumActiveSSBs;factor_value=1;paired_trial_complete,0,PASS
F02-P01-T,F02,F02-P01,treatment,SSB,1,0,1,0.206549314377237,1,0.95,factor=NumActiveSSBs;factor_value=2;paired_trial_complete,0,PASS
F02-P02-B,F02,F02-P02,baseline,SSB,1,0,1,0.206549314377237,1,0.95,factor=NumActiveSSBs;factor_value=1;paired_trial_complete,0,PASS
F02-P02-T,F02,F02-P02,treatment,SSB,1,0,1,0.206549314377237,1,0.95,factor=NumActiveSSBs;factor_value=4;paired_trial_complete,0,PASS
F02-P03-B,F02,F02-P03,baseline,SSB,1,0,1,0.206549314377237,1,0.95,factor=NumActiveSSBs;factor_value=1;paired_trial_complete,0,PASS
F02-P03-T,F02,F02-P03,treatment,SSB,1,0,1,0.206549314377237,1,0.95,factor=NumActiveSSBs;factor_value=8;paired_trial_complete,0,PASS
F02-P04-B,F02,F02-P04,baseline,SSB,1,0,1,0.206549314377237,1,0.95,factor=NumActiveSSBs;factor_value=1;paired_trial_complete,0,PASS
F02-P04-T,F02,F02-P04,treatment,SSB,1,0,1,0.206549314377237,1,0.95,factor=NumActiveSSBs;factor_value=2;paired_trial_complete,0,PASS
F02-P05-B,F02,F02-P05,baseline,SSB,1,0,1,0.206549314377237,1,0.95,factor=NumActiveSSBs;factor_value=1;paired_trial_complete,0,PASS
F02-P05-T,F02,F02-P05,treatment,SSB,1,0,1,0.206549314377237,1,0.95,factor=NumActiveSSBs;factor_value=4;paired_trial_complete,0,PASS
F02-P06-B,F02,F02-P06,baseline,SSB,1,0,1,0.206549314377237,1,0.95,factor=NumActiveSSBs;factor_value=1;paired_trial_complete,0,PASS
F02-P06-T,F02,F02-P06,treatment,SSB,1,0,1,0.206549314377237,1,0.95,factor=NumActiveSSBs;factor_value=8;paired_trial_complete,0,PASS
F03-P01-B,F03,F03-P01,baseline,SSB,1,0,1,0.206549314377237,1,0.95,factor=SSBBitmapDensity;factor_value=0.25;paired_trial_complete,0,PASS
