RunID,CaseID,AbsoluteSlot,SearchSpaceID,SearchSpaceType,CORESETID,AggregationLevel,CandidateIndex,FirstCCE,CCEIndices,YValue,NCI,FormulaMismatchCount,Status
PDCCH_PHASE04_R18,CAND01_01,1,1,CSS,1,1,0,0,0,0,0,0,PASS
PDCCH_PHASE04_R18,CAND01_01,1,1,CSS,1,1,1,6,6,0,0,0,PASS
PDCCH_PHASE04_R18,CAND01_01,1,1,CSS,1,1,2,12,12,0,0,0,PASS
PDCCH_PHASE04_R18,CAND01_01,1,1,CSS,1,1,3,18,18,0,0,0,PASS
PDCCH_PHASE04_R18,CAND01_01,1,1,CSS,1,1,4,24,24,0,0,0,PASS
PDCCH_PHASE04_R18,CAND01_01,1,1,CSS,1,1,5,30,30,0,0,0,PASS
PDCCH_PHASE04_R18,CAND01_01,1,1,CSS,1,1,6,36,36,0,0,0,PASS
PDCCH_PHASE04_R18,CAND01_01,1,1,CSS,1,1,7,42,42,0,0,0,PASS
PDCCH_PHASE04_R18,CAND01_02,1,1,CSS,1,2,0,0,0|1,0,0,0,PASS
PDCCH_PHASE04_R18,CAND01_02,1,1,CSS,1,2,1,6,6|7,0,0,0,PASS
PDCCH_PHASE04_R18,CAND01_02,1,1,CSS,1,2,2,12,12|13,0,0,0,PASS
PDCCH_PHASE04_R18,CAND01_02,1,1,CSS,1,2,3,18,18|19,0,0,0,PASS
PDCCH_PHASE04_R18,CAND01_02,1,1,CSS,1,2,4,24,24|25,0,0,0,PASS
PDCCH_PHASE04_R18,CAND01_02,1,1,CSS,1,2,5,30,30|31,0,0,0,PASS
PDCCH_PHASE04_R18,CAND01_02,1,1,CSS,1,2,6,36,36|37,0,0,0,PASS
PDCCH_PHASE04_R18,CAND01_02,1,1,CSS,1,2,7,42,42|43,0,0,0,PASS
PDCCH_PHASE04_R18,CAND01_04,1,1,CSS,1,4,0,0,0|1|2|3,0,0,0,PASS
PDCCH_PHASE04_R18,CAND01_04,1,1,CSS,1,4,1,12,12|13|14|15,0,0,0,PASS
PDCCH_PHASE04_R18,CAND01_04,1,1,CSS,1,4,2,24,24|25|26|27,0,0,0,PASS
PDCCH_PHASE04_R18,CAND01_04,1,1,CSS,1,4,3,36,36|37|38|39,0,0,0,PASS
PDCCH_PHASE04_R18,CAND01_08,1,1,CSS,1,8,0,0,0|1|2|3|4|5|6|7,0,0,0,PASS
PDCCH_PHASE04_R18,CAND01_08,1,1,CSS,1,8,1,24,24|25|26|27|28|29|30|31,0,0,0,PASS
PDCCH_PHASE04_R18,CAND01_16,1,1,CSS,1,16,0,0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,0,0,0,PASS
PDCCH_PHASE04_R18,CAND02_01,2,2,USS,1,1,0,35,35,65267,0,0,PASS
PDCCH_PHASE04_R18,CAND02_01,2,2,USS,1,1,1,41,41,65267,0,0,PASS
PDCCH_PHASE04_R18,CAND02_01,2,2,USS,1,1,2,47,47,65267,0,0,PASS
PDCCH_PHASE04_R18,CAND02_01,2,2,USS,1,1,3,5,5,65267,0,0,PASS
PDCCH_PHASE04_R18,CAND02_01,2,2,USS,1,1,4,11,11,65267,0,0,PASS
PDCCH_PHASE04_R18,CAND02_01,2,2,USS,1,1,5,17,17,65267,0,0,PASS
