RunID,CaseID,DCIFormat,ContextDigest,PayloadBits,InputBitsSHA256,DecodedBitsSHA256,FieldMismatchCount,LengthMismatchRejected,MissingFieldRejected,OutOfRangeRejected,UnexpectedFieldRejected,Status
PDCCH_PHASE04_R18,DCI0016,1_1,39b12b1aef1b77edf72fc3e436d739a734942ab662d0f26c4461a066194587ca,62,dac38ff1463e10c72d8d8a9fa43ef5ca5aef9e8c779d2c10351e8a59d73f9a86,dac38ff1463e10c72d8d8a9fa43ef5ca5aef9e8c779d2c10351e8a59d73f9a86,0,true,true,true,true,PASS
PDCCH_PHASE04_R18,DCI0017,0_0,03ca73edcd1dc2cf92fc94fe9eeadb1134fb2d060d17e94eaa9cb87b9fcd0d99,44,e61edf489f1502dee5c15c42c8c6d6c1692308d040234e527efd0273a5542735,e61edf489f1502dee5c15c42c8c6d6c1692308d040234e527efd0273a5542735,0,true,true,true,true,PASS
PDCCH_PHASE04_R18,DCI0018,0_1,a3824db8efa8b0cfc1b8fe10dd6e6b99698d26ce61ad7e49ed79104fcf0919b2,57,27e38f2126143b93b7c7be12da51669b4964a25e2eab69977b171887275921e6,27e38f2126143b93b7c7be12da51669b4964a25e2eab69977b171887275921e6,0,true,true,true,true,PASS
PDCCH_PHASE04_R18,DCI0019,1_0,1bda0665f1a86551bfb952bed54901c28dfcadfdb24905d33700b0f5e6efccf6,44,ca3de0d1baf40fd24712dd2adee3547ad22a29325e3959720d7c60a4345db2ee,ca3de0d1baf40fd24712dd2adee3547ad22a29325e3959720d7c60a4345db2ee,0,true,true,true,true,PASS
PDCCH_PHASE04_R18,DCI0020,1_1,39b12b1aef1b77edf72fc3e436d739a734942ab662d0f26c4461a066194587ca,62,008949c3596ac3da64de727db7c837e0d85e4609b9e7feaac6fb46c4df4f3185,008949c3596ac3da64de727db7c837e0d85e4609b9e7feaac6fb46c4df4f3185,0,true,true,true,true,PASS
PDCCH_PHASE04_R18,DCI0021,0_0,03ca73edcd1dc2cf92fc94fe9eeadb1134fb2d060d17e94eaa9cb87b9fcd0d99,44,75422ab8a95be46e2fcbde90ccce8122afaeb6009cce28a1bc75140b1fa6bfd1,75422ab8a95be46e2fcbde90ccce8122afaeb6009cce28a1bc75140b1fa6bfd1,0,true,true,true,true,PASS
PDCCH_PHASE04_R18,DCI0022,0_1,a3824db8efa8b0cfc1b8fe10dd6e6b99698d26ce61ad7e49ed79104fcf0919b2,57,448db73deddd456995aa158dccf47329e4bcd3434895bdb11076a7d524c234ca,448db73deddd456995aa158dccf47329e4bcd3434895bdb11076a7d524c234ca,0,true,true,true,true,PASS
PDCCH_PHASE04_R18,DCI0023,1_0,1bda0665f1a86551bfb952bed54901c28dfcadfdb24905d33700b0f5e6efccf6,44,1feb6f24da9dd1b5c7515756fc4b554d23c56d0f5007ab1e389bc1ea6b89f9a7,1feb6f24da9dd1b5c7515756fc4b554d23c56d0f5007ab1e389bc1ea6b89f9a7,0,true,true,true,true,PASS
PDCCH_PHASE04_R18,DCI0024,1_1,39b12b1aef1b77edf72fc3e436d739a734942ab662d0f26c4461a066194587ca,62,5ed2199c859d4f1cf2a35063e8e95fb01943a03a62bfa74a5d8907d3bd7c62a3,5ed2199c859d4f1cf2a35063e8e95fb01943a03a62bfa74a5d8907d3bd7c62a3,0,true,true,true,true,PASS
PDCCH_PHASE04_R18,DCI0025,0_0,03ca73edcd1dc2cf92fc94fe9eeadb1134fb2d060d17e94eaa9cb87b9fcd0d99,44,5e2ee0013fd865b44cd0dce1342077541665b55a1c7bde424abb1126ab2fd0b0,5e2ee0013fd865b44cd0dce1342077541665b55a1c7bde424abb1126ab2fd0b0,0,true,true,true,true,PASS
