RunID,CaseID,RNTIType,RNTIValue,SearchSpaceType,DCIFormat,Procedure,Allowed,CRCMaskApplied,WrongMaskRejected,GrantCreated,Status
PDCCH_PHASE04_R18,RNTI0001,C-RNTI,17922,USS|TYPE1|TYPE3,0_0|0_1|1_0|1_1,connected_unicast,true,true,true,true,PASS
PDCCH_PHASE04_R18,RNTI0002,CS-RNTI,17923,USS|TYPE1A|TYPE3,0_0|0_1|1_0|1_1,configured_scheduling,true,true,true,true,PASS
PDCCH_PHASE04_R18,RNTI0003,MCS-C-RNTI,17924,USS|TYPE3,0_0|0_1|1_0|1_1,mcs_specific_unicast,true,true,true,true,PASS
PDCCH_PHASE04_R18,RNTI0004,TC-RNTI,17925,CSS|TYPE1,0_0|1_0,contention_resolution,true,true,true,true,PASS
PDCCH_PHASE04_R18,RNTI0005,SI-RNTI,65535,CSS|TYPE0|TYPE0A,1_0,system_information,true,true,true,true,PASS
PDCCH_PHASE04_R18,RNTI0006,P-RNTI,65534,CSS|TYPE2,1_0,paging,true,true,true,true,PASS
PDCCH_PHASE04_R18,RNTI0007,RA-RNTI,17928,CSS|TYPE1,1_0,random_access_response,true,true,true,true,PASS
PDCCH_PHASE04_R18,RNTI0008,MsgB-RNTI,17929,CSS|TYPE1,1_0,two_step_random_access_response,true,true,true,false,PASS
PDCCH_PHASE04_R18,RNTI0009,SP-CSI-RNTI,17930,USS,0_1,semi_persistent_csi,true,true,true,false,PASS
PDCCH_PHASE04_R18,RNTI0010,SFI-RNTI,17931,TYPE3,2_0,slot_format_indication,true,true,true,false,PASS
PDCCH_PHASE04_R18,RNTI0011,INT-RNTI,17932,TYPE3,2_1,preemption_indication,true,true,true,false,PASS
PDCCH_PHASE04_R18,RNTI0012,TPC-PUSCH-RNTI,17933,TYPE3,2_2,group_tpc_pusch,true,true,true,false,PASS
PDCCH_PHASE04_R18,RNTI0013,TPC-PUCCH-RNTI,17934,TYPE3,2_2,group_tpc_pucch,true,true,true,false,PASS
PDCCH_PHASE04_R18,RNTI0014,TPC-SRS-RNTI,17935,TYPE3,2_3,group_tpc_srs,true,true,true,false,PASS
PDCCH_PHASE04_R18,RNTI0015,CI-RNTI,17936,TYPE3,2_4,cancellation_indication,true,true,true,false,PASS
PDCCH_PHASE04_R18,RNTI0016,PS-RNTI,17937,TYPE3,2_6,power_saving,true,true,true,false,PASS
PDCCH_PHASE04_R18,RNTI0017,PEI-RNTI,17938,TYPE2A,2_7,paging_early_indication,true,true,true,false,PASS
PDCCH_PHASE04_R18,RNTI0018,G-RNTI,17939,TYPE0B|TYPE3,4_0|4_1|4_2,multicast_broadcast,true,true,true,false,PASS
PDCCH_PHASE04_R18,RNTI0019,G-CS-RNTI,17940,TYPE3,4_1|4_2,multicast_configured_scheduling,true,true,true,false,PASS
PDCCH_PHASE04_R18,RNTI0020,MCCH-RNTI,17941,TYPE0B|TYPE3,4_0,broadcast_mcch,true,true,true,false,PASS
PDCCH_PHASE04_R18,RNTI0021,SL-RNTI,17942,USS,3_0|3_1,sidelink_scheduling,true,true,true,false,PASS
PDCCH_PHASE04_R18,RNTI0022,NCR-RNTI,17943,USS,release_pinned,network_controlled_repeater,true,true,true,false,PASS
