RunID,CaseID,Direction,DCIFormat,DecodedDCIEventID,CRCCheckPassed,RNTIMatch,ContextCurrent,ConfiguredOracleMutation,DecodedBitsMutation,AssignmentCreated,AssignmentDigestBefore,AssignmentDigestAfter,ExpectedEffect,ObservedEffect,WaveformGenerated,Status
PDCCH_PHASE04_R18,GRANT0014,UL,0_1,f4c8c04171cc6e434a9f9ab3937c4b7debfc773f760b42bb15230a537d36589e,true,true,true,true,false,true,536f17d39ba6bf531ea9a1b2d6e6ef0bb0fa9e149a14e95a5d085432848689af,536f17d39ba6bf531ea9a1b2d6e6ef0bb0fa9e149a14e95a5d085432848689af,UNCHANGED,UNCHANGED,true,PASS
PDCCH_PHASE04_R18,GRANT0015,DL,1_1,2881bb83617bfc3027872560b4f64dae58c67e32560b576f0e3de37b4b11b390,true,true,true,false,true,true,536f17d39ba6bf531ea9a1b2d6e6ef0bb0fa9e149a14e95a5d085432848689af,9023faff5f53787dc8e51f7a5593fe41b35de2d507bd0f3ca7b8fee391d9a706,CHANGED,CHANGED,true,PASS
PDCCH_PHASE04_R18,GRANT0016,UL,0_1,1f595cd1c740222a500d1fc9b93db67345c59b83e5fd9f7bdb9a06e9f0c331e0,false,false,false,false,false,false,536f17d39ba6bf531ea9a1b2d6e6ef0bb0fa9e149a14e95a5d085432848689af,536f17d39ba6bf531ea9a1b2d6e6ef0bb0fa9e149a14e95a5d085432848689af,NO_ASSIGNMENT,UNCHANGED,false,PASS
PDCCH_PHASE04_R18,GRANT0017,DL,1_1,6ebebd03a342366f44d2efa98c77b7dcc861e61f8ecb6949d5de67cb94d357e5,true,true,true,false,false,true,0ab86d38c65ae28352187ec3ac63fe786b2076529bfd78dfc8389b013e3bc0ea,5b7a379f7ad003964e3ba4ae422f91247169af7477d85742623be3b3ad924ef6,BASELINE_ASSIGNMENT,CHANGED,true,PASS
PDCCH_PHASE04_R18,GRANT0018,UL,0_1,9ea55464abe650dbaca289d19cf6b49c4deac005fb71238a6ca3d29df68bd661,true,true,true,true,false,true,0ab86d38c65ae28352187ec3ac63fe786b2076529bfd78dfc8389b013e3bc0ea,0ab86d38c65ae28352187ec3ac63fe786b2076529bfd78dfc8389b013e3bc0ea,UNCHANGED,UNCHANGED,true,PASS
PDCCH_PHASE04_R18,GRANT0019,DL,1_1,1d7a783692f1c7dd6c5de82bcf3adf8f7965da7edcbc815ede719d03d657c5b0,true,true,true,false,true,true,0ab86d38c65ae28352187ec3ac63fe786b2076529bfd78dfc8389b013e3bc0ea,49355dd594472e33990a00b6bff856a0bbfba183efdb6cda00e88dae144f01e9,CHANGED,CHANGED,true,PASS
PDCCH_PHASE04_R18,GRANT0020,UL,0_1,5a6942aa8fcffad1a5ca277d57e2c572aee4aaedf2d40e2a96e98c5352396fa9,false,false,false,false,false,false,0ab86d38c65ae28352187ec3ac63fe786b2076529bfd78dfc8389b013e3bc0ea,0ab86d38c65ae28352187ec3ac63fe786b2076529bfd78dfc8389b013e3bc0ea,NO_ASSIGNMENT,UNCHANGED,false,PASS
PDCCH_PHASE04_R18,GRANT0021,DL,1_1,7866d1f580be960a3a6161ed6244777357cc807f2499625b0f66abe1b1beb0d4,true,true,true,false,false,true,ba02b63db26a8087adda731f32811c63d3101ee1512e1c2e1dcd9798ac07c93a,71c3ae2e86883f01f350a8654ef663ee3a6ddabfc3cabe3bdde914b210c582a1,BASELINE_ASSIGNMENT,CHANGED,true,PASS
PDCCH_PHASE04_R18,GRANT0022,UL,0_1,89a6bcaae426524c8fd00514f1e9155684f2a1c9ff502f5ccee2827f79f51324,true,true,true,true,false,true,ba02b63db26a8087adda731f32811c63d3101ee1512e1c2e1dcd9798ac07c93a,ba02b63db26a8087adda731f32811c63d3101ee1512e1c2e1dcd9798ac07c93a,UNCHANGED,UNCHANGED,true,PASS
PDCCH_PHASE04_R18,GRANT0023,DL,1_1,3a91cba2a26480fa2f8d0d8d900ce93447cc9c724456d4d1111b591c6ed461c4,true,true,true,false,true,true,ba02b63db26a8087adda731f32811c63d3101ee1512e1c2e1dcd9798ac07c93a,8e86c6b09c4a0cd2098d55e4a70aaf8b31ffabf0c52169f5b542cba48e81571a,CHANGED,CHANGED,true,PASS
PDCCH_PHASE04_R18,GRANT0024,UL,0_1,e91a83363397a658823b4005a2fece7f3502a5f49b4433dec15e3ac3cfa278c2,false,false,false,false,false,false,ba02b63db26a8087adda731f32811c63d3101ee1512e1c2e1dcd9798ac07c93a,ba02b63db26a8087adda731f32811c63d3101ee1512e1c2e1dcd9798ac07c93a,NO_ASSIGNMENT,UNCHANGED,false,PASS
