RunID,CaseID,NumerologyMu,Slot,Symbol,NID,CInit,CORESETID,PrecoderGranularity,AttemptedPRBs,DMRSRECount,SequenceSHA256,IndexSHA256,IndependentMismatchCount,Status
PDCCH_PHASE04_R18,DMRS0013,0,19,0,559,506070110,1,sameAsREG-bundle,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,72,8cf84ad7458786d287e2c298a1c1c5d44833802e6002af4c75cb3e9d0fe7654f,ea3816342b3232a04d1a9ec0bd40191f8c9abf2d430ee2c77c1c4d0ea6dffbb5,0,PASS
PDCCH_PHASE04_R18,DMRS0014,1,2,1,602,443286708,1,allContiguousRBs,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29,90,f73e705bf80601988296bbab9c1b68f0cef09f200f194614394aaa10b5027d92,81270f6e4a88ad5e2a82f45ca9917cf9a6da00cfe4481c528536d63c055d72ed,0,PASS
PDCCH_PHASE04_R18,DMRS0015,2,5,2,645,1615201546,1,sameAsREG-bundle,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35,108,f56b8bcd89dc7dd31497d7f5e00388181fa6596a1c7754f6fb4d5d3cfae9c1ea,215de422ca0295bccb8599d6074991fec5049797801a434497bc4f2276b684e7,0,PASS
PDCCH_PHASE04_R18,DMRS0016,3,8,0,688,1067582816,1,allContiguousRBs,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41,126,a90a6db38727570b5133a08c4c82cf454bf8a37d8419b6aa3b7e74fd19b9e615,110d3bdaed97cf2c0c65f6576566270bd3afd735dd05fb839ecfa98d1f11aad8,0,PASS
PDCCH_PHASE04_R18,DMRS0017,0,11,1,731,1997014454,1,sameAsREG-bundle,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,72,4db44ce00949d7f5187ce1bf5beed56f7918a4004de38896f8e7e99916a38e24,5d096c48f6ef38d76ad8f7d32e74690fa2f0311a34288e24b2827d8235644c70,0,PASS
PDCCH_PHASE04_R18,DMRS0018,1,14,2,774,1748370956,1,allContiguousRBs,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29,90,2b8f2012fbc13cac0957acff1b82c06303aa235e228b3924f65db20dc6069b66,e92e1addf09f16350ccf3a28b2668407e2eeea3a5c7021149e1e49086aae3ceb,0,PASS
PDCCH_PHASE04_R18,DMRS0019,2,17,0,817,1826227810,1,sameAsREG-bundle,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35,108,1c945bed9b1370b98dd26fa5630e7e45b1caab7cd7fd5885a5c2b4a400d410af,57408ef84f4dc17549fcce19ed92aff16541473b4b47a33ed052b37e6d0c0125,0,PASS
PDCCH_PHASE04_R18,DMRS0020,3,0,1,860,451151544,1,allContiguousRBs,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41,126,ab3b9d21bac6a40ce838dabe11bcfc4e9c3eaabe89682764b7b6604cd04e49be,59de6c143b744908bd5e904323d0f9abb48b7a3e21880c954a6b487482297efb,0,PASS
PDCCH_PHASE04_R18,DMRS0021,0,3,2,903,2068186894,1,sameAsREG-bundle,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,72,c1f25b910f2e81af92e96a05e7966a856fb15e98cf4b6e4bc129dbf4d7c6d1d4,47f8199bd5b929e7be01897a36647c045703102cf058e9afd60bb132fee01bc8,0,PASS
PDCCH_PHASE04_R18,DMRS0022,1,6,0,946,1762789220,1,allContiguousRBs,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29,90,eab55b24bbe7f492bb3b72161a3eef9efc494b663cafeae7eba6f228d7622102,e62c44b0b914a31b0cb583a8efbd538d531eb8a6fc5c6fff19668ed143ae2033,0,PASS
PDCCH_PHASE04_R18,DMRS0023,2,9,1,989,989857722,1,sameAsREG-bundle,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35,108,dd4accc2f26472c9c5c4ad2055b33f6ee7c8c939e6c2b23b3c616d1fee31524a,4c48e880c24ea7faf0471c7cbdb52d04b94133b238ededba48c50fb436a35a8c,0,PASS
PDCCH_PHASE04_R18,DMRS0024,3,12,2,24,1098252336,1,allContiguousRBs,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41,126,35101f47bde5b5a57df007ca31e3feb5fd131c451767fb3c7629a14dd427a793,05f47f55a0d3aa282fd80157a92e5f9573ac0f674bc11b9523870029a90fe3cd,0,PASS
