RunID,CaseID,DCIFormat,SearchSpaceType,RNTIType,ContextDigest,PayloadBits,FieldCount,AlignmentGroup,SchemaVersion,Status
PDCCH_PHASE04_R18,SCHEMA0032,1_1,USS,C-RNTI,39b12b1aef1b77edf72fc3e436d739a734942ab662d0f26c4461a066194587ca,62,20,contextual_1_1_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0033,0_0,USS,C-RNTI,03ca73edcd1dc2cf92fc94fe9eeadb1134fb2d060d17e94eaa9cb87b9fcd0d99,44,9,common_0_0_1_0_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0034,0_1,USS,C-RNTI,a3824db8efa8b0cfc1b8fe10dd6e6b99698d26ce61ad7e49ed79104fcf0919b2,57,15,contextual_0_1_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0035,1_0,USS,C-RNTI,1bda0665f1a86551bfb952bed54901c28dfcadfdb24905d33700b0f5e6efccf6,44,12,common_0_0_1_0_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0036,1_1,USS,C-RNTI,39b12b1aef1b77edf72fc3e436d739a734942ab662d0f26c4461a066194587ca,62,20,contextual_1_1_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0037,0_0,USS,C-RNTI,03ca73edcd1dc2cf92fc94fe9eeadb1134fb2d060d17e94eaa9cb87b9fcd0d99,44,9,common_0_0_1_0_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0038,0_1,USS,C-RNTI,a3824db8efa8b0cfc1b8fe10dd6e6b99698d26ce61ad7e49ed79104fcf0919b2,57,15,contextual_0_1_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0039,1_0,USS,C-RNTI,1bda0665f1a86551bfb952bed54901c28dfcadfdb24905d33700b0f5e6efccf6,44,12,common_0_0_1_0_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0040,1_1,USS,C-RNTI,39b12b1aef1b77edf72fc3e436d739a734942ab662d0f26c4461a066194587ca,62,20,contextual_1_1_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0041,0_0,USS,C-RNTI,03ca73edcd1dc2cf92fc94fe9eeadb1134fb2d060d17e94eaa9cb87b9fcd0d99,44,9,common_0_0_1_0_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0042,0_1,USS,C-RNTI,a3824db8efa8b0cfc1b8fe10dd6e6b99698d26ce61ad7e49ed79104fcf0919b2,57,15,contextual_0_1_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0043,1_0,USS,C-RNTI,1bda0665f1a86551bfb952bed54901c28dfcadfdb24905d33700b0f5e6efccf6,44,12,common_0_0_1_0_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0044,1_1,USS,C-RNTI,39b12b1aef1b77edf72fc3e436d739a734942ab662d0f26c4461a066194587ca,62,20,contextual_1_1_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0045,0_0,USS,C-RNTI,03ca73edcd1dc2cf92fc94fe9eeadb1134fb2d060d17e94eaa9cb87b9fcd0d99,44,9,common_0_0_1_0_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0046,0_1,USS,C-RNTI,a3824db8efa8b0cfc1b8fe10dd6e6b99698d26ce61ad7e49ed79104fcf0919b2,57,15,contextual_0_1_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0047,1_0,USS,C-RNTI,1bda0665f1a86551bfb952bed54901c28dfcadfdb24905d33700b0f5e6efccf6,44,12,common_0_0_1_0_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0048,1_1,USS,C-RNTI,39b12b1aef1b77edf72fc3e436d739a734942ab662d0f26c4461a066194587ca,62,20,contextual_1_1_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0049,0_0,USS,C-RNTI,03ca73edcd1dc2cf92fc94fe9eeadb1134fb2d060d17e94eaa9cb87b9fcd0d99,44,9,common_0_0_1_0_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0050,0_1,USS,C-RNTI,a3824db8efa8b0cfc1b8fe10dd6e6b99698d26ce61ad7e49ed79104fcf0919b2,57,15,contextual_0_1_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0051,1_0,USS,C-RNTI,1bda0665f1a86551bfb952bed54901c28dfcadfdb24905d33700b0f5e6efccf6,44,12,common_0_0_1_0_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0052,1_1,USS,C-RNTI,39b12b1aef1b77edf72fc3e436d739a734942ab662d0f26c4461a066194587ca,62,20,contextual_1_1_USS,sixgr_dci_schema_r18_8_0_v1,PASS
