RunID,CaseID,ControlServingCell,ControlCarrier,ControlBWP,SearchSpaceID,CORESETID,CarrierIndicator,ScheduledServingCell,ScheduledCarrier,ScheduledBWP,ConfigurationEpoch,DecodedContextDigest,AssignmentContextDigest,MismatchCount,Status
PDCCH_PHASE04_R18,BWP0001,0,0,0,1,1,0,0,0,0,1,03ca73edcd1dc2cf92fc94fe9eeadb1134fb2d060d17e94eaa9cb87b9fcd0d99,03ca73edcd1dc2cf92fc94fe9eeadb1134fb2d060d17e94eaa9cb87b9fcd0d99,0,PASS
PDCCH_PHASE04_R18,BWP0002,0,0,0,1,1,0,0,0,0,1,a3824db8efa8b0cfc1b8fe10dd6e6b99698d26ce61ad7e49ed79104fcf0919b2,a3824db8efa8b0cfc1b8fe10dd6e6b99698d26ce61ad7e49ed79104fcf0919b2,0,PASS
PDCCH_PHASE04_R18,BWP0003,0,0,0,1,1,0,0,0,0,1,1bda0665f1a86551bfb952bed54901c28dfcadfdb24905d33700b0f5e6efccf6,1bda0665f1a86551bfb952bed54901c28dfcadfdb24905d33700b0f5e6efccf6,0,PASS
PDCCH_PHASE04_R18,BWP0004,0,0,0,1,1,0,0,0,0,1,39b12b1aef1b77edf72fc3e436d739a734942ab662d0f26c4461a066194587ca,39b12b1aef1b77edf72fc3e436d739a734942ab662d0f26c4461a066194587ca,0,PASS
PDCCH_PHASE04_R18,BWP0005,0,0,0,1,1,0,0,0,0,1,03ca73edcd1dc2cf92fc94fe9eeadb1134fb2d060d17e94eaa9cb87b9fcd0d99,03ca73edcd1dc2cf92fc94fe9eeadb1134fb2d060d17e94eaa9cb87b9fcd0d99,0,PASS
PDCCH_PHASE04_R18,BWP0006,0,0,0,1,1,0,0,0,0,1,a3824db8efa8b0cfc1b8fe10dd6e6b99698d26ce61ad7e49ed79104fcf0919b2,a3824db8efa8b0cfc1b8fe10dd6e6b99698d26ce61ad7e49ed79104fcf0919b2,0,PASS
PDCCH_PHASE04_R18,BWP0007,0,0,0,1,1,0,0,0,0,1,1bda0665f1a86551bfb952bed54901c28dfcadfdb24905d33700b0f5e6efccf6,1bda0665f1a86551bfb952bed54901c28dfcadfdb24905d33700b0f5e6efccf6,0,PASS
PDCCH_PHASE04_R18,BWP0008,0,0,0,1,1,0,0,0,0,1,39b12b1aef1b77edf72fc3e436d739a734942ab662d0f26c4461a066194587ca,39b12b1aef1b77edf72fc3e436d739a734942ab662d0f26c4461a066194587ca,0,PASS
PDCCH_PHASE04_R18,BWP0009,0,0,0,1,1,0,0,0,0,1,03ca73edcd1dc2cf92fc94fe9eeadb1134fb2d060d17e94eaa9cb87b9fcd0d99,03ca73edcd1dc2cf92fc94fe9eeadb1134fb2d060d17e94eaa9cb87b9fcd0d99,0,PASS
PDCCH_PHASE04_R18,BWP0010,0,0,0,1,1,0,0,0,0,1,a3824db8efa8b0cfc1b8fe10dd6e6b99698d26ce61ad7e49ed79104fcf0919b2,a3824db8efa8b0cfc1b8fe10dd6e6b99698d26ce61ad7e49ed79104fcf0919b2,0,PASS
PDCCH_PHASE04_R18,BWP0011,0,0,0,1,1,0,0,0,0,1,1bda0665f1a86551bfb952bed54901c28dfcadfdb24905d33700b0f5e6efccf6,1bda0665f1a86551bfb952bed54901c28dfcadfdb24905d33700b0f5e6efccf6,0,PASS
PDCCH_PHASE04_R18,BWP0012,0,0,0,1,1,0,0,0,0,1,39b12b1aef1b77edf72fc3e436d739a734942ab662d0f26c4461a066194587ca,39b12b1aef1b77edf72fc3e436d739a734942ab662d0f26c4461a066194587ca,0,PASS
