RunID,CaseID,PayloadBits,RNTIType,RNTIValue,CRC24CSHA256,CRCCheckPassed,WrongRNTICheckPassed,NID,NRNTIForScrambling,CInit,ScramblingSequenceSHA256,MismatchCount,Status
PDCCH_PHASE04_R18,CRC0001,44,C-RNTI,4660,5c7e9ae77661463986dc0e07dad50feaccab31335f3469e2d5ef5e696e6b1468,true,true,41,4660,305397801,2e5de4e23670cb3bf3db6a0bf8f7f89017eed0130f52f06fd9e62816e37761b4,0,PASS
PDCCH_PHASE04_R18,CRC0002,57,C-RNTI,4660,392fdf04c461b2282aca755978b357af9859633484de43384f84e1bff2c47905,true,true,82,4660,305397842,1c7aa94e60f68a60f81d294118a11f511b8308ece9fab6c5321c3934ee93a9dd,0,PASS
PDCCH_PHASE04_R18,CRC0003,44,C-RNTI,4660,bad799a0cd43b66b038b11ed2ec74ada7b1d21ea34f9d5e0c0682e59adf56af9,true,true,123,4660,305397883,3e8b48e59ef41f132f63e0eea9da89dde652aea1ed80f3fd0ab23104622f0bbe,0,PASS
PDCCH_PHASE04_R18,CRC0004,62,C-RNTI,4660,5e45b24f9d23829aa51844d3e598f7ba1d71d64f91026dccc157df439c0444f2,true,true,164,4660,305397924,7c482dfc1d78d300a6d06ebb901a503b4daa076dc187ec5daa4f7b6eee20cdc1,0,PASS
PDCCH_PHASE04_R18,CRC0005,44,C-RNTI,4660,4c9d2d5eaefb450fa14a0186d33dbcefbe88679846afe66d21cf23eb0db41162,true,true,205,4660,305397965,2f9261ec2c0c237ce7a08518bddaa80663e59e5249221a424db10a29e2078ae1,0,PASS
PDCCH_PHASE04_R18,CRC0006,57,C-RNTI,4660,ceff3f3eae1c7cccc3746f72ef3a438da1c64cf6385fcc3dd1b125c8ac508409,true,true,246,4660,305398006,e830ff73bf3218da288c441c056ed45b4af7d70313331f58b58ad3e62ecd6f77,0,PASS
PDCCH_PHASE04_R18,CRC0007,44,C-RNTI,4660,008a2e464455f0c3452a6413c027d2f79d191467ce1a7949d9b5465a0beacbda,true,true,287,4660,305398047,312f0c90463cb4f888d792666e757b3c5c27886b6b93281823de824348a31e66,0,PASS
PDCCH_PHASE04_R18,CRC0008,62,C-RNTI,4660,2c3b3473d008b69a582830f4ae83f80d45283627275d400425be57fc293e5ac8,true,true,328,4660,305398088,c8e53a69a3eb31269dd5d8e1b902f11b8b07791a5e18eb768814689c8bc1df5f,0,PASS
PDCCH_PHASE04_R18,CRC0009,44,C-RNTI,4660,4944338a9e9c509e50911b7977dada96a5d2c7cea8ce557dc6f53a141d151d63,true,true,369,4660,305398129,6a929de7249838d52fec7dbd9791856eed6dc133238a2dd1df9efa3f3a2b558e,0,PASS
PDCCH_PHASE04_R18,CRC0010,57,C-RNTI,4660,764d0fbd676b059cef00ff0dca70b2a0ee63c0a0b1cb667d98b466c12a5ed52e,true,true,410,4660,305398170,824a53c8ebbc5ff0d68d886f580149454817ee06d824d2f4bd60a3bdf21aecea,0,PASS
PDCCH_PHASE04_R18,CRC0011,44,C-RNTI,4660,3b101b477b47c87d7e2bc254fabfbad389436f42a710863e13c68258718a6b88,true,true,451,4660,305398211,9b08fa93f3bb676b0d77cf343260beac68ec2dd3e70a7ff05c8f7055ba832600,0,PASS
PDCCH_PHASE04_R18,CRC0012,62,C-RNTI,4660,e8f775ba189e0a25ca4f988b7d71affad64b4d169cfa1581679a365d8a5b635a,true,true,492,4660,305398252,af2405a66c3f2c4f53186936ff059ed9de0590989e3624059fecb41844c45603,0,PASS
