RunID,CaseID,Seed,Trial,Profile,SignalPresent,DCIFormatTx,RNTITypeTx,AggregationLevelTx,SearchSpaceIDTx,CORESETIDTx,FirstCCETx,Detected,DecodedFormat,DecodedRNTIType,DecodedFirstCCE,CRCCheckPassed,CorrectDetection,FalseAlarm,MissedDetection,KnownLocationUsed,OracleTimingUsed,MeasuredSINRdB,CFOEstimateHz,TimingEstimateSamples,Status,ExecutionBackend,ApproximationMode,EvidenceClass,ChannelRealizationID,NoiseRealizationID,PayloadID,RuntimeMs,MemoryMB
PDCCH_PHASE04_R18,BLIND0011,11,1,connected_blind_strict,true,1_0,C-RNTI,4,1,1,16,true,1_0,C-RNTI,16,true,true,false,false,false,false,6,0,0,PASS,strict_pdcch_waveform_tx_rx,none,waveform_truth,42672539becb39fd9c16f5f17e6ca7a8f895f9741d31df6d2dda11d7a0972bf5,3074e7c391314fc0279cbe269835eb0e2638b094ebb5f378695bd153e29c1e41,a885095bfc6f1f1ea2eaffd51265813b191479f5c956771d352d7ca819abfd38,151.1029,1.9277
PDCCH_PHASE04_R18,BLIND0012,11,1,connected_blind_strict,true,1_1,C-RNTI,4,1,1,16,true,1_1,C-RNTI,16,true,true,false,false,false,false,10,0,0,PASS,strict_pdcch_waveform_tx_rx,none,waveform_truth,f4c0cbdd662675fcefcbcf4a8e2510c05f859d8579931ddce19fd246ba8a650f,e269ef78d2328a99d8cbba7696d6b099c06456ebc98d2a7475fd655b3da997ef,1814bd545429d2fefac050addd855d634b253d5d79bbb64f2ec96e83b1ee3df7,155.4742,1.9386
PDCCH_PHASE04_R18,BLIND0013,11,1,connected_blind_strict,true,0_0,C-RNTI,8,1,1,8,true,0_0,C-RNTI,8,true,true,false,false,false,false,4,0,0,PASS,strict_pdcch_waveform_tx_rx,none,waveform_truth,42672539becb39fd9c16f5f17e6ca7a8f895f9741d31df6d2dda11d7a0972bf5,a0c06ba1c2dff15460c9fa7bcde9b94482ac1f2fad111f018b32d78b774b2d70,e5ece0ab34b5772410ca878a843d2253462cbb5d61a78f6b4613768da4351e38,113.5274,1.9229
PDCCH_PHASE04_R18,BLIND0014,11,1,connected_blind_strict,true,0_1,C-RNTI,8,1,1,8,true,0_1,C-RNTI,8,true,true,false,false,false,false,8,0,0,PASS,strict_pdcch_waveform_tx_rx,none,waveform_truth,6bce3683294cb87f68fec12a5d8b903b497ad4addc33a05b932577c9afbe0297,93422f2597d7383d4278e0ce9e20ca9b8ff1d6e30e96c82c06a85d00b51917d3,5ee4e29eeff7e0da0c2d57b19518385f53cc5240ba8af8f1838d1e42ab10fdf7,122.5712,1.9317
PDCCH_PHASE04_R18,BLIND0015,11,1,connected_blind_strict,true,1_0,C-RNTI,8,1,1,8,true,1_0,C-RNTI,8,true,true,false,false,false,false,4,0,0,PASS,strict_pdcch_waveform_tx_rx,none,waveform_truth,42672539becb39fd9c16f5f17e6ca7a8f895f9741d31df6d2dda11d7a0972bf5,c1684f6b3dbeb344d07ec86dabe1aeb358388927752c1e73fff9c00e12c16b7c,fabbcb706039677592760d7258c5c500110ece52f52c2a7584bbc5ecf2511221,126.659,1.9269
PDCCH_PHASE04_R18,BLIND0016,11,1,connected_blind_strict,true,1_1,C-RNTI,8,1,1,8,true,1_1,C-RNTI,8,true,true,false,false,false,false,8,0,0,PASS,strict_pdcch_waveform_tx_rx,none,waveform_truth,318435b598b941cbfc9dca3f27a13198e07890f12988a528f1fb3ae3012df236,0161f637c1b54d5d65eaf168558c008e7ef73e0c3a3ff0327e687e7741f80b7a,81df1a0d190eb24ff128a7d088210f7f7928a68dd16363be0af4f4a7fd285ecf,107.3663,1.9378
PDCCH_PHASE04_R18,BLIND0017,11,1,connected_blind_strict,true,0_0,C-RNTI,16,1,1,0,true,0_0,C-RNTI,0,true,true,false,false,false,false,2,0,0,PASS,strict_pdcch_waveform_tx_rx,none,waveform_truth,42672539becb39fd9c16f5f17e6ca7a8f895f9741d31df6d2dda11d7a0972bf5,34e933d7dbdd68dfb3774a0b7136f0aa230f1ddb7808b208766f9f2bdd60db42,535e9a7e9f68d094c87158e522671bcf3508720c697759e547bd82309e4029d7,119.086,1.9225
PDCCH_PHASE04_R18,BLIND0018,11,1,connected_blind_strict,true,0_1,C-RNTI,16,1,1,0,true,0_1,C-RNTI,0,true,true,false,false,false,false,6,0,0,PASS,strict_pdcch_waveform_tx_rx,none,waveform_truth,4ee5e996acc5b73f0038bd21df1bf2e639a3e9d591514e87a77c9cdb3d55eaf6,d9a8c0d05ebeec83ffaf097c3d8be0c8c4d8d5a52387b05d4c3b73f0be746e34,cfd0207bfe0e44398f199e489ecf819b59a3ecad3e8a8d18bedf0c1307e78432,80.9675,1.9313
PDCCH_PHASE04_R18,BLIND0019,11,1,connected_blind_strict,true,1_0,C-RNTI,16,1,1,0,true,1_0,C-RNTI,0,true,true,false,false,false,false,2,0,0,PASS,strict_pdcch_waveform_tx_rx,none,waveform_truth,42672539becb39fd9c16f5f17e6ca7a8f895f9741d31df6d2dda11d7a0972bf5,57264f6c913598898a0ebc95d29eb8ed0f9513293ec2b5fe467c36f0781501aa,c2cbd486b78bf2625b66487ffd3296e4f674ba7e55547b6ecf5f8ee3a9165e9e,81.6245,1.9266
PDCCH_PHASE04_R18,BLIND0020,11,1,connected_blind_strict,true,1_1,C-RNTI,16,1,1,0,true,1_1,C-RNTI,0,true,true,false,false,false,false,6,0,0,PASS,strict_pdcch_waveform_tx_rx,none,waveform_truth,15ebbfeb025afd0ed84320f7103aa8076314156d148b3550f58d80e66c2f9034,b8cd77ff4b2505714bbc1e04313aa3ea3e590b3acc73d1c1af6197d03fa74324,dac38ff1463e10c72d8d8a9fa43ef5ca5aef9e8c779d2c10351e8a59d73f9a86,98.0332,1.9374
