RunID,VectorFamily,VectorID,OracleClass,OracleImplementation,OracleVersion,OracleArtifactSHA256,DUTSHA256,MismatchCount,MaxAbsError,Tolerance,Status
PDCCH_PHASE04_R18,dci_schema_size,DCI_0001,independent_release18_reference_vector,pure_python_and_transcribed_3gpp_reference,phase04_pack_v1,4863ea6a4cbca98c493736ca5b01f05a131607272be7391e7c6aefcae6a1f57f,4f63031aede1c65466f5d526b2718d795a6b47eda87f8576d8c280f20300c107,0,0,0,PASS
PDCCH_PHASE04_R18,dci_pack_parse,DCI_0002,independent_release18_reference_vector,pure_python_and_transcribed_3gpp_reference,phase04_pack_v1,76a3d940f455a2c652744c158b42dd3e5a2b67bd49e926b99167c5ba41385e31,3df405fc76acdef8c9ff4ea8f5f8bb082afc8fb4ea35590e56ca68eec584cd02,0,0,0,PASS
PDCCH_PHASE04_R18,crc24c_rnti_mask,CRC24C_0003,independent_release18_reference_vector,pure_python_and_transcribed_3gpp_reference,phase04_pack_v1,6be1f1416ae654b1adb11feeb1b9d48561d0a78e842ad7cc4ae4863a475ec612,a719a6c44d1b7b1a6413d81e4b2d8917fa891635ad1219f5c219984db5d61a97,0,0,0,PASS
PDCCH_PHASE04_R18,pdcch_scrambling,PDCCH_0004,independent_release18_reference_vector,pure_python_and_transcribed_3gpp_reference,phase04_pack_v1,9e6783ec1b02375a82afe735a11f24c01e24072f8f8afea8b0e9844cd386bf9d,ca6923de539c8a5601bae896ee0988c66b7852eed3877ee0775d376e9eb7a361,0,0,0,PASS
PDCCH_PHASE04_R18,qpsk,QPSK_0005,independent_release18_reference_vector,pure_python_and_transcribed_3gpp_reference,phase04_pack_v1,848064aadf816eadfdc88d2d67b3771a6c5a55e18ef5e0f25011033eb50ee475,5bf11fad887bb68af4a789bb217b9980f76f20af458a824ea5691c2c952eed60,0,0,0,PASS
PDCCH_PHASE04_R18,polar_coding_rate_matching,POLAR_0006,independent_release18_reference_vector,pure_python_and_transcribed_3gpp_reference,phase04_pack_v1,6aa4cc59aaa65e1e092efda33328e8ef66da77d8afc2b17e0ceea46b6cc88fe1,230eea8c266c8827d91979de85f513d8a5ac3c6ab58e01d77ea79a7d661cd481,0,0,0,PASS
PDCCH_PHASE04_R18,coreset_reg_cce_mapping,CORESET_0007,independent_release18_reference_vector,pure_python_and_transcribed_3gpp_reference,phase04_pack_v1,07e26266cfe1fbd7f486aa6d8c08ef401c1f21463760799054ed7560051bd878,5baf94ce7bcd314ec42f9c6a0224fbea1843927c7ad252068a6684b3dcacbeaa,0,0,0,PASS
PDCCH_PHASE04_R18,pdcch_dmrs,PDCCH_0008,independent_release18_reference_vector,pure_python_and_transcribed_3gpp_reference,phase04_pack_v1,f1a33af6bf4d99e0e8790f0315ace4570dd9d19d723ab6a9e831105177766dc3,ba3ccb4bcb80e2a9df7387459bd4be33f51b6bc5b744cf54e7350dc5a43b5fc6,0,0,0,PASS
PDCCH_PHASE04_R18,search_space_monitoring,SEARCH_0009,independent_release18_reference_vector,pure_python_and_transcribed_3gpp_reference,phase04_pack_v1,20d00ff4ea235b1db8a1ae23387c284e67abae244c179e31a8dbb655fefc9cb8,01f2ec9c293e245b9e0dcc7a5637a8d125bd1e2c1af4b2a6843b039290f0ad4d,0,0,0,PASS
PDCCH_PHASE04_R18,candidate_enumeration,CANDIDATE_0010,independent_release18_reference_vector,pure_python_and_transcribed_3gpp_reference,phase04_pack_v1,369f44b68deb33880ea6d2b0f496593d2a65675022a2b18dd1e9ed9b62d216bf,6d7cca341c1b86cba774580ff14e165295cdcd453874368f859136485b945229,0,0,0,PASS
