relative_path,bytes,sha256,parse_ok,row_count,column_count,duplicate_header_count,row_width_mismatch_count,blank_cell_count,blank_fraction,nan_token_count,inf_token_count,duplicate_row_count,failure_token_count,proxy_token_count,synthetic_token_count,fallback_token_count,placeholder_token_count,issue_count,issues
air_interface/csv/csi_feedback_reports.csv,22250,081c8b410db480d7ac00276e51c25b5528f3df4b3238812466c8b255186111b9,True,40,51,0,0,322,0.15784313725490196,232,0,0,0,0,0,0,0,0,
air_interface/csv/csi_rs_trials.csv,67907,58ec03cab326b6f5da521abff739c2a4b61178d22390f38a9f14206da581ab6e,True,30,105,0,0,94,0.029841269841269842,4,0,0,0,0,0,0,0,0,
air_interface/csv/distance_vs_sinr.csv,4742,6d0ef13a4f2e2eff3b82668876b131a16716d713190f283ba6e0b848ec7fef6b,True,40,16,0,0,40,0.0625,40,0,0,0,0,0,0,0,0,
air_interface/csv/dl_constellation_samples.csv,13204069,dc685071f6ab8db6333527591569e5be9d3b46f0fe149cbb7d14e681b1d26f80,True,15360,63,0,0,0,0.0,0,0,0,0,0,0,0,0,0,
air_interface/csv/dl_measured_sinr_bler_curve.csv,2290,9757a8cb74bede8e35d415585f11f671517c2718c42f9bea14c759aea60dfd31,True,15,19,0,0,12,0.042105263157894736,12,0,0,0,0,0,0,0,0,
air_interface/csv/dl_measured_sinr_throughput_curve.csv,2156,086f562068c766836147df9d823022fb9e154fcbdd5d3d4176a996b2c4784f7b,True,15,18,0,0,12,0.044444444444444446,12,0,0,0,0,0,0,0,0,
air_interface/csv/dl_pdsch_receiver_evidence_audit.csv,6527,da23de1ac5d8415e0d3c8ede3fa73489a900145038dbaab2fd5a04a2bb4193fd,True,30,48,0,0,0,0.0,0,0,0,0,0,0,0,0,0,
air_interface/csv/dl_pdsch_trials.csv,3763235,be21186ba7876a9529012d60c4973392ea0c6764390b72709cc8c3c88477e36d,True,30,813,0,0,5509,0.22587125871258712,5332,0,0,0,120,0,0,0,0,
air_interface/csv/downstream_channel_references.csv,1353,f3fab407966cf8abb1408ac6d1240834ea2c440128ebc8d4858a363de789b22a,True,3,17,0,0,3,0.058823529411764705,0,0,0,0,0,0,0,0,0,
air_interface/csv/fer_summary.csv,4363,996f5380e444374dfb2b345bbc1e2cf2c6828635358009c62d02da8b4cab8d89,True,10,14,0,0,6,0.04285714285714286,6,0,0,0,0,0,0,0,0,
air_interface/csv/harq_combining_gain.csv,413,23b50b5e058f3574da5c0b608734e0a4aa04cd1714e842ebbfae00fc7fe10b0f,True,1,16,0,0,0,0.0,0,0,0,0,0,0,0,0,0,
air_interface/csv/link_anchor_kpis.csv,1747,a07267914121eab0cd758d9a90467f9a1a46351ff5eea47f6065cee486f82e3e,True,6,23,0,0,57,0.41304347826086957,45,0,0,0,0,0,0,0,0,
