Direction,SNR_dB,Frame,Slot,UEIndex,RNTI,SelectedBeamIndex,BestBeamIndex,BeamHit,TopKBeamHit,BeamCandidateCount,SelectedBeamGain_dB,BestBeamGain_dB,BeamGainGap_dB,BeamSelectionStrategy,ConfiguredBeamSelectionStrategy,AppliedBeamIndexSet,ExecutionModel,Status,TrialOrdinal,AbsoluteSlot,BeamDetectedFlag,MisalignmentFlag,BeamFailureFlag,PredictionSuccessFlag,TrialsSinceLastSwitch,StateBefore,StateAfter,BeamSweepEnabled,BeamCountConfigured
"DL",20,1,1,1,1,4,4,1,1,32,23.0810143847259,23.0810143847259,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|3|2|4","slot_coupled_truth","PASS",1,21,1,0,0,1,0,"uninitialized","aligned",1,32
"DL",20,1,1,2,2,4,4,1,1,32,22.4316657180132,22.4316657180132,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|3|2|4","slot_coupled_truth","PASS",1,21,1,0,0,1,0,"uninitialized","aligned",1,32
"UL",20,1,5,1,1,1,3,0,0,96,32.9462221938419,33.6203206814783,0.674098487636414,"runtime_best_beam_per_link","runtime_best_beam_per_link","","slot_coupled_truth","PASS",1,25,1,1,0,0,0,"uninitialized","misaligned",1,32
"UL",20,1,5,2,2,1,2,0,0,96,34.4819491876836,34.4819491876836,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","","slot_coupled_truth","PASS",1,25,1,1,0,0,0,"uninitialized","misaligned",1,32
