DeclaredDLScheduleCount,ReceivedRawULTotalDAI,ReceivedAssignmentDigest
0,3,f5769d4d02d64c011651d5953ae9bb90273b6a64aa60dfe72c24510472d496be
1,0,ff9ce573f7a98eab1c578b043cc163197d8452aab37504107ea941dcd1938750
2,1,65d9fb5ba3ba999e2ed4186d4dc1b159bd869d3b76dc9c308ddaf06a653131b1
3,2,ff1953c10ae71013722cb708625327067630ad1f59194bfaaf4226f0ce4c3bb1
4,3,f5769d4d02d64c011651d5953ae9bb90273b6a64aa60dfe72c24510472d496be
5,0,ff9ce573f7a98eab1c578b043cc163197d8452aab37504107ea941dcd1938750
6,1,65d9fb5ba3ba999e2ed4186d4dc1b159bd869d3b76dc9c308ddaf06a653131b1
7,2,ff1953c10ae71013722cb708625327067630ad1f59194bfaaf4226f0ce4c3bb1
8,3,f5769d4d02d64c011651d5953ae9bb90273b6a64aa60dfe72c24510472d496be
