Direction,AbsoluteSlot,TBID,StartSample,StopSampleExclusive,TBSBits,CodedBits,Qm,Layers,TargetCodeRate,CRCPass,TBExact,BitErrors,BER,CodedBER,EVMRMS,ReferenceErrorSINRdB,ConfiguredReferenceSNRdB,ExpectedDataREPowerPerPort,MeasuredTXDataREPower,InjectedSampleNoiseVariance,ExpectedGridNoiseVariance,MeasuredDMRSNoiseVariance,Source,StandardNR
"DL",57,"DL_57",3502272,3563648,573504,760320,10,2,0.75,1,1,0,0,0.0288996738215488,0.037807701357131,28.4483945237677,30,0.5,0.500520154502035,1.220703125e-07,0.0005,0.000498670306919664,"actual_coded_research_waveform",0
"DL",58,"DL_58",3563648,3625024,573504,760320,10,2,0.75,1,1,0,0,0.0289825336700337,0.0377359275190664,28.4648994185732,30,0.5,0.500730437932626,1.220703125e-07,0.0005,0.000508947852358217,"actual_coded_research_waveform",0
"UL",60,"UL_60",3686400,3748032,573504,760320,10,2,0.75,1,1,0,0,0.0291074810606061,0.0377990355288789,28.450385627504,30,0.5,0.500176650424109,1.220703125e-07,0.0005,0.000526374867469562,"actual_coded_research_waveform",0
"UL",61,"UL_61",3748032,3809408,573504,760320,10,2,0.75,1,1,0,0,0.0288431186868687,0.0376685145282344,28.4804301204428,30,0.5,0.500783973039312,1.220703125e-07,0.0005,0.000505527034335932,"actual_coded_research_waveform",0
"UL",62,"UL_62",3809408,3870784,573504,760320,10,2,0.75,1,1,0,0,0.029224537037037,0.0377746871436478,28.4559824774889,30,0.5,0.502354079035739,1.220703125e-07,0.0005,0.000522371701620333,"actual_coded_research_waveform",0
"UL",63,"UL_63",3870784,3932160,573504,760320,10,2,0.75,1,1,0,0,0.0290535563973064,0.0377663703431799,28.4578950483133,30,0.5,0.500012110967964,1.220703125e-07,0.0005,0.000502741315276273,"actual_coded_research_waveform",0
"DL",64,"DL_64",3932160,3993792,573504,760320,10,2,0.75,1,1,0,0,0.0286524095117845,0.0376930604578281,28.4747719785292,30,0.5,0.498449333264241,1.220703125e-07,0.0005,0.000503442429575681,"actual_coded_research_waveform",0
"DL",65,"DL_65",3993792,4055168,573504,760320,10,2,0.75,1,1,0,0,0.0289365004208754,0.0378323874154441,28.4427250331788,30,0.5,0.500435454866381,1.220703125e-07,0.0005,0.000508883294983242,"actual_coded_research_waveform",0
"DL",66,"DL_66",4055168,4116544,573504,760320,10,2,0.75,1,1,0,0,0.0285892781986532,0.0376401727088512,28.4869678503106,30,0.5,0.499914451825218,1.220703125e-07,0.0005,0.000516155311379337,"actual_coded_research_waveform",0
"UL",68,"UL_68",4177920,4239552,573504,760320,10,2,0.75,1,1,0,0,0.0288681081649832,0.0376872457521628,28.4761120073597,30,0.5,0.501427628558334,1.220703125e-07,0.0005,0.000507970562049762,"actual_coded_research_waveform",0
