Direction,TransportBlocks,SuccessfulUniqueTBs,BLER,DeliveredUniqueBits,HorizonSeconds,GoodputBitsPerSecond,BER,Source,StandardNR
"DL",30,30,0,17205120,0.01,1720512000,0,"actual_coded_research_waveform",0
"UL",40,40,0,22940160,0.01,2294016000,0,"actual_coded_research_waveform",0
