event_index,wall_time,frame,slot,cell_id,ue_id,old_state,new_state,procedure,physical_channel,transition_reason,access_success,failure_reason
1,"2026-08-03T20:40:00Z",1,1,1,1,"searching","PBCH_DECODED","INITIAL_ACCESS","PBCH","pbch_crc_pass",0,""
2,"2026-08-03T20:40:43Z",1,1,1,2,"searching","PBCH_DECODED","INITIAL_ACCESS","PBCH","pbch_crc_pass",0,""
3,"2026-08-03T20:41:29Z",1,1,1,3,"searching","PBCH_DECODED","INITIAL_ACCESS","PBCH","pbch_crc_pass",0,""
4,"2026-08-03T20:42:09Z",1,1,1,4,"searching","PBCH_DECODED","INITIAL_ACCESS","PBCH","pbch_crc_pass",0,""
5,"2026-08-03T20:43:25Z",1,10,1,1,"pending","ACCESS_SUCCEEDED","FOUR_STEP_RANDOM_ACCESS","PRACH","prach_msg1_detected",1,""
6,"2026-08-03T20:44:16Z",1,10,1,2,"pending","ACCESS_SUCCEEDED","FOUR_STEP_RANDOM_ACCESS","PRACH","prach_msg1_detected",1,""
7,"2026-08-03T20:45:08Z",1,10,1,3,"pending","ACCESS_SUCCEEDED","FOUR_STEP_RANDOM_ACCESS","PRACH","prach_msg1_detected",1,""
8,"2026-08-03T20:45:55Z",1,10,1,4,"pending","ACCESS_SUCCEEDED","FOUR_STEP_RANDOM_ACCESS","PRACH","prach_msg1_detected",1,""
