event_index,wall_time,frame,slot,symbol,cell_id,ue_id,old_state,new_state,transition_reason,source_function,source_file,procedure,physical_channel,required_precondition,precondition_value,rnti,temporary_crnti,ssb_index,prach_preamble_index,prach_detected,prach_detection_metric,timing_advance_samples,rar_created,rar_decoded,msg3_grant_created,msg3_tx_executed,msg3_crc_pass,msg4_created,msg4_decoded,contention_resolution_pass,access_success,failure_reason,old_state_original,new_state_original
1,"2026-08-03T20:40:00Z",1,1,NaN,1,1,"searching","PBCH_DECODED","pbch_crc_pass","sixgr.truth.CoupledTruthRuntime.applyPBCHTrialImpl","+sixgr/+truth/CoupledTruthRuntime.m","INITIAL_ACCESS","PBCH","ssb_pbch_occasion","attempted",1,NaN,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,"","pending","acquired"
2,"2026-08-03T20:40:43Z",1,1,NaN,1,2,"searching","PBCH_DECODED","pbch_crc_pass","sixgr.truth.CoupledTruthRuntime.applyPBCHTrialImpl","+sixgr/+truth/CoupledTruthRuntime.m","INITIAL_ACCESS","PBCH","ssb_pbch_occasion","attempted",2,NaN,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,"","pending","acquired"
3,"2026-08-03T20:41:29Z",1,1,NaN,1,3,"searching","PBCH_DECODED","pbch_crc_pass","sixgr.truth.CoupledTruthRuntime.applyPBCHTrialImpl","+sixgr/+truth/CoupledTruthRuntime.m","INITIAL_ACCESS","PBCH","ssb_pbch_occasion","attempted",3,NaN,3,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,"","pending","acquired"
4,"2026-08-03T20:42:09Z",1,1,NaN,1,4,"searching","PBCH_DECODED","pbch_crc_pass","sixgr.truth.CoupledTruthRuntime.applyPBCHTrialImpl","+sixgr/+truth/CoupledTruthRuntime.m","INITIAL_ACCESS","PBCH","ssb_pbch_occasion","attempted",4,NaN,2,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,"","pending","acquired"
5,"2026-08-03T20:43:25Z",1,10,NaN,1,1,"pending","ACCESS_SUCCEEDED","prach_msg1_detected","sixgr.truth.CoupledTruthRuntime.applyPRACHTrialImpl","+sixgr/+truth/CoupledTruthRuntime.m","FOUR_STEP_RANDOM_ACCESS","PRACH","pbch_acquired_and_prach_occasion","satisfied",1,4660,NaN,0,1,0.988367393160635,0,1,1,1,1,1,1,1,1,1,"","pending","succeeded"
6,"2026-08-03T20:44:16Z",1,10,NaN,1,2,"pending","ACCESS_SUCCEEDED","prach_msg1_detected","sixgr.truth.CoupledTruthRuntime.applyPRACHTrialImpl","+sixgr/+truth/CoupledTruthRuntime.m","FOUR_STEP_RANDOM_ACCESS","PRACH","pbch_acquired_and_prach_occasion","satisfied",2,4660,NaN,1,1,0.988776480078917,0,1,1,1,1,1,1,1,1,1,"","pending","succeeded"
7,"2026-08-03T20:45:08Z",1,10,NaN,1,3,"pending","ACCESS_SUCCEEDED","prach_msg1_detected","sixgr.truth.CoupledTruthRuntime.applyPRACHTrialImpl","+sixgr/+truth/CoupledTruthRuntime.m","FOUR_STEP_RANDOM_ACCESS","PRACH","pbch_acquired_and_prach_occasion","satisfied",3,4660,NaN,2,1,0.987854221901646,0,1,1,1,1,1,1,1,1,1,"","pending","succeeded"
8,"2026-08-03T20:45:55Z",1,10,NaN,1,4,"pending","ACCESS_SUCCEEDED","prach_msg1_detected","sixgr.truth.CoupledTruthRuntime.applyPRACHTrialImpl","+sixgr/+truth/CoupledTruthRuntime.m","FOUR_STEP_RANDOM_ACCESS","PRACH","pbch_acquired_and_prach_occasion","satisfied",4,4660,NaN,3,1,0.980912064674194,0,1,1,1,1,1,1,1,1,1,"","pending","succeeded"
