SlotTraceID,CanonicalSlot,Frame,FrameLocal,ConfiguredSNR_dB,ConfiguredSNRSource,CurrentSNR_dB,CurrentSNRSource,CurrentSNRValueRole,CurrentSNRValueStatus,SNR_dB,SweepPointIndex,SweepPointCount,SlotDuplexLabel,SpecialSlotActive,DLSymbolStart,DLNumSymbols,GuardSymbolStart,GuardNumSymbols,ULSymbolStart,ULNumSymbols,DLSlot,ULSlot,DLStarted,ULStarted,DLScheduled,ULScheduled,DLActiveUsers,ULActiveUsers,DLGrantedUsers,ULGrantedUsers,DLGrantCount,ULGrantCount,DLSchedulerDecisionRows,ULSchedulerDecisionRows,DLNoGrantReason,DLExecutedGrantCount,ULExecutedGrantCount,DLTrialRows,ULTrialRows,DLSuccessCount,ULSuccessCount,DLQueueBits,ULQueueBits,DLTBSBits,ULTBSBits,HARQTimelineRows,MobilitySource,SchedulerSource,PHYSource,ReportSource,DLStatus,ULStatus,TraceStatus,ValueRole,ValueStatus,ValueSource,ValueDefinition,NAReason
"sweep=1;canonical_slot=1;snr_db=20",1,1,1,20,"configured_operating_point_metadata",20,"CoupledTruthRuntime.refreshRunState:configured_operating_point","configured_quality_until_feedback","configured_quality_pending_runtime_feedback",20,1,1,"DL",0,0,14,0,0,0,0,1,NaN,1,0,1,0,0,0,0,0,0,0,0,0,"no_active_eligible_users",0,0,0,0,0,0,144000,0,0,0,0,"CoupledTruthRuntime.advanceFrame","CoupledTruthRuntime.scheduleDirection","runWaveformLinkBundle.executeGrantPHYJob","slot_trace.csv","idle_no_grant","","partial_direction_started","measured","OK","CoupledTruthRuntime.recordSlotTraceStart","canonical per-slot trace parent for DL grants, UL grants, HARQ, mobility, control gating, and waveform PHY trial rows",""
"sweep=1;canonical_slot=2;snr_db=20",2,1,1,20,"configured_operating_point_metadata",20,"CoupledTruthRuntime.refreshRunState:configured_operating_point","configured_quality_until_feedback","configured_quality_pending_runtime_feedback",20,1,1,"DL",0,0,14,0,0,0,0,2,NaN,1,0,1,0,0,0,0,0,0,0,0,0,"no_active_eligible_users",0,0,0,0,0,0,240000,0,0,0,0,"CoupledTruthRuntime.advanceFrame","CoupledTruthRuntime.scheduleDirection","runWaveformLinkBundle.executeGrantPHYJob","slot_trace.csv","idle_no_grant","","partial_direction_started","measured","OK","CoupledTruthRuntime.recordSlotTraceStart","canonical per-slot trace parent for DL grants, UL grants, HARQ, mobility, control gating, and waveform PHY trial rows",""
"sweep=1;canonical_slot=3;snr_db=20",3,1,1,20,"configured_operating_point_metadata",20,"CoupledTruthRuntime.refreshRunState:configured_operating_point","configured_quality_until_feedback","configured_quality_pending_runtime_feedback",20,1,1,"DL",0,0,14,0,0,0,0,3,NaN,1,0,1,0,0,0,0,0,0,0,0,0,"no_active_eligible_users",0,0,0,0,0,0,336000,0,0,0,0,"CoupledTruthRuntime.advanceFrame","CoupledTruthRuntime.scheduleDirection","runWaveformLinkBundle.executeGrantPHYJob","slot_trace.csv","idle_no_grant","","partial_direction_started","measured","OK","CoupledTruthRuntime.recordSlotTraceStart","canonical per-slot trace parent for DL grants, UL grants, HARQ, mobility, control gating, and waveform PHY trial rows",""
"sweep=1;canonical_slot=4;snr_db=20",4,1,1,20,"configured_operating_point_metadata",20,"CoupledTruthRuntime.refreshRunState:configured_operating_point","configured_quality_until_feedback","configured_quality_pending_runtime_feedback",20,1,1,"FLEXIBLE_OR_MIXED",1,0,12,0,0,13,1,4,4,1,1,1,1,0,4,0,0,0,0,0,0,"",0,0,0,0,0,0,0,384000,0,0,0,"CoupledTruthRuntime.advanceFrame","CoupledTruthRuntime.scheduleDirection","runWaveformLinkBundle.executeGrantPHYJob","slot_trace.csv","idle_no_grant","idle_no_grant","dl_ul_scheduled","measured","OK","CoupledTruthRuntime.recordSlotTraceStart","canonical per-slot trace parent for DL grants, UL grants, HARQ, mobility, control gating, and waveform PHY trial rows",""
"sweep=1;canonical_slot=5;snr_db=20",5,1,1,20,"configured_operating_point_metadata",20,"CoupledTruthRuntime.refreshRunState:configured_operating_point","configured_quality_until_feedback","configured_quality_pending_runtime_feedback",20,1,1,"UL",0,0,0,0,0,0,14,NaN,5,0,1,0,1,0,4,0,0,0,0,0,0,"",0,0,0,0,0,0,0,480000,0,0,0,"CoupledTruthRuntime.advanceFrame","CoupledTruthRuntime.scheduleDirection","runWaveformLinkBundle.executeGrantPHYJob","slot_trace.csv","","idle_no_grant","partial_direction_started","measured","OK","CoupledTruthRuntime.recordSlotTraceStart","canonical per-slot trace parent for DL grants, UL grants, HARQ, mobility, control gating, and waveform PHY trial rows",""
"sweep=1;canonical_slot=6;snr_db=20",6,1,1,20,"configured_operating_point_metadata",20,"CoupledTruthRuntime.refreshRunState:configured_operating_point","configured_quality_until_feedback","configured_quality_pending_runtime_feedback",20,1,1,"DL",0,0,14,0,0,0,0,6,NaN,1,0,1,0,0,0,0,0,0,0,0,0,"no_active_eligible_users",0,0,0,0,0,0,624000,0,0,0,0,"CoupledTruthRuntime.advanceFrame","CoupledTruthRuntime.scheduleDirection","runWaveformLinkBundle.executeGrantPHYJob","slot_trace.csv","idle_no_grant","","partial_direction_started","measured","OK","CoupledTruthRuntime.recordSlotTraceStart","canonical per-slot trace parent for DL grants, UL grants, HARQ, mobility, control gating, and waveform PHY trial rows",""
"sweep=1;canonical_slot=7;snr_db=20",7,1,1,20,"configured_operating_point_metadata",20,"CoupledTruthRuntime.refreshRunState:configured_operating_point","configured_quality_until_feedback","configured_quality_pending_runtime_feedback",20,1,1,"DL",0,0,14,0,0,0,0,7,NaN,1,0,1,0,0,0,0,0,0,0,0,0,"no_active_eligible_users",0,0,0,0,0,0,720000,0,0,0,0,"CoupledTruthRuntime.advanceFrame","CoupledTruthRuntime.scheduleDirection","runWaveformLinkBundle.executeGrantPHYJob","slot_trace.csv","idle_no_grant","","partial_direction_started","measured","OK","CoupledTruthRuntime.recordSlotTraceStart","canonical per-slot trace parent for DL grants, UL grants, HARQ, mobility, control gating, and waveform PHY trial rows",""
"sweep=1;canonical_slot=8;snr_db=20",8,1,1,20,"configured_operating_point_metadata",20,"CoupledTruthRuntime.refreshRunState:configured_operating_point","configured_quality_until_feedback","configured_quality_pending_runtime_feedback",20,1,1,"DL",0,0,14,0,0,0,0,8,NaN,1,0,1,0,0,0,0,0,0,0,0,0,"no_active_eligible_users",0,0,0,0,0,0,816000,0,0,0,0,"CoupledTruthRuntime.advanceFrame","CoupledTruthRuntime.scheduleDirection","runWaveformLinkBundle.executeGrantPHYJob","slot_trace.csv","idle_no_grant","","partial_direction_started","measured","OK","CoupledTruthRuntime.recordSlotTraceStart","canonical per-slot trace parent for DL grants, UL grants, HARQ, mobility, control gating, and waveform PHY trial rows",""
"sweep=1;canonical_slot=9;snr_db=20",9,1,1,20,"configured_operating_point_metadata",20,"CoupledTruthRuntime.refreshRunState:configured_operating_point","configured_quality_until_feedback","configured_quality_pending_runtime_feedback",20,1,1,"FLEXIBLE_OR_MIXED",1,0,12,0,0,13,1,9,9,1,1,1,1,0,4,0,0,0,0,0,0,"",0,0,0,0,0,0,0,912000,0,0,0,"CoupledTruthRuntime.advanceFrame","CoupledTruthRuntime.scheduleDirection","runWaveformLinkBundle.executeGrantPHYJob","slot_trace.csv","idle_no_grant","idle_no_grant","dl_ul_scheduled","measured","OK","CoupledTruthRuntime.recordSlotTraceStart","canonical per-slot trace parent for DL grants, UL grants, HARQ, mobility, control gating, and waveform PHY trial rows",""
"sweep=1;canonical_slot=10;snr_db=20",10,1,1,20,"configured_operating_point_metadata",20,"CoupledTruthRuntime.refreshRunState:configured_operating_point","configured_quality_until_feedback","configured_quality_pending_runtime_feedback",20,1,1,"UL",0,0,0,0,0,0,14,NaN,10,0,1,0,1,0,4,0,0,0,0,0,0,"",0,0,0,0,0,0,0,1008000,0,0,0,"CoupledTruthRuntime.advanceFrame","CoupledTruthRuntime.scheduleDirection","runWaveformLinkBundle.executeGrantPHYJob","slot_trace.csv","","idle_no_grant","partial_direction_started","measured","OK","CoupledTruthRuntime.recordSlotTraceStart","canonical per-slot trace parent for DL grants, UL grants, HARQ, mobility, control gating, and waveform PHY trial rows",""
