Direction,ObservedRows,ConfiguredIQEnabled,AppliedIQEnabled,ConfiguredModel,ConfiguredGainImbalance_dB,ConfiguredPhaseImbalance_deg,ObservedMeanGainImbalance_dB,ObservedMeanPhaseImbalance_deg,IqImbalanceConfiguredAppliedOk,EvidenceSource
"DL",6,0,0,"none",0,0,0,0,1,"trial_rf_iq_columns"
"UL",2,0,0,"none",0,0,0,0,1,"trial_rf_iq_columns"
