Direction,TraceSource,SNR_dB,QualityAxis,QualityValueRole,QualitySource,Metric,MeanValue,P05Value,P95Value,SampleCount
"DL","dl_pdsch_trials",-2,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","PostEqSINR_dB",-1.98491582807434,-1.98491582807434,-1.98491582807434,1
"DL","dl_pdsch_trials",-2,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","ReceiverHestSINR_dB",-1.98491582807434,-1.98491582807434,-1.98491582807434,1
"DL","dl_pdsch_trials",-2,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","NMSE_dB",-9.81668302850025,-9.81668302850025,-9.81668302850025,1
"DL","dl_pdsch_trials",-2,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","ChannelGain_dB",38.3082636549079,38.3082636549079,38.3082636549079,1
"DL","dl_pdsch_trials",-2,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","ConditionNumber_dB",39.0834694075098,39.0834694075098,39.0834694075098,1
"DL","dl_pdsch_trials",-2,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","TimingOffset_samples",15,15,15,1
"DL","dl_pdsch_trials",-2,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","EstimatedDopplerHz",0,0,0,1
"DL","dl_pdsch_trials",-2,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","PhaseTrackingError_deg",0,0,0,1
"DL","dl_pdsch_trials",-1,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","PostEqSINR_dB",-0.931491516601934,-0.931491516601934,-0.931491516601934,1
"DL","dl_pdsch_trials",-1,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","ReceiverHestSINR_dB",-0.931491516601934,-0.931491516601934,-0.931491516601934,1
"DL","dl_pdsch_trials",-1,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","NMSE_dB",-14.2667560858958,-14.2667560858958,-14.2667560858958,1
"DL","dl_pdsch_trials",-1,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","ChannelGain_dB",40.2245489703873,40.2245489703873,40.2245489703873,1
"DL","dl_pdsch_trials",-1,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","ConditionNumber_dB",37.8987941527629,37.8987941527629,37.8987941527629,1
"DL","dl_pdsch_trials",-1,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","TimingOffset_samples",15,15,15,1
"DL","dl_pdsch_trials",-1,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","EstimatedDopplerHz",0,0,0,1
"DL","dl_pdsch_trials",-1,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","PhaseTrackingError_deg",0,0,0,1
"DL","dl_pdsch_trials",2,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","PostEqSINR_dB",1.89041250112102,1.79405462693581,1.98677037530623,2
"DL","dl_pdsch_trials",2,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","ReceiverHestSINR_dB",1.89041250112102,1.79405462693581,1.98677037530623,2
"DL","dl_pdsch_trials",2,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","NMSE_dB",-11.8802956647204,-12.4772721855831,-11.2833191438577,2
"DL","dl_pdsch_trials",2,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","ChannelGain_dB",40.3286540744981,39.0168131434498,41.6404950055464,2
"DL","dl_pdsch_trials",2,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","ConditionNumber_dB",37.6481187719949,37.0171744008663,38.2790631431234,2
"DL","dl_pdsch_trials",2,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","TimingOffset_samples",15,15,15,2
"DL","dl_pdsch_trials",2,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","EstimatedDopplerHz",0,0,0,2
"DL","dl_pdsch_trials",2,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","PhaseTrackingError_deg",0,0,0,2
"DL","dl_pdsch_trials",10,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","PostEqSINR_dB",9.66593678748685,9.66593678748685,9.66593678748685,1
"DL","dl_pdsch_trials",10,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","ReceiverHestSINR_dB",9.66593678748685,9.66593678748685,9.66593678748685,1
"DL","dl_pdsch_trials",10,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","NMSE_dB",-9.81668302850025,-9.81668302850025,-9.81668302850025,1
"DL","dl_pdsch_trials",10,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","ChannelGain_dB",43.1352753102693,43.1352753102693,43.1352753102693,1
"DL","dl_pdsch_trials",10,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","ConditionNumber_dB",33.9822386104622,33.9822386104622,33.9822386104622,1
"DL","dl_pdsch_trials",10,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","TimingOffset_samples",15,15,15,1
