UEIndex,RNTI,ServingCell,CurrentSchedulingDirection,CellAcquisitionState,AccessState,LastPDCCHStatus,TimeAlignmentState,LastTimingAdvance_samples,LastTimingAdvance_us,LastTimingAdvanceSource,LastTimingAdvanceUpdateSlot,LastTimingAdvanceServingCell,LastTimingAdvanceServingDistance_m,TimingAdvanceDrift_samples,TimingAdvanceDrift_us,TimingAdvanceUpdateRequired,TimingAdvanceUpdateStatus,SRSValidityState,CSIValidityState,TRSValidityState,SharedSchedulingEligibility,DLSchedulingEligibility,ULSchedulingEligibility,SchedulingEligibility,ControlEligibility,SchedulingBlockedBySRS,CoverageEligibility,CoverageOutageState,SRSValid,SRSAgeSlots,TrackingEligibility,TRSAgeSlots,LastSuccessfulPBCHSlot,LastSuccessfulPRACHSlot,LastSuccessfulPDCCHSlot,LastSuccessfulPUCCHSlot,LastSuccessfulSRSSlot,LastSuccessfulTRSSlot,LastEstimatedTRSDopplerHz,TRSRuntimeConsumer,TRSReceiverIntegrationStatus,TRSReceiverIntegrationBlocker,TRSProcessed,TRSUpdateOutcome,TRSTrackingStateAfter,TRSRuntimeEvidenceSource,PBCHFailureCount,PRACHFailureCount,ControlDecodeFailureCount,PUCCHDecodeFailureCount,PUCCHCrashCount,SRSInvalidEventCount,TRSFailureCount,SchedulingOpportunitiesBlockedByGating,GrantsBlockedByGating,DLGrantsScheduledWithInvalidSRS,ULGrantsScheduledWithInvalidSRS
1,1,1,"UL","acquired","succeeded","control_ok","time_aligned_from_ul_receiver_measurement",15,0.1220703125,"ul_data_receiver_timing_estimate",20,1,264.280920400292,0,0,0,"updated_from_runtime_receiver_timing_measurement","valid","fresh_srs","valid",1,1,1,1,1,0,1,"guard_disabled",1,5,1,19,1,10,18,19,15,1,0,"shared_receiver_tracking_state","integrated_shared_tracking_object","not_blocked_in_active_control_gating_state_runtime",1,"updated_from_trs_runtime_observation","valid","trs_reference_waveform_estimator",0,0,0,0,0,0,0,9,0,0,0
2,2,1,"UL","acquired","succeeded","control_ok","time_aligned_from_ul_receiver_measurement",15,0.1220703125,"ul_data_receiver_timing_estimate",20,1,431.406921433355,0,0,0,"updated_from_runtime_receiver_timing_measurement","valid","fresh_srs","valid",1,1,1,1,1,0,1,"guard_disabled",1,5,1,19,1,10,18,19,15,1,0,"shared_receiver_tracking_state","integrated_shared_tracking_object","not_blocked_in_active_control_gating_state_runtime",1,"updated_from_trs_runtime_observation","valid","trs_reference_waveform_estimator",0,0,0,0,0,0,0,9,0,0,0
3,3,1,"UL","acquired","succeeded","control_ok","time_aligned_from_prach",0,0,"prach_receiver_measurement",10,1,388.302990651068,0,0,0,"within_configured_ta_drift_threshold","valid","fresh_srs","valid",1,1,1,1,1,0,1,"guard_disabled",1,5,1,19,1,10,17,19,15,1,0,"shared_receiver_tracking_state","integrated_shared_tracking_object","not_blocked_in_active_control_gating_state_runtime",1,"updated_from_trs_runtime_observation","valid","trs_reference_waveform_estimator",0,0,0,0,0,0,0,9,0,0,0
4,4,1,"UL","acquired","succeeded","control_ok","time_aligned_from_prach",0,0,"prach_receiver_measurement",10,1,287.821685364051,0,0,0,"within_configured_ta_drift_threshold","valid","fresh_srs","valid",1,1,1,1,1,0,1,"guard_disabled",1,5,1,19,1,10,17,19,15,1,0,"shared_receiver_tracking_state","integrated_shared_tracking_object","not_blocked_in_active_control_gating_state_runtime",1,"updated_from_trs_runtime_observation","valid","trs_reference_waveform_estimator",0,0,0,0,0,0,0,9,0,0,0
