Direction,ObservedRows,ConfiguredCFO_Hz,MeanInjectedCFO_Hz,MeanEstimatedCFO_PreCorrection_Hz,MeanResidualCFO_PostCorrection_Hz,MaxConfiguredAppliedMismatch_Hz,MaxResidualCFO_Hz,CfoConfiguredAppliedOk,EvidenceSource
"DL",6,0,0,NaN,NaN,0,NaN,0,"trial_rf_cfo_columns"
"UL",2,0,0,-21.0379029160601,0,0,0,1,"trial_rf_cfo_columns"
