Direction,ObservedRows,ConfiguredTimingOffset_samples,MeanInjectedTimingOffset_samples,MeanEstimatedTimingOffset_PreCorrection_samples,MeanResidualTimingOffset_samples,MaxConfiguredAppliedMismatch_samples,MaxResidualTimingError_samples,TimingOffsetConfiguredAppliedOk,EvidenceSource
"DL",6,0,0,15,0,0,0,1,"trial_rf_timing_columns"
"UL",2,0,0,15,0,0,0,1,"trial_rf_timing_columns"
