Scope,ScopeDefinition,Direction,UEID,UEIndex,RNTI,ObservedFrames,ErroredFrames,FER,BLER,BER,FERDefinition,TraceSource,Notes
"run","all_ues_in_direction_aggregated_per_frame_no_ue_identity","DL",NaN,NaN,NaN,1,1,1,1,0.340720296707587,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. Run scope aggregates all executed UEs in the direction and intentionally leaves UE identity blank."
"ue","single_ue_in_direction_aggregated_per_frame","DL",1,1,1,1,1,1,1,0.319576085542012,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",2,2,2,1,1,1,1,0.283100355702078,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",3,3,3,1,1,1,1,0.447582744111395,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",4,4,4,1,1,1,1,0.391386153645946,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"run","all_ues_in_direction_aggregated_per_frame_no_ue_identity","UL",NaN,NaN,NaN,1,1,1,1,0.23396727222023,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. Run scope aggregates all executed UEs in the direction and intentionally leaves UE identity blank."
"ue","single_ue_in_direction_aggregated_per_frame","UL",1,1,1,1,1,1,1,0.246160511533405,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",2,2,2,1,1,1,1,0.221774032907055,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
