Direction,ResponseType,TapIndex,TapDelay_s,PathDelay_s,TapPower_dB,PathPower_dB,TapLinearPower,NormalizedTapPower,DelaySpread_s,ChannelModel,DelayProfile,ChannelObjectClass,NormalizePathGains,ChannelFilterDelay_samples,MaximumChannelDelay_samples,SampleRate_Hz,Status,Source
"DL","model_average_power_delay_profile",1,0,0,-4.4,-4.4,0.363078054770101,0.0618057287230722,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"DL","model_average_power_delay_profile",2,2.099e-08,2.099e-08,-1.2,-1.2,0.758577575029184,0.129130469885729,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"DL","model_average_power_delay_profile",3,2.219e-08,2.219e-08,-3.5,-3.5,0.446683592150963,0.0760376579052976,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"DL","model_average_power_delay_profile",4,2.329e-08,2.329e-08,-5.2,-5.2,0.301995172040202,0.0514077659984512,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"DL","model_average_power_delay_profile",5,2.176e-08,2.176e-08,-2.5,-2.5,0.562341325190349,0.0957257397902908,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"DL","model_average_power_delay_profile",6,6.366e-08,6.366e-08,0,0,1,0.170227112079818,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"DL","model_average_power_delay_profile",7,6.448e-08,6.448e-08,-2.2,-2.2,0.602559586074358,0.102571978193448,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"DL","model_average_power_delay_profile",8,6.56e-08,6.56e-08,-3.9,-3.9,0.407380277804113,0.069347168208868,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"DL","model_average_power_delay_profile",9,6.584e-08,6.584e-08,-7.4,-7.4,0.181970085860998,0.0309762422010342,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"DL","model_average_power_delay_profile",10,7.935e-08,7.935e-08,-7.1,-7.1,0.194984459975805,0.033191641522124,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
