MetricKey,Entity,Statistic,Value,TextValue,Unit,Notes
"ue_energy_per_successful_bit","UE","mean",5.1920643510303e-05,NaN,"J/bit","UE runtime energy divided by successful bits."
"ue_energy_per_slot_frame_burst","UE","per_frame_mean",23.2224423815662,NaN,"J/frame","Average UE energy per frame."
"gnb_energy_per_successful_bit","gNB","mean",0.000346587351203629,NaN,"J/bit","gNB runtime energy divided by successful bits."
"gnb_active_sleep_duty_cycle","gNB","active_ratio",1,NaN,"fraction","Active ratio from gNB runtime timeline."
"gnb_active_sleep_duty_cycle","gNB","sleep_ratio",0,NaN,"fraction","Residual ratio not spent in active runtime states."
"rf_chain_active_time","gNB","total",2.74199999999992,NaN,"s","Accumulated gNB RF-chain active time."
"bb_processing_energy","gNB","total",27.2923369963366,NaN,"J","Modeled TRX-chain processing energy in the RF energy model."
"pdcch_monitoring_energy_metric","UE","total",1.45724999999998,NaN,"J","UE receive energy while monitoring PDCCH."
"pdcch_monitoring_energy","UE","total",1.45724999999998,NaN,"J","UE receive energy while monitoring PDCCH."
"ssb_pbch_common_signal_energy","gNB","total",33.3744905872428,NaN,"J","gNB common-signal transmit energy."
"prach_common_channel_clustering_energy_effect","system","delta_j",55.3744905872428,NaN,"J","Measured common-signal and PRACH energy while clustering is enabled."
"bandwidth_adaptation_energy_effect","system","delta_j",0,NaN,"J","Measured energy-saving proxy using observed sleep ratio under bandwidth adaptation mode 'bwp_like'."
"race_to_sleep_gains","system","fractional_gain",0,NaN,"fraction","Measured sleep-ratio proxy under the configured sleep-state model."
"throughput_per_watt","system","mean",0.0025093599457593,NaN,"Mbps/W","Throughput per average combined UE+gNB power."
"energy_delay_product","system","mean",2443.66866951976,NaN,"J*s","Energy-delay product over the scenario runtime."
"energy_spectral_efficiency_tradeoff","system","mean",2.5093599457593e-05,NaN,"(bit/s/Hz)/W","Spectral efficiency per watt proxy."
