Direction,Availability,RowCount,ConfiguredRowCount,AppliedRowCount,MeasuredRowCount,MeanConfiguredIQGainImbalance_dB,MeanConfiguredIQPhaseImbalance_deg,MeanMirrorPowerRatio_dB,P05MirrorPowerRatio_dB,P95MirrorPowerRatio_dB,MeanImageRejection_dB,MinImageRejection_dB,P05ImageRejection_dB,P95ImageRejection_dB,MaxImageRejection_dB,MeanIQPowerRatio_dB,MeanAbsIQCorrelation,MeanEstimatedAlphaAbs,MeanEstimatedBetaAbs,ModelSet,MeasurementSourceSet,MeasurementStatusSet,SourceArtifact,Note
"DL","measured_runtime_iq_imbalance",1363,0,0,1363,0,0,-352.375337988464,-372.954828944802,-329.642668619733,352.375337988464,313.358268378249,329.642668619733,372.954828944802,388.106452016819,0.011767814553755,0.0139615210297468,1,8.82144863766276e-18,"none","sample_domain_widely_linear_fit_after_iq_stage","disabled","air_interface/csv/dl_pdsch_trials.csv","Summary aggregates sample-domain IQ-imbalance measurements emitted by the active waveform TX/RX impairment chain."
"UL","measured_runtime_iq_imbalance",430,0,0,430,0,0,-358.792682607901,-381.588669961564,-333.04779899095,358.792682607901,314.545371671698,333.04779899095,381.588669961564,404.402222384878,0.000610384780621604,0.00121960338446535,1,6.45367978470447e-18,"none","sample_domain_widely_linear_fit_after_iq_stage","disabled","air_interface/csv/ul_pusch_trials.csv","Summary aggregates sample-domain IQ-imbalance measurements emitted by the active waveform TX/RX impairment chain."
"ALL","measured_runtime_iq_imbalance",1793,0,0,1793,0,0,-353.929086967269,-376.953792446522,-330.892880609435,353.929086967269,313.358268378249,330.892880609435,376.953792446522,404.402222384878,0.00909202269516749,0.0109057348683017,1,8.25360669300461e-18,"none","sample_domain_widely_linear_fit_after_iq_stage","disabled","air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv","Summary aggregates sample-domain IQ-imbalance measurements emitted by the active waveform TX/RX impairment chain."
