RunId,Direction,TxAntennaPortCount,RxAntennaPortCount,DMRSPorts,DMRSPortCount,ConfiguredLayers,ObservedTransmittedLayers,ObservedEffectiveDecodedLayers,MappingEvidenceSource,SourceRowsHash,Status,FailureReason
"","DL",2,2,"0|1",2,2,2,0,"air_interface/csv/dl_pdsch_trials.csv","dfa09e1dd61080b1861a952ca346ef04aa521c7d64afddf450adeefff3a85b7f","pass",""
"","UL",2,2,"0|1",2,2,2,0,"air_interface/csv/ul_pusch_trials.csv","79a431b88beee829ccf4a71b68663ea90392c6e96cd62024edb67ecfaea2ea07","pass",""
