RunID,EdgeID,FromNodeID,ToNodeID,EdgeType,Bytes,Bits,SourceEventID,Status
MAC_PHASE08_R18_20260727033902,82e324bf85bf85327c581d1c0b3646d0b642b1e6220cef047c8508c444512907,891e02f1838cdc37a363eff5ec9c8376444c4e25cccac5f199824f6336b52e18,85909606bc083009d912f41d8e55dc5abeab0216fff64be582078158685f223d,transformation,101,808,EV-1-2,PASS
MAC_PHASE08_R18_20260727033902,ee04310c793fd00da5261ecae240aea56d1755bcb78ed2edeac4afb7747b320c,85909606bc083009d912f41d8e55dc5abeab0216fff64be582078158685f223d,1fdf3ac90e666bc34ae6501d97a393c5144d92de03e0086a11742184ce21a320,transformation,101,808,EV-1-3,PASS
MAC_PHASE08_R18_20260727033902,11168875dcc28df29b285a2a9e628adcce67211e249fe4e5309c288243c45910,1fdf3ac90e666bc34ae6501d97a393c5144d92de03e0086a11742184ce21a320,b8b806b39325880923a14d1196be9252dfc055bd515c8f61681040671e0d3954,transformation,101,808,EV-1-4,PASS
MAC_PHASE08_R18_20260727033902,f47e49f0ece6d2b30cafcb2dfc1c154395d2824a002c707297fa076c9a186431,b8b806b39325880923a14d1196be9252dfc055bd515c8f61681040671e0d3954,a51662b022d26bc0037949cb4d8968871b1b6f157cf01c2a974304d458bf2d2f,transformation,101,808,EV-1-5,PASS
MAC_PHASE08_R18_20260727033902,0f2ff1b899c50715ddf9751ad7b81c92b0788b040c4434445209de910c78ee50,a51662b022d26bc0037949cb4d8968871b1b6f157cf01c2a974304d458bf2d2f,4c86191994e7e3ea924a2695ea21e42d44c8d701916883f81a301d1ae054af0d,transformation,101,808,EV-1-6,PASS
MAC_PHASE08_R18_20260727033902,15d64d373b2bb0568fbac88714e5fe2b636d63b8223027018afa803379b1e147,0887544c3072932c97e99d3261fd4fd742acc0ccd6dceea4e5902dfd3d6e527d,504e1b9fe4ba10cb625c9bd73cefafe99505ca5d7175a6ae12879469feeaca4a,transformation,102,816,EV-2-2,PASS
MAC_PHASE08_R18_20260727033902,c17fede69c20361bac43a32dd2c425b4442c716f6f9acf0d79a6ed9b83aa1c75,504e1b9fe4ba10cb625c9bd73cefafe99505ca5d7175a6ae12879469feeaca4a,f966a4606c3e6f3556bfe9628bf1be289bcb3f680044fdee5d2cd5cf0308f43b,transformation,102,816,EV-2-3,PASS
MAC_PHASE08_R18_20260727033902,88f8be41f1e9a1ce8628cbf5b459b6f24191b4836d98f598f20452ce7d21d17c,f966a4606c3e6f3556bfe9628bf1be289bcb3f680044fdee5d2cd5cf0308f43b,bd34f3956a0d3e06d0e564327994d3780ecd3212f536419f366820c6cc1f35e5,transformation,102,816,EV-2-4,PASS
MAC_PHASE08_R18_20260727033902,ad3c85b113088e71d839888701afccb13fc027d36b2b2e1a3f29652b9fc5fc25,bd34f3956a0d3e06d0e564327994d3780ecd3212f536419f366820c6cc1f35e5,ed2eef4efadaa67ea26c2e53e2408e8ff7dcdcffc03d97faf7952c48a257f3d5,transformation,102,816,EV-2-5,PASS
MAC_PHASE08_R18_20260727033902,d94b082474348e3d2ce604d28433bfe128f5b1af349fa2cbc8b8e6b17fa8629f,ed2eef4efadaa67ea26c2e53e2408e8ff7dcdcffc03d97faf7952c48a257f3d5,7fd4e8d0cc7ac4abcde119643fba9d2cc52dd9e37428fa14acfe67187e983186,transformation,102,816,EV-2-6,PASS
