Mapping,Index,ExpectedLower,ExpectedUpper,ActualLower,ActualUpper,BoundaryMismatchCount,Status
PH,0,,-32,-Inf,-32,0,PASS
PH,1,-32,-31,-32,-31,0,PASS
PH,2,-31,-30,-31,-30,0,PASS
PH,3,-30,-29,-30,-29,0,PASS
PH,4,-29,-28,-29,-28,0,PASS
PH,5,-28,-27,-28,-27,0,PASS
PH,6,-27,-26,-27,-26,0,PASS
PH,7,-26,-25,-26,-25,0,PASS
PH,8,-25,-24,-25,-24,0,PASS
PH,9,-24,-23,-24,-23,0,PASS
PH,10,-23,-22,-23,-22,0,PASS
PH,11,-22,-21,-22,-21,0,PASS
PH,12,-21,-20,-21,-20,0,PASS
PH,13,-20,-19,-20,-19,0,PASS
PH,14,-19,-18,-19,-18,0,PASS
PH,15,-18,-17,-18,-17,0,PASS
PH,16,-17,-16,-17,-16,0,PASS
PH,17,-16,-15,-16,-15,0,PASS
PH,18,-15,-14,-15,-14,0,PASS
PH,19,-14,-13,-14,-13,0,PASS
PH,20,-13,-12,-13,-12,0,PASS
PH,21,-12,-11,-12,-11,0,PASS
PH,22,-11,-10,-11,-10,0,PASS
PH,23,-10,-9,-10,-9,0,PASS
PH,24,-9,-8,-9,-8,0,PASS
PH,25,-8,-7,-8,-7,0,PASS
PH,26,-7,-6,-7,-6,0,PASS
PH,27,-6,-5,-6,-5,0,PASS
PH,28,-5,-4,-5,-4,0,PASS
PH,29,-4,-3,-4,-3,0,PASS
PH,30,-3,-2,-3,-2,0,PASS
PH,31,-2,-1,-2,-1,0,PASS
PH,32,-1,0,-1,0,0,PASS
PH,33,0,1,0,1,0,PASS
PH,34,1,2,1,2,0,PASS
PH,35,2,3,2,3,0,PASS
PH,36,3,4,3,4,0,PASS
PH,37,4,5,4,5,0,PASS
PH,38,5,6,5,6,0,PASS
PH,39,6,7,6,7,0,PASS
PH,40,7,8,7,8,0,PASS
PH,41,8,9,8,9,0,PASS
PH,42,9,10,9,10,0,PASS
PH,43,10,11,10,11,0,PASS
PH,44,11,12,11,12,0,PASS
PH,45,12,13,12,13,0,PASS
PH,46,13,14,13,14,0,PASS
PH,47,14,15,14,15,0,PASS
PH,48,15,16,15,16,0,PASS
PH,49,16,17,16,17,0,PASS
PH,50,17,18,17,18,0,PASS
PH,51,18,19,18,19,0,PASS
PH,52,19,20,19,20,0,PASS
PH,53,20,21,20,21,0,PASS
PH,54,21,22,21,22,0,PASS
PH,55,22,24,22,24,0,PASS
PH,56,24,26,24,26,0,PASS
PH,57,26,28,26,28,0,PASS
PH,58,28,30,28,30,0,PASS
PH,59,30,32,30,32,0,PASS
PH,60,32,34,32,34,0,PASS
PH,61,34,36,34,36,0,PASS
PH,62,36,38,36,38,0,PASS
PH,63,38,,38,Inf,0,PASS
PCMAX,0,,-29,-Inf,-29,0,PASS
PCMAX,1,-29,-28,-29,-28,0,PASS
PCMAX,2,-28,-27,-28,-27,0,PASS
PCMAX,3,-27,-26,-27,-26,0,PASS
PCMAX,4,-26,-25,-26,-25,0,PASS
PCMAX,5,-25,-24,-25,-24,0,PASS
PCMAX,6,-24,-23,-24,-23,0,PASS
