RunID,EventSequence,UEID,ServingCell,RRCState,ActiveDLBWP,ActiveULBWP,DRXState,TimeAligned,ConfigurationEpoch,ProjectionSHA256,Status
MAC_PHASE08_R18_20260727033902,1,1,0,CONNECTED,0,0,AWAKE,false,1,2f1198cddfd63bd5b9cc309c8c8671d7763961e68451e0aaf586a2a9e19fb1fc,PASS
MAC_PHASE08_R18_20260727033902,2,2,1,CONNECTED,0,0,AWAKE,false,1,35794b0a18def089e6cdb996cfe9450dfde209f4ec52d12f33511404a89a5089,PASS
MAC_PHASE08_R18_20260727033902,3,3,0,CONNECTED,0,0,AWAKE,false,1,4636f12a5c9998be3a228ea3adf044af57c849b6f19827ed973d57783237dae1,PASS
MAC_PHASE08_R18_20260727033902,4,4,1,CONNECTED,0,0,AWAKE,false,1,2313692370c748c4c443c760a99b966bac010f07fc615844732eafe6bed8f4e3,PASS
MAC_PHASE08_R18_20260727033902,5,5,0,CONNECTED,0,0,AWAKE,true,1,715a46706375bb641f63c37ceb398b5b5a093a9e01bc4099da26777ac29a34dd,PASS
MAC_PHASE08_R18_20260727033902,6,6,1,CONNECTED,0,0,AWAKE,false,1,592996e4f462c34aa001ef73206cc83038ae866741795ad6c91abcdd340ca8fe,PASS
MAC_PHASE08_R18_20260727033902,7,7,0,CONNECTED,1,0,AWAKE,false,1,7655c6a3353e1341385979e19602ee8df8d40a99ebebd7f6f66c932f2073524c,PASS
MAC_PHASE08_R18_20260727033902,8,8,1,CONNECTED,0,0,AWAKE,false,1,a7c78797f3df947d3df2345ff7fe086aab0fd5623568253650a23c9134e34f91,PASS
MAC_PHASE08_R18_20260727033902,9,1,0,CONNECTED,0,0,AWAKE,false,1,c03f4e18672d0ae4e8b9176bfb77e37a9f70365490829796806bced22bdfba89,PASS
MAC_PHASE08_R18_20260727033902,10,2,1,CONNECTED,0,0,AWAKE,true,1,a847cddd2b6807d1a202c6bbfc28e4e53dc6c38c5b08b9f2deb3589a5b1228c6,PASS
MAC_PHASE08_R18_20260727033902,11,3,0,CONNECTED,0,0,AWAKE,false,1,96aad079d6b48b19252ed553dc45763aa9ee6c622cb294a638cbba56fef5e7d6,PASS
MAC_PHASE08_R18_20260727033902,12,4,1,CONNECTED,0,0,AWAKE,false,1,362c81054170d114f921f354594ae96927438791de79047992bf0296040e0490,PASS
MAC_PHASE08_R18_20260727033902,13,5,0,CONNECTED,0,0,AWAKE,true,1,f80ff247db624f50296749abd596f0f6c59a4735382b15a23b9c3e239a1db902,PASS
MAC_PHASE08_R18_20260727033902,14,6,1,CONNECTED,0,0,AWAKE,false,1,592996e4f462c34aa001ef73206cc83038ae866741795ad6c91abcdd340ca8fe,PASS
MAC_PHASE08_R18_20260727033902,15,7,0,CONNECTED,1,0,AWAKE,true,1,287f489f52b34e5236184a2c9ced4d778da8b44503ccbc0dcc88e2d1d309ca76,PASS
