RunID,EventSequence,UEID,TAGID,NTA,AppliedSampleShift,CommandType,CommandValue,TimerState,TimerExpirySlot,ULAllowed,SourceEventID,Status
MAC_PHASE08_R18_20260727033902,1,1,0,1024,1024,relative,32,running,8,true,TA-0001,PASS
MAC_PHASE08_R18_20260727033902,2,2,1,1024,1024,relative,33,running,9,true,TA-0002,PASS
MAC_PHASE08_R18_20260727033902,3,3,0,768,768,relative,34,running,10,true,TA-0003,PASS
MAC_PHASE08_R18_20260727033902,4,4,1,512,512,relative,35,running,11,true,TA-0004,PASS
MAC_PHASE08_R18_20260727033902,5,5,0,5120,5120,relative,36,running,12,true,TA-0005,PASS
MAC_PHASE08_R18_20260727033902,6,6,1,3072,3072,relative,37,running,13,true,TA-0006,PASS
MAC_PHASE08_R18_20260727033902,7,7,0,1792,1792,relative,38,running,14,true,TA-0007,PASS
MAC_PHASE08_R18_20260727033902,8,8,1,0,0,relative,31,running,15,true,TA-0008,PASS
MAC_PHASE08_R18_20260727033902,9,1,0,1024,1024,relative,32,running,16,true,TA-0009,PASS
MAC_PHASE08_R18_20260727033902,10,2,1,1024,1024,relative,33,running,17,true,TA-0010,PASS
MAC_PHASE08_R18_20260727033902,11,3,0,768,768,relative,34,running,18,true,TA-0011,PASS
MAC_PHASE08_R18_20260727033902,12,4,1,512,512,relative,35,running,19,true,TA-0012,PASS
MAC_PHASE08_R18_20260727033902,13,5,0,5120,5120,relative,36,running,20,true,TA-0013,PASS
MAC_PHASE08_R18_20260727033902,14,6,1,3072,3072,relative,37,running,21,true,TA-0014,PASS
MAC_PHASE08_R18_20260727033902,15,7,0,1792,1792,relative,38,running,22,true,TA-0015,PASS
MAC_PHASE08_R18_20260727033902,16,8,1,0,0,relative,31,running,23,true,TA-0016,PASS
MAC_PHASE08_R18_20260727033902,17,1,0,1024,1024,relative,32,running,24,true,TA-0017,PASS
MAC_PHASE08_R18_20260727033902,18,2,1,1024,1024,relative,33,running,25,true,TA-0018,PASS
MAC_PHASE08_R18_20260727033902,19,3,0,768,768,relative,34,running,26,true,TA-0019,PASS
MAC_PHASE08_R18_20260727033902,20,4,1,512,512,relative,35,running,27,true,TA-0020,PASS
MAC_PHASE08_R18_20260727033902,21,5,0,5120,5120,relative,36,running,28,true,TA-0021,PASS
MAC_PHASE08_R18_20260727033902,22,6,1,3072,3072,relative,37,running,29,true,TA-0022,PASS
MAC_PHASE08_R18_20260727033902,23,7,0,1792,1792,relative,38,running,30,true,TA-0023,PASS
MAC_PHASE08_R18_20260727033902,24,8,1,0,0,relative,31,running,31,true,TA-0024,PASS
MAC_PHASE08_R18_20260727033902,25,1,0,1024,1024,relative,32,running,32,true,TA-0025,PASS
MAC_PHASE08_R18_20260727033902,26,2,1,1024,1024,relative,33,running,33,true,TA-0026,PASS
MAC_PHASE08_R18_20260727033902,27,3,0,768,768,relative,34,running,34,true,TA-0027,PASS
MAC_PHASE08_R18_20260727033902,28,4,1,512,512,relative,35,running,35,true,TA-0028,PASS
MAC_PHASE08_R18_20260727033902,29,5,0,5120,5120,relative,36,running,36,true,TA-0029,PASS
MAC_PHASE08_R18_20260727033902,30,6,1,3072,3072,relative,37,running,37,true,TA-0030,PASS
MAC_PHASE08_R18_20260727033902,31,7,0,1792,1792,relative,38,running,38,true,TA-0031,PASS
MAC_PHASE08_R18_20260727033902,32,8,1,0,0,relative,31,running,39,true,TA-0032,PASS
MAC_PHASE08_R18_20260727033902,33,1,0,1024,1024,relative,32,running,40,true,TA-0033,PASS
MAC_PHASE08_R18_20260727033902,34,2,1,1024,1024,relative,33,running,41,true,TA-0034,PASS
MAC_PHASE08_R18_20260727033902,35,3,0,768,768,relative,34,running,42,true,TA-0035,PASS
MAC_PHASE08_R18_20260727033902,36,4,1,512,512,relative,35,running,43,true,TA-0036,PASS
MAC_PHASE08_R18_20260727033902,37,5,0,5120,5120,relative,36,running,44,true,TA-0037,PASS
MAC_PHASE08_R18_20260727033902,38,6,1,3072,3072,relative,37,running,45,true,TA-0038,PASS
MAC_PHASE08_R18_20260727033902,39,7,0,1792,1792,relative,38,running,46,true,TA-0039,PASS
MAC_PHASE08_R18_20260727033902,40,8,1,0,0,relative,31,running,47,true,TA-0040,PASS
