RunID,FeedbackEventID,UEID,ServingCell,HARQProcess,Codeword,SourceAttemptID,CodebookType,DAI,BitPosition,Outcome,DueSlot,ReceivedSlot,Applied,Reason,Status
MAC_PHASE08_R18_20260727033902,63aa29d9da9165c9139a8ad1f9ca047f607537d698b4d0ffda9485467e736491,1,1,0,0,892cd26f681267c504b75f0ae1f6dbcdb34b60b0805bff98268b804c48786453,type1,0,0,ACK,4,4,true,ACKED_DELIVERED,PASS
MAC_PHASE08_R18_20260727033902,debe953d63768928136c7fb7833f96b16f30a2cfd7ea47144d6a3ddddf37400e,2,1,1,1,22297e7c891f52e8c1545a398430d330f93decdeebf69ed3681e853c16a2e371,type1,1,0,ACK,5,5,true,ACKED_DELIVERED,PASS
MAC_PHASE08_R18_20260727033902,7d5e81434a23039ebbee4c750c30aaf450904706f866c9f939f66c177e284230,3,0,2,0,4ceffb44891e91ee45aef8a56979f5f7455ba82b3b40ecfe43843872f5559fb3,type1,1,1,ACK,6,6,true,ACKED_DELIVERED,PASS
MAC_PHASE08_R18_20260727033902,560a9341108e879c488df499fbaadead41f1cd12971c053ba8e67c92008c26cf,4,1,3,1,d76b9cf1c942d7afbcee899bd68230b1e039782d92d3cf40667041ad916a1d93,type1,0,0,NACK,7,7,true,RETX_PENDING,PASS
MAC_PHASE08_R18_20260727033902,3fd05bbe0c9632df18256a1c23eb134b3e7710a871e56512f403f3a52d69a3f2,5,1,4,0,d06d14d84a99c49492a7aa5e769587209afcfb0980eb91866dcc11b473113197,type1,1,0,NACK,8,8,true,RETX_PENDING,PASS
MAC_PHASE08_R18_20260727033902,1ed190f45748d2b969073c7d84ef2a6dd42dede9fc04788d7d05153f71e9e0e5,6,0,5,1,f51e83269a0d913b62890cf252303f17f2131da6369ac594c47b6d91b6cd2d5b,type1,1,1,NACK,9,9,true,RETX_PENDING,PASS
MAC_PHASE08_R18_20260727033902,91826cb80149581c2bd674ce13b2dbe753fb2cf46eea187c79544a99d64f7bc2,7,1,6,0,bb07323d771fefdc4ea592c6bbc225bb4090428b0e6b000b833c607b48972ace,type1,0,0,DTX,10,10,true,RETX_PENDING,PASS
MAC_PHASE08_R18_20260727033902,29e727714291a4645ac1ea8b7bc54a258c42d1e7ca396a1adc3698394583b423,8,1,7,1,e9de7bdc725e08d9d6518760a2fb58ce5d05d128040072914ab5554156420874,type1,1,0,DTX,11,11,true,RETX_PENDING,PASS
MAC_PHASE08_R18_20260727033902,ed92083ef226905abdee8d3df59067b4d8d2400f86bc8bd5da7fba8fcac27149,1,0,8,0,72a1c0dc53a978a1c5fc00b10d80de8b2423ecd323509c176fbac1b6bb1bb075,type1,1,1,DTX,12,12,true,RETX_PENDING,PASS
MAC_PHASE08_R18_20260727033902,b41722b0b5b3d710c74e14c886972a3829a53fc7b8f715964776ca2e69ecd294,2,1,9,1,3f35c3bd8b7189beb92b050c4f12c27f1d0fda35907752e111b2ef1836b55453,type1,0,0,NOT_EXPECTED,13,13,true,AWAITING_FEEDBACK,PASS
MAC_PHASE08_R18_20260727033902,ad5df40e4e3c1a105306f112b47509ca55795fce3fc1556c2e0b415f06599e4f,3,1,10,0,7a0cfb8d60ceca82a5c6bd46e2efcb76c7f7dd7fe009a6bf60e2af5b16b59440,type1,0,0,INVALID,14,14,true,AWAITING_FEEDBACK,PASS
MAC_PHASE08_R18_20260727033902,05b102cfd11888e07731667f96f74f5a993c9c923966d931b9528851e2065a73,4,1,11,1,ea4f283656fa09ab008d4fc5da9379b2d335cdb7729ad43163c6618abc3c018e,type2,0,0,ACK,15,15,true,ACKED_DELIVERED,PASS
MAC_PHASE08_R18_20260727033902,0762bc8b7df0f99c5b3fd164d75c879fe86747e8c3283f546e7fce3816640187,5,1,12,0,23d8e05fc4d4040eacade73c576c2cfb0f83448e670f0680b9b715d258360092,type2,1,0,ACK,16,16,true,ACKED_DELIVERED,PASS
MAC_PHASE08_R18_20260727033902,73dd1de96b54c38bac574ec7a7d25a880de6553deddaa372996c3363faa22129,6,0,13,1,11e54e231476915972d69ae188c714d03725b1dde2b053fed841bbc4e43a4d80,type2,1,1,ACK,17,17,true,ACKED_DELIVERED,PASS
MAC_PHASE08_R18_20260727033902,a75abdf6a9409db31f991308b9e0fe5b6e7df6f2059c186fb14d5ce45d85ac7d,7,1,14,0,9c7284ce766517e82c19aee6570be66d216b58511be01932a603ded952bceb65,type2,2,0,ACK,18,18,true,ACKED_DELIVERED,PASS
MAC_PHASE08_R18_20260727033902,6ff60e5355ff3601f878107ba5e9ba2c3183ad001d76ef804acd809e8cfaf934,8,0,15,1,9310b1918617041f9bda576a0c557718f991479f5bb5382f027a448ba0131731,type2,2,1,ACK,19,19,true,ACKED_DELIVERED,PASS
MAC_PHASE08_R18_20260727033902,97914af9d9699ee24a08f04dece47f0e17560c5c7d89a4433ede48cefe4f0944,1,1,0,0,9f258e2ca238411bf702bb867048bbafa64e3c2cc26fedbcb0b6f783bc4e0ee8,type2,3,0,ACK,20,20,true,ACKED_DELIVERED,PASS
MAC_PHASE08_R18_20260727033902,62c4dd23e01d4fead64c407b81a503741e41ea89f4d216c1090a08af3676b142,2,0,1,1,4726c692f244b9a7921c8343c3d86a54b7ec8cb7056b128eaf973b372ce284b1,type2,3,1,ACK,21,21,true,ACKED_DELIVERED,PASS
MAC_PHASE08_R18_20260727033902,7d6f343a8a5d89f0db17c7423644e94c2bdd04b7fe64da134f00e80249cacaef,3,1,2,0,d25e47243bf7fdbefb6559c13a6111ebe302aa0c552fb3cd5867beb126651487,type2,0,0,NACK,22,22,true,RETX_PENDING,PASS
MAC_PHASE08_R18_20260727033902,5aadbfec260dc57a86b0d72eb1ea35cce7eda334eb6618883fb6174e7dca5523,4,1,3,1,80dac7d4b03c2f3b8e6a2fb345beae83a82ae8ff060488f372efbcad5e54e38c,type2,1,0,NACK,23,23,true,RETX_PENDING,PASS
MAC_PHASE08_R18_20260727033902,c3ea7f17a4a0e05244cae2bc62f067f80bad56a27d935e6ed55910bb92f9ef8e,5,0,4,0,b262dad991fe79d6e4ccde5a4de825b29547d7dff776a5bc9e35e76189b1d56b,type2,1,1,NACK,24,24,true,RETX_PENDING,PASS
MAC_PHASE08_R18_20260727033902,bbf4cda579e425d742b6988abe13a64c197f0355a78a645850d5bbdb29ae620a,6,1,5,1,472cdd053ec18ef8eab4ecf43d7edc71c2cc33925c323ffe913b88dca6fa4b37,type2,2,0,NACK,25,25,true,RETX_PENDING,PASS
MAC_PHASE08_R18_20260727033902,b6d5353a8e94cc154e67dd1bb28560fa671400ab45c98c8b9f77ddbf581f0f67,7,0,6,0,051ddac01e04420e85f7f43b4856bf7ef477cc29995758f2a96d22f1b90ca06d,type2,2,1,NACK,26,26,true,RETX_PENDING,PASS
MAC_PHASE08_R18_20260727033902,5402233f6ddb0dcd121eb10f7bef5e9cbe964c5895c101905ebb20617605ece3,8,1,7,1,18965274cc6004e3dd14c595aad9dbca288d9cbfd97b5f825ce947d42ca113a5,type2,3,0,NACK,27,27,true,RETX_PENDING,PASS
MAC_PHASE08_R18_20260727033902,a902251de92fa6fc5b882e0ae423682df1deb0bc0c53946a7b693e618154731a,1,0,8,0,74ab0faebbbeeb22f6bd061a524d220db5a8d587aa0ef5319d745d5d068ba463,type2,3,1,NACK,28,28,true,RETX_PENDING,PASS
MAC_PHASE08_R18_20260727033902,853c242e7b9fddc84fb4346de0856f609c9306c95f6b5e7f5a79c0365e95bdd4,2,1,9,1,3d57e164ae525b71e01b9344d20d008873b178c2c7254f40d77db4526018c5ce,type2,0,0,DTX,29,29,true,RETX_PENDING,PASS
MAC_PHASE08_R18_20260727033902,e8ce4d73bd3fa38af104b6c2f13a62852f84665e2257d3b2a788546b1fff8761,3,1,10,0,1bb32dec5a9086cf31cc821947f17535d85f4edd1533d92435154d4b215067f6,type2,1,0,DTX,30,30,true,RETX_PENDING,PASS
MAC_PHASE08_R18_20260727033902,735f2220548dcb795a19c0ea35b83ac5cb6ccfc1d3a59b6f4f0ff9581cd278bf,4,0,11,1,5023adc2a560663605f9c30f62773459f4583b3a1ffea46adc443435d5abc663,type2,1,1,DTX,31,31,true,RETX_PENDING,PASS
MAC_PHASE08_R18_20260727033902,866f05691bde269a703c84292e30416d070bc900b60fbe085763d86edd67195e,5,1,12,0,100f324ee0f981e7c8594003650e667fa13404844d9da9e7175928834dc843d3,type2,2,0,DTX,32,32,true,RETX_PENDING,PASS
MAC_PHASE08_R18_20260727033902,43ec7b81561033ceac71057cf1779e54a50318f300e7f990bc42aeda5fa920f6,6,0,13,1,4cc3dfea6b539f6e5d789c344193346c2a19110508eb6e8a1a2bc2ec35db1561,type2,2,1,DTX,33,33,true,RETX_PENDING,PASS
