RunID,EventSequence,UEID,LCGID,BufferBytes,Trigger,PeriodicTimer,RetxTimer,ReportFormat,BSIndex,TableID,MACPDUId,Status
MAC_PHASE08_R18_20260727033902,1,1,0,10,regular,20,40,short,1,8bit,ae6462e0fc6e77ab301c8f257c2268fa1d3deb174906a973570962636cf43774,PASS
MAC_PHASE08_R18_20260727033902,2,2,1,20,regular,20,40,short,11,8bit,b6f5f0dc83443b6fedad5181dccabd03e5049fa5f4a658fa7ef9adbcf3e00ae0,PASS
MAC_PHASE08_R18_20260727033902,3,3,2,30,regular,20,40,short,17,8bit,db810948b506b08a4f86f6aac2e5fe2d899aff3eec330c73ae38057f595637c7,PASS
MAC_PHASE08_R18_20260727033902,4,4,3,40,regular,20,40,short,22,8bit,79a4772241316afc5c44890cf937d687909fd89235b28d56f792b4d3eb67e6e3,PASS
MAC_PHASE08_R18_20260727033902,5,5,0,50,regular,20,40,short,26,8bit,686ba5b08346b6950f476140eddacd2fd28e007bf63e082034c6a46741f792a2,PASS
MAC_PHASE08_R18_20260727033902,6,6,1,60,regular,20,40,short,29,8bit,0bb9fe9f8e41b7e4a6bedc4db3cb5307fc2e17af5dafe6db3c48ee34ecd7f514,PASS
MAC_PHASE08_R18_20260727033902,7,7,2,70,regular,20,40,short,31,8bit,5d138fd0a260b03c8407774fdfc5bb7c0d9016a3d4909d43c619339f242d1cce,PASS
MAC_PHASE08_R18_20260727033902,8,8,3,80,regular,20,40,short,33,8bit,98bec1604f15815966512fb1f4b16f0b54a7fb9f53feabcec963e4a972061a2f,PASS
MAC_PHASE08_R18_20260727033902,9,1,0,90,regular,20,40,short,35,8bit,136e695e1ad4bb797b8ea262aec624d0c4e4197578bcaea9842fa079102ae2cb,PASS
MAC_PHASE08_R18_20260727033902,10,2,1,100,regular,20,40,short,37,8bit,7c85299152268952eeb92cc32a9791bc6d5831cab4e43f776f1f13926ff5e66d,PASS
MAC_PHASE08_R18_20260727033902,11,3,2,110,regular,20,40,short,38,8bit,a3327919dfa073aa39388768934b692ec339f890394a1f361450d93a61a15f18,PASS
MAC_PHASE08_R18_20260727033902,12,4,3,120,regular,20,40,short,40,8bit,c0e660fb556111a33083c364a743da3aa431317ec2b17d4c06ef9d342727e0d5,PASS
MAC_PHASE08_R18_20260727033902,13,5,0,130,regular,20,40,short,41,8bit,df5e1c6ca6104730f221566c6a80f890a1b9b25eaf909e7ea49adbe8700eb1cb,PASS
MAC_PHASE08_R18_20260727033902,14,6,1,140,regular,20,40,short,42,8bit,3910cf659dfaa11ad0819059dd0016fb47e69826d153a5287f2bb3c18e205ed9,PASS
MAC_PHASE08_R18_20260727033902,15,7,2,150,regular,20,40,short,43,8bit,508e4aa9751f40f398d0df21ef857b52fe464d13fa48dda4223bec1653d613e9,PASS
MAC_PHASE08_R18_20260727033902,16,8,3,160,regular,20,40,short,44,8bit,5dc70674474e3527b2237e35673ac2bd137e08eca7600b95e326e482596032f3,PASS
MAC_PHASE08_R18_20260727033902,17,1,0,170,regular,20,40,short,45,8bit,5afe90ebe067007e4079ab8914e0800d2daf4a8750bba91c6be90b37fedc927f,PASS
MAC_PHASE08_R18_20260727033902,18,2,1,180,regular,20,40,short,46,8bit,7b5ca33f635f225b6ce918a857c4b862fbfea4e615cd8d02f6ed9c05f0aa8587,PASS
MAC_PHASE08_R18_20260727033902,19,3,2,190,regular,20,40,short,47,8bit,2d1674901085017f581c6c0c0103528de1fe3af914a0f6dde40a358beaa031a2,PASS
MAC_PHASE08_R18_20260727033902,20,4,3,200,regular,20,40,short,48,8bit,cb0a0576e3e4c07e03f198ebc6123a1824fdfb84c9e4ed4403f905dc2cf2dbc4,PASS
MAC_PHASE08_R18_20260727033902,21,5,0,210,regular,20,40,short,49,8bit,69f0a45dff5d5e1105488a24bec8721077dfc413d058a8c73daf0beaec126095,PASS
MAC_PHASE08_R18_20260727033902,22,6,1,220,regular,20,40,short,50,8bit,c39e6f6b423d0d8179742d84532e2aa5822d7e8cb083176b87dc0cacefa84259,PASS
MAC_PHASE08_R18_20260727033902,23,7,2,230,regular,20,40,short,50,8bit,c4b32fa88495278f151f3c5255f481a4053dcb8f6979ccb388f6267d8c2747e1,PASS
MAC_PHASE08_R18_20260727033902,24,8,3,240,regular,20,40,short,51,8bit,186ad8e57c1390ccab612a3e3ad95ca277f42806da7f01aca0c64766388c9449,PASS
MAC_PHASE08_R18_20260727033902,25,1,0,250,regular,20,40,short,52,8bit,6837d3235ace5be76ff36c23f2b44c342338dc367b90304d84dd874eea7cd777,PASS
MAC_PHASE08_R18_20260727033902,26,2,1,260,regular,20,40,short,52,8bit,ce784a873a1323b684e4dbec75a2a153d037b6584bea60b9acfa05a5797e1b4b,PASS
MAC_PHASE08_R18_20260727033902,27,3,2,270,regular,20,40,short,53,8bit,820192372e5d9f14cc7e0c082238564d4523b43ddf002065cad9ef45e0575519,PASS
MAC_PHASE08_R18_20260727033902,28,4,3,280,regular,20,40,short,53,8bit,33a2c9464c2a78b7da487789aebcee2dc03e08930bebd2db9b9efe4cc460eaa9,PASS
MAC_PHASE08_R18_20260727033902,29,5,0,290,regular,20,40,short,54,8bit,1214e65db13b3e9b5373c698d300dd4c8774b163bf5ffeb7e4ab98b8d737ec08,PASS
MAC_PHASE08_R18_20260727033902,30,6,1,300,regular,20,40,short,55,8bit,57468796d21a27e4e0c19572ce972ca5e51814fadb1beec4ea885cc14ae0a6b0,PASS
MAC_PHASE08_R18_20260727033902,31,7,2,310,regular,20,40,short,55,8bit,c8392ff22a925adc296a5560527efc526ab5061b23f106c1fce0ac4afbafa286,PASS
MAC_PHASE08_R18_20260727033902,32,8,3,320,regular,20,40,short,56,8bit,53d8d09f316821b0020ff77adb27a085a2c058d4e609bc6443a4926b2e4247fa,PASS
MAC_PHASE08_R18_20260727033902,33,1,0,330,regular,20,40,short,56,8bit,2b6a876031866af52f62056fa8fc9aa1c450cb8f14cca37336e517d4802645d2,PASS
MAC_PHASE08_R18_20260727033902,34,2,1,340,regular,20,40,short,57,8bit,0579e26a4e2ae79a3f5f90bfe45d90c5e14fe3fb3db7e2e31cd0eab2640679d7,PASS
MAC_PHASE08_R18_20260727033902,35,3,2,350,regular,20,40,short,57,8bit,3a833f5dbb6bce6c33022bf736dc46f2ff7ae2e052a8f674bcff3b49020e95bc,PASS
MAC_PHASE08_R18_20260727033902,36,4,3,360,regular,20,40,short,57,8bit,bfdbfe4ec230cb00f8c21d727856538fc99deac59133576f618004da5c41e966,PASS
MAC_PHASE08_R18_20260727033902,37,5,0,370,regular,20,40,short,58,8bit,24fdfd0f018b3aca26cacf02ff75432e0e62d744add75250d51da195d220a074,PASS
MAC_PHASE08_R18_20260727033902,38,6,1,380,regular,20,40,short,58,8bit,c83f239d7ee5c5db00e2ff8ca5246543038bfa7ea55db6ace0fceb3e7de04089,PASS
MAC_PHASE08_R18_20260727033902,39,7,2,390,regular,20,40,short,59,8bit,357921efa61762759ebeee366bc4cddcd2caf84280f9a2186b4189806bc09463,PASS
MAC_PHASE08_R18_20260727033902,40,8,3,400,regular,20,40,short,59,8bit,16ac69b7cb7b584d3a26dd8ee9dd252e523da4b364dc12fb90d5a9d823d87ac1,PASS
