TableID,Index,ExpectedLower,ExpectedUpper,ActualLower,ActualUpper,BoundaryMismatchCount,Status
5bit,0,,0,,0,0,PASS
5bit,1,0,10,0,10,0,PASS
5bit,2,10,14,10,14,0,PASS
5bit,3,14,20,14,20,0,PASS
5bit,4,20,28,20,28,0,PASS
5bit,5,28,38,28,38,0,PASS
5bit,6,38,53,38,53,0,PASS
5bit,7,53,74,53,74,0,PASS
5bit,8,74,102,74,102,0,PASS
5bit,9,102,142,102,142,0,PASS
5bit,10,142,198,142,198,0,PASS
5bit,11,198,276,198,276,0,PASS
5bit,12,276,384,276,384,0,PASS
5bit,13,384,535,384,535,0,PASS
5bit,14,535,745,535,745,0,PASS
5bit,15,745,1038,745,1038,0,PASS
5bit,16,1038,1446,1038,1446,0,PASS
5bit,17,1446,2014,1446,2014,0,PASS
5bit,18,2014,2806,2014,2806,0,PASS
5bit,19,2806,3909,2806,3909,0,PASS
5bit,20,3909,5446,3909,5446,0,PASS
5bit,21,5446,7587,5446,7587,0,PASS
5bit,22,7587,10570,7587,10570,0,PASS
5bit,23,10570,14726,10570,14726,0,PASS
5bit,24,14726,20516,14726,20516,0,PASS
5bit,25,20516,28581,20516,28581,0,PASS
5bit,26,28581,39818,28581,39818,0,PASS
5bit,27,39818,55474,39818,55474,0,PASS
5bit,28,55474,77284,55474,77284,0,PASS
5bit,29,77284,107669,77284,107669,0,PASS
5bit,30,107669,150000,107669,150000,0,PASS
5bit,31,150000,,150000,Inf,0,PASS
8bit,0,,0,,0,0,PASS
8bit,1,0,10,0,10,0,PASS
8bit,2,10,11,10,11,0,PASS
8bit,3,11,12,11,12,0,PASS
8bit,4,12,13,12,13,0,PASS
8bit,5,13,14,13,14,0,PASS
8bit,6,14,15,14,15,0,PASS
8bit,7,15,16,15,16,0,PASS
8bit,8,16,17,16,17,0,PASS
8bit,9,17,18,17,18,0,PASS
8bit,10,18,19,18,19,0,PASS
8bit,11,19,20,19,20,0,PASS
8bit,12,20,22,20,22,0,PASS
8bit,13,22,23,22,23,0,PASS
8bit,14,23,25,23,25,0,PASS
8bit,15,25,26,25,26,0,PASS
8bit,16,26,28,26,28,0,PASS
8bit,17,28,30,28,30,0,PASS
8bit,18,30,32,30,32,0,PASS
8bit,19,32,34,32,34,0,PASS
8bit,20,34,36,34,36,0,PASS
8bit,21,36,38,36,38,0,PASS
8bit,22,38,40,38,40,0,PASS
8bit,23,40,43,40,43,0,PASS
8bit,24,43,46,43,46,0,PASS
8bit,25,46,49,46,49,0,PASS
8bit,26,49,52,49,52,0,PASS
8bit,27,52,55,52,55,0,PASS
8bit,28,55,59,55,59,0,PASS
8bit,29,59,62,59,62,0,PASS
8bit,30,62,66,62,66,0,PASS
8bit,31,66,71,66,71,0,PASS
8bit,32,71,75,71,75,0,PASS
8bit,33,75,80,75,80,0,PASS
8bit,34,80,85,80,85,0,PASS
8bit,35,85,91,85,91,0,PASS
8bit,36,91,97,91,97,0,PASS
8bit,37,97,103,97,103,0,PASS
8bit,38,103,110,103,110,0,PASS
8bit,39,110,117,110,117,0,PASS
8bit,40,117,124,117,124,0,PASS
8bit,41,124,132,124,132,0,PASS
8bit,42,132,141,132,141,0,PASS
8bit,43,141,150,141,150,0,PASS
8bit,44,150,160,150,160,0,PASS
8bit,45,160,170,160,170,0,PASS
8bit,46,170,181,170,181,0,PASS
8bit,47,181,193,181,193,0,PASS
8bit,48,193,205,193,205,0,PASS
8bit,49,205,218,205,218,0,PASS
8bit,50,218,233,218,233,0,PASS
8bit,51,233,248,233,248,0,PASS
8bit,52,248,264,248,264,0,PASS
8bit,53,264,281,264,281,0,PASS
8bit,54,281,299,281,299,0,PASS
8bit,55,299,318,299,318,0,PASS
8bit,56,318,339,318,339,0,PASS
8bit,57,339,361,339,361,0,PASS
8bit,58,361,384,361,384,0,PASS
8bit,59,384,409,384,409,0,PASS
