RunID,MACPDUId,Direction,SubPDUIndex,LCID,eLCID,Kind,HeaderOffset,HeaderLength,PayloadOffset,PayloadLength,OwnerID,PayloadSHA256,Status
MAC_PHASE08_R18_20260727033902,86c36865225ccc65af5c01c6337a16f866fc178816bbdb8e85e5d40975f46a6b,UL,1,2,0,SDU,12,2,14,10,SDU-10-2,2ae70ddd54267869ebea946f76d46b817b8c0561473812db87270fff4d1c0add,PASS
MAC_PHASE08_R18_20260727033902,0012d611f06053899f114663b8fee5720bf465e0f03f40c5ccb714167e039ee6,UL,0,1,0,SDU,0,2,2,10,SDU-11-1,40afbb0fa52dc475c56aed4530f7c0960015ec7c9ae5b3e17666aaf8d522a977,PASS
MAC_PHASE08_R18_20260727033902,0012d611f06053899f114663b8fee5720bf465e0f03f40c5ccb714167e039ee6,UL,1,2,0,SDU,12,2,14,10,SDU-11-2,bffb16c42720b898da482635b9ba98f459c06efc192c7ccc1b8668ca7ce4bd9c,PASS
MAC_PHASE08_R18_20260727033902,79699310faec839b9766d936bcc59f2aa64c50dccc5c763e7c7d90a3c9f51599,UL,0,1,0,SDU,0,2,2,10,SDU-12-1,49f2cb8ed29eb2ba2b43bcd219150a661caf7b4327d784d61ae3f8cc486de113,PASS
MAC_PHASE08_R18_20260727033902,79699310faec839b9766d936bcc59f2aa64c50dccc5c763e7c7d90a3c9f51599,UL,1,2,0,SDU,12,2,14,10,SDU-12-2,4e7572e553e0384e6166329da9875186850c2e4cfcb373d2d2e5393d58b756e0,PASS
MAC_PHASE08_R18_20260727033902,3b8b36967af9f1d62bdf5dfe4cb3f2f7a418891811dc2c2290972e1671123212,UL,0,1,0,SDU,0,2,2,10,SDU-13-1,173423fbbb2e732b4ce7051116e5745104c10e9149f6082fcfcd7c57593bb1b2,PASS
MAC_PHASE08_R18_20260727033902,3b8b36967af9f1d62bdf5dfe4cb3f2f7a418891811dc2c2290972e1671123212,UL,1,2,0,SDU,12,2,14,10,SDU-13-2,cb3c9517332920d362a64cbc7654109f65ff4bcbf6dd28d48db72e4ebf81a5f5,PASS
MAC_PHASE08_R18_20260727033902,a55363f4045b10e4c71e8196caa1fe4b928b266a14788bac5424cb633917afc1,UL,0,1,0,SDU,0,2,2,10,SDU-14-1,fcda3331c00294436615e413d495ab22af2a5e06acc77df0b498aec5df368c3c,PASS
MAC_PHASE08_R18_20260727033902,a55363f4045b10e4c71e8196caa1fe4b928b266a14788bac5424cb633917afc1,UL,1,2,0,SDU,12,2,14,10,SDU-14-2,6bcfcdc38947b882a07d00754c576a848db89421ddeae54ff3b64ad6011da85d,PASS
MAC_PHASE08_R18_20260727033902,73bbc282e535e5219948d1e31067fbe7be7996f1a4f5b7f95bbc4852e2ac6d0d,UL,0,1,0,SDU,0,2,2,10,SDU-15-1,58a97c0a90e0bf75f944086c24ea0875b369c8d1775ed16590a1841f4bcb9d09,PASS
MAC_PHASE08_R18_20260727033902,73bbc282e535e5219948d1e31067fbe7be7996f1a4f5b7f95bbc4852e2ac6d0d,UL,1,2,0,SDU,12,2,14,10,SDU-15-2,038f733d1db453d63cea74338ffad519e0272cb6e34c804aa402fa571339a028,PASS
MAC_PHASE08_R18_20260727033902,7e498542ec3944c3b944f51fe6bb1d85c8299ddc41ae2adcfe139221096abb3b,UL,0,1,0,SDU,0,2,2,10,SDU-16-1,461ebf6920316399756cb54ef887c4415589f61630474a55f66e4783a14da1e3,PASS
MAC_PHASE08_R18_20260727033902,7e498542ec3944c3b944f51fe6bb1d85c8299ddc41ae2adcfe139221096abb3b,UL,1,2,0,SDU,12,2,14,10,SDU-16-2,ea64f34c9f51b838f517c9e424a443c5418e1617ce86cda8cb0b4507fd8f5ebe,PASS
MAC_PHASE08_R18_20260727033902,da7d207fa83f4828ba54a7a3990604c6865665f7238fe8ebdceb6e2664b600ce,UL,0,1,0,SDU,0,2,2,10,SDU-17-1,cf6bcd475db126a2257580a67c15d7304c04a26d98d2a1198d263ed4506638c7,PASS
MAC_PHASE08_R18_20260727033902,da7d207fa83f4828ba54a7a3990604c6865665f7238fe8ebdceb6e2664b600ce,UL,1,2,0,SDU,12,2,14,10,SDU-17-2,531d1dec7b8b8c9c41ab527682ff23c0284891513c04e25e4f1df194d9663209,PASS
MAC_PHASE08_R18_20260727033902,a27ff8830935e3967c36b46f28e7b3b8ef7609a48deb55068b0ccdc8fbe17126,UL,0,1,0,SDU,0,2,2,10,SDU-18-1,34050ddcf5fce16eecb6527408cbcc9f3581a5af8bd9eabde462d4d699c257f4,PASS
MAC_PHASE08_R18_20260727033902,a27ff8830935e3967c36b46f28e7b3b8ef7609a48deb55068b0ccdc8fbe17126,UL,1,2,0,SDU,12,2,14,10,SDU-18-2,bbdee252aa4a7b082eeb4dc28573b013e67ed632c298b30f63d6798268d7a06d,PASS
MAC_PHASE08_R18_20260727033902,d3ef2cea231a09a1a298bcc78c1270e30a5eb672e0a65a42cccc94fb6634bf74,UL,0,1,0,SDU,0,2,2,10,SDU-19-1,7868ef3b42d77e2c6491b04aec2dd76279c496ca55f7e7700f681071c5718853,PASS
MAC_PHASE08_R18_20260727033902,d3ef2cea231a09a1a298bcc78c1270e30a5eb672e0a65a42cccc94fb6634bf74,UL,1,2,0,SDU,12,2,14,10,SDU-19-2,c401917599e9b5f81d781bcfb5780efd6ca191b29715b462a3caffac6bf31164,PASS
MAC_PHASE08_R18_20260727033902,bd79503477cbb68e2a59928f95442cd2789981fcc9281877c968883b42d99147,UL,0,1,0,SDU,0,2,2,10,SDU-20-1,2ae70ddd54267869ebea946f76d46b817b8c0561473812db87270fff4d1c0add,PASS
MAC_PHASE08_R18_20260727033902,bd79503477cbb68e2a59928f95442cd2789981fcc9281877c968883b42d99147,UL,1,2,0,SDU,12,2,14,10,SDU-20-2,f953e5b186ab92c4ac21ec884fc85f9dc9bb5de77999cb635509bd69c897e05a,PASS
