RunID,DecisionID,UEID,GrantBytes,LCID,Priority,BjBefore,EligibleBytes,SelectedBytes,BjAfter,SelectionOrder,RejectionReason,Status
MAC_PHASE08_R18_20260727033902,LCP-0001,1,100,1,1,80,80,80,0,1,,PASS
MAC_PHASE08_R18_20260727033902,LCP-0001,1,100,2,2,160,160,20,140,2,,PASS
MAC_PHASE08_R18_20260727033902,LCP-0002,2,100,1,1,80,80,80,0,1,,PASS
MAC_PHASE08_R18_20260727033902,LCP-0002,2,100,2,2,160,160,20,140,2,,PASS
MAC_PHASE08_R18_20260727033902,LCP-0003,3,100,1,1,80,80,80,0,1,,PASS
MAC_PHASE08_R18_20260727033902,LCP-0003,3,100,2,2,160,160,20,140,2,,PASS
MAC_PHASE08_R18_20260727033902,LCP-0004,4,100,1,1,80,80,80,0,1,,PASS
MAC_PHASE08_R18_20260727033902,LCP-0004,4,100,2,2,160,160,20,140,2,,PASS
MAC_PHASE08_R18_20260727033902,LCP-0005,5,100,1,1,80,80,80,0,1,,PASS
MAC_PHASE08_R18_20260727033902,LCP-0005,5,100,2,2,160,160,20,140,2,,PASS
MAC_PHASE08_R18_20260727033902,LCP-0006,6,100,1,1,80,80,80,0,1,,PASS
MAC_PHASE08_R18_20260727033902,LCP-0006,6,100,2,2,160,160,20,140,2,,PASS
MAC_PHASE08_R18_20260727033902,LCP-0007,7,100,1,1,80,80,80,0,1,,PASS
MAC_PHASE08_R18_20260727033902,LCP-0007,7,100,2,2,160,160,20,140,2,,PASS
MAC_PHASE08_R18_20260727033902,LCP-0008,8,100,1,1,80,80,80,0,1,,PASS
MAC_PHASE08_R18_20260727033902,LCP-0008,8,100,2,2,160,160,20,140,2,,PASS
MAC_PHASE08_R18_20260727033902,LCP-0009,1,100,1,1,80,80,80,0,1,,PASS
MAC_PHASE08_R18_20260727033902,LCP-0009,1,100,2,2,160,160,20,140,2,,PASS
MAC_PHASE08_R18_20260727033902,LCP-0010,2,100,1,1,80,80,80,0,1,,PASS
MAC_PHASE08_R18_20260727033902,LCP-0010,2,100,2,2,160,160,20,140,2,,PASS
MAC_PHASE08_R18_20260727033902,LCP-0011,3,100,1,1,80,80,80,0,1,,PASS
MAC_PHASE08_R18_20260727033902,LCP-0011,3,100,2,2,160,160,20,140,2,,PASS
MAC_PHASE08_R18_20260727033902,LCP-0012,4,100,1,1,80,80,80,0,1,,PASS
MAC_PHASE08_R18_20260727033902,LCP-0012,4,100,2,2,160,160,20,140,2,,PASS
MAC_PHASE08_R18_20260727033902,LCP-0013,5,100,1,1,80,80,80,0,1,,PASS
MAC_PHASE08_R18_20260727033902,LCP-0013,5,100,2,2,160,160,20,140,2,,PASS
MAC_PHASE08_R18_20260727033902,LCP-0014,6,100,1,1,80,80,80,0,1,,PASS
MAC_PHASE08_R18_20260727033902,LCP-0014,6,100,2,2,160,160,20,140,2,,PASS
MAC_PHASE08_R18_20260727033902,LCP-0015,7,100,1,1,80,80,80,0,1,,PASS
MAC_PHASE08_R18_20260727033902,LCP-0015,7,100,2,2,160,160,20,140,2,,PASS
MAC_PHASE08_R18_20260727033902,LCP-0016,8,100,1,1,80,80,80,0,1,,PASS
MAC_PHASE08_R18_20260727033902,LCP-0016,8,100,2,2,160,160,20,140,2,,PASS
MAC_PHASE08_R18_20260727033902,LCP-0017,1,100,1,1,80,80,80,0,1,,PASS
MAC_PHASE08_R18_20260727033902,LCP-0017,1,100,2,2,160,160,20,140,2,,PASS
MAC_PHASE08_R18_20260727033902,LCP-0018,2,100,1,1,80,80,80,0,1,,PASS
MAC_PHASE08_R18_20260727033902,LCP-0018,2,100,2,2,160,160,20,140,2,,PASS
MAC_PHASE08_R18_20260727033902,LCP-0019,3,100,1,1,80,80,80,0,1,,PASS
MAC_PHASE08_R18_20260727033902,LCP-0019,3,100,2,2,160,160,20,140,2,,PASS
MAC_PHASE08_R18_20260727033902,LCP-0020,4,100,1,1,80,80,80,0,1,,PASS
MAC_PHASE08_R18_20260727033902,LCP-0020,4,100,2,2,160,160,20,140,2,,PASS
